(UNITED STATES, v. YATES is, 2015)
(destruction, obstruct, justice)
(evidence, is in, question)
(destruction, is, intended)
(plurality, divine meaning from, § 1519 's position)
(plurality, divine, meaning)
(§ 1519, from, position within Chapter 73 of Title 18)
(plurality, divine meaning from, § 1519 's position within Chapter 73)
(plurality, divine meaning from, § 1519 's position within Chapter 73 Title 18)
(plurality, divine meaning from, § 1519 's position within Chapter 73 of Title 18)
(move, is, yet odder)
(move, is yet odder than, last)
(move, is odder than, last)
(move, is, odder)
(section number, bears upon, its meaning)
(section number, assigned to, law)
(xi-xvi, at Scalia is, supra)
(plurality, has, new number-in-the-Code theory)
(plurality 's argument, is, hard)
(plurality 's argument, is, on its terms hard to fathom)
(plurality 's argument, is hard on, even its own terms)
(plurality 's argument, is, even on its terms hard to fathom)
(plurality, has, argument)
(plurality 's argument, is hard on, its own terms)
(plurality 's argument, is, on its own terms hard to fathom)
(plurality 's argument, is hard to, fathom)
(plurality 's argument, is hard on, even its terms)
(plurality 's argument, is hard on, its terms)
(plurality 's argument, is, even on its own terms hard to fathom)
(I, can find, place for ban on evidence-tampering)
(I, place for, ban)
(I, can find, place for broad ban)
(I, better place for, broad ban on evidence-tampering)
(I, better place for, ban)
(I, better place for, ban on evidence-tampering)
(I, place for, broad ban)
(I, can find, place)
(I, can find, place for ban)
(I, can find, better place)
(I, can find, better place for broad ban on evidence-tampering)
(I, place for, broad ban on evidence-tampering)
(I, place for, ban on evidence-tampering)
(I, can find, place for broad ban on evidence-tampering)
(I, can find, better place for ban on evidence-tampering)
(I, better place for, broad ban)
(I, can find, better place for ban)
(I, can find, better place for broad ban)
(criminal code, has, chapter on obstruction of justice)
(plurality, seems, agree)
(law, took place with, 18 numbers of chapter already taken)
(law, took place with, first 18 numbers of chapter taken)
(law, took place with, first 18 numbers of chapter already taken)
(law, naturally took place with, 18 numbers already taken)
(law, naturally took place with, first 18 numbers)
(law, naturally took, 19th place)
(law, naturally took place with, first 18 numbers of chapter already taken)
(law, naturally took place with, first 18 numbers of chapter)
(law, took place with, 18 numbers taken)
(law, took place with, first 18 numbers)
(law, naturally took place with, 18 numbers of chapter)
(law, naturally took, place)
(law, naturally took place with, first 18 numbers already taken)
(law, took place with, first 18 numbers taken)
(law, naturally took place with, first 18 numbers of chapter taken)
(law, took place with, 18 numbers)
(law, took place with, 18 numbers of chapter)
(law, took place with, 18 numbers already taken)
(law, naturally took place with, first 18 numbers taken)
(law, took place with, first 18 numbers already taken)
(law, took, place)
(law, naturally took place with, 18 numbers of chapter already taken)
(law, naturally took place with, 18 numbers of chapter taken)
(law, naturally took place with, 18 numbers)
(law, took place with, 18 numbers of chapter taken)
(law, took place with, first 18 numbers of chapter)
(law, naturally took place with, 18 numbers taken)
(law, took, 19th place)
(That, is, standard operating procedure)
(Section 1518, was, enacted)
(Section 1518, was, later enacted)
(Section, was, enacted)
(Section, was, later enacted)
(Congress, has continued in, same vein)
(Congress, has continued after, Sarbanes-Oxley)
(Congress, has continued in, vein)
(Section, is, thus right)
(Section, is, right)
(Section 1519, is, thus right)
(Section 1519, is, right)
(you, added in, 2008)
(plurality 's third argument, invokes, tool)
(plurality 's third argument, invokes, known tool)
(plurality, has, third argument relying on surplusage canon)
(plurality 's third argument, invokes, known tool of construction)
(it, comes to, nothing)
(plurality 's third argument, invokes, tool of construction)
(it, too comes to, nothing)
(plurality 's argument, invokes, known tool of statutory construction)
(plurality 's third argument, invokes, tool of statutory construction)
(plurality 's argument, invokes, known tool)
(plurality 's argument, invokes, tool of construction)
(plurality 's argument, invokes, known tool of construction)
(plurality 's third argument, invokes, known tool of statutory construction)
(plurality 's argument, invokes, tool of statutory construction)
(plurality 's argument, invokes, tool)
(each, applies, two provisions overlap)
(each, applies, provisions significantly overlap)
(each, applies, two provisions significantly overlap)
(each, conduct, other)
(each, applies, provisions overlap)
(§ 1519, integrity of, matter s)
(§ 1519, protects, integrity of matter s)
(§ 1519, protects, integrity)
(Section 1519, has, language)
(Section 's language, often applies broadly as, plurality notes)
(Section 's language, often applies more broadly as, plurality notes)
(Section 's language, often applies as, plurality notes)
(Section 1519 's language, often applies as, plurality notes)
(Section 1519 's language, often applies more broadly as, plurality notes)
(Section 1519 's language, applies more broadly as, plurality notes)
(Section 's language, applies as, plurality notes)
(Section 1519 's language, applies broadly as, plurality notes)
(Section 1519 's language, often applies broadly as, plurality notes)
(Section 's language, applies broadly as, plurality notes)
(Section 1519 's language, applies as, plurality notes)
(Section 's language, applies more broadly as, plurality notes)
(FBI investigation, falls outside, statutory definition of official proceeding)
(FBI investigation, counts For, example)
(FBI investigation, falls outside, definition of proceeding)
(FBI investigation, counts within, department 's jurisdiction)
(federal department, within, jurisdiction)
(FBI investigation, falls outside, statutory definition)
(FBI investigation, falls outside, definition of official proceeding)
(FBI investigation, counts within, federal department 's jurisdiction)
(FBI investigation, falls outside, definition)
(FBI investigation, counts as, matter)
(FBI investigation, falls outside, statutory definition of proceeding)
(United States, n., CA2 1997)
(evidence, is in, federal litigation between private parties)
(§ 1512, share, much common ground)
(ante, cuts, materials show)
(ante, only cuts, materials show)
(§ 1512, share, much ground)
(ante, cuts against, it)
(ante, only cuts against, it)
(§ 1512, share, ground)
(§ 1512, share, common ground)
(other criminal fraud provisions, is in, late legislative process)
(President, between, package)
(presence, is in, final Act)
(audiences, other than, courts)
(Gluck, Interpretation from, Inside)
(Whichever case, consciousness of, overlap between two provisions)
(Congress, has, consciousness of overlap between two provisions)
(inclusion, Indeed creates, far worse problem)
(inclusion, Indeed creates, problem than for mine)
(inclusion, creates, problem for plurality 's construction than for mine)
(inclusion, creates, far worse problem for plurality 's construction)
(plurality, for, construction of § 1519)
(inclusion, creates, far worse problem)
(inclusion, creates, worse problem for plurality 's construction of § 1519)
(inclusion, creates, problem for plurality 's construction)
(inclusion, Indeed creates, far worse problem for plurality 's construction than for mine)
(inclusion, Indeed creates, worse problem than for mine)
(inclusion, creates, far worse problem for plurality 's construction of § 1519)
(inclusion, Indeed creates, far worse problem for plurality 's construction of § 1519)
(inclusion, creates, worse problem for plurality 's construction than for mine)
(inclusion, Indeed creates, worse problem for plurality 's construction)
(inclusion, Indeed creates, worse problem)
(inclusion, is in, Sarbanes-Oxley)
(inclusion, creates, far worse problem for plurality 's construction than for mine)
(inclusion, creates, problem for plurality 's construction of § 1519 than for mine)
(inclusion, creates, worse problem)
(inclusion, Indeed creates, far worse problem than for mine)
(inclusion, creates, worse problem than for mine)
(inclusion, Indeed creates, problem)
(inclusion, creates, worse problem for plurality 's construction of § 1519 than for mine)
(inclusion, creates, problem for plurality 's construction of § 1519)
(inclusion, Indeed creates, worse problem for plurality 's construction than for mine)
(inclusion, Indeed creates, problem for plurality 's construction of § 1519)
(inclusion, Indeed creates, far worse problem for plurality 's construction)
(inclusion, Indeed creates, problem for plurality 's construction than for mine)
(inclusion, Indeed creates, worse problem for plurality 's construction of § 1519)
(inclusion, Indeed creates, problem for plurality 's construction of § 1519 than for mine)
(inclusion, creates, problem than for mine)
(inclusion, creates, problem)
(inclusion, creates, far worse problem for plurality 's construction of § 1519 than for mine)
(inclusion, Indeed creates, problem for plurality 's construction)
(inclusion, Indeed creates, far worse problem for plurality 's construction of § 1519 than for mine)
(inclusion, Indeed creates, worse problem for plurality 's construction of § 1519 than for mine)
(inclusion, creates, worse problem for plurality 's construction)
(inclusion, creates, far worse problem than for mine)
(one object, is, object)
(object, is, object)
(plurality, On, view)
(one object, is really object On, plurality 's view)
(object, is object On, plurality 's view)
(object, is, really object)
(one object, is object On, plurality 's view)
(object, is really object On, plurality 's view)
(one object, is, really object)
(identical words, used in, parts)
(words, used in, parts act)
(identical words, used in, different parts same act)
(words, used in, different parts same act)
(identical words, have, same meaning)
(identical words, used in, different parts)
(words, used in, different parts)
(identical words, are, intended)
(words, used in, different parts act)
(words, have, meaning)
(identical words, passed at, same time)
(words, used in, parts same act)
(words, are, intended)
(identical words, used in, parts same act)
(words, have, same meaning)
(words, passed at, time)
(words, passed at, same time)
(identical words, have, meaning)
(words, used in, parts)
(identical words, used in, parts act)
(identical words, passed at, time)
(identical words, used in, different parts act)
(different provisions, pertain to, subject)
(provisions, pertain to, same subject)
(provisions, pertain to, subject)
(different provisions, pertain to, same subject)
(it, instead interprets, same words)
(it, instead interprets, same words used in two provisions of Act)
(same words, used in, two provisions)
(it, interprets, same words used in two provisions of Act)
(it, interprets, same words)
(it, interprets, same words used in two provisions)
(it, interprets, same words used in two provisions of same Act)
(words, used in, two provisions same Act)
(it, interprets, words)
(it, interprets, words used in two provisions of Act)
(it, instead interprets, same words used in two provisions of same Act)
(it, instead interprets, same words used)
(it, instead interprets, same words used in two provisions)
(it, instead interprets, words)
(it, interprets, words used in two provisions)
(it, instead interprets, words used in two provisions)
(words, used in, two provisions Act)
(words, used in, two provisions)
(it, interprets, words used)
(it, instead interprets, words used in two provisions of same Act)
(it, interprets, same words used)
(same words, used in, two provisions Act)
(it, instead interprets, words used in two provisions of Act)
(same words, used in, two provisions same Act)
(it, instead interprets, words used)
(it, interprets, words used in two provisions of same Act)
(plurality, Getting nowhere with, surplusage)
(plurality, hoping, that)
(plurality, Getting with, surplusage)
(ejusdem generis, save, it)
(plurality, switches, canons)
(sociis, save, it)
(words, be given, similar meanings)
(words, be given, meanings)
(words, grouped in, list)
(term, embraces, only things)
(general term, only things of, similar kind)
(term, embraces, only things of kind)
(term, only things of, kind)
(general term, embraces, things)
(term, things of, kind)
(general term, embraces, things of kind)
(general term, things of, similar kind)
(general term, embraces, only things)
(term, embraces, things of kind)
(term, only things of, similar kind)
(term, embraces, things)
(general term, things of, kind)
(general term, only things of, kind)
(term, things of, similar kind)
(general term, embraces, only things of similar kind)
(general term, embraces, only things of kind)
(general term, embraces, things of similar kind)
(term, embraces, things of similar kind)
(term, embraces, only things of similar kind)
(maxims, change meaning to, only things used)
(maxims, change meaning to, things)
(maxims, change meaning According to, plurality)
(maxims, change meaning to, things like records used)
(maxims, change, English meaning of object)
(maxims, change, meaning of tangible object)
(maxims, change, meaning of object)
(maxims, change meaning to, only things like records)
(maxims, change meaning to, only things like records used)
(maxims, change, English meaning)
(maxims, change meaning to, things like records)
(maxims, change meaning to, things used)
(maxims, change, meaning)
(maxims, change, English meaning of tangible object)
(maxims, change meaning to, only things)
(Court, uses noscitur sociis generis As, matter)
(Court, uses noscitur, sociis generis)
(Court, uses sociis generis As, matter)
(Court, uses noscitur sociis generis As, initial matter)
(Court, uses, sociis generis)
(Court, uses sociis generis As, initial matter)
(words, are of, where meaning)
(principles, are, rule)
(construction, of rule is, s)
(words, are of, where obscure meaning)
(principles, are, useful rule)
(words, are of, meaning)
(words, are of, obscure meaning)
(227, at Ali is, 552 U. S.)
(statute, has, text)
(its ordinary meaning comports, is with, noscitur)
(224-226, at Ali is, 552 U. S.)
(plurality, characterizes documents, responding to demand)
(plurality, characterizes, records)
(plurality, characterizes records, responding to demand)
(plurality, responding to, demand)
(plurality, characterizes documents, responding)
(plurality, characterizes records, responding)
(plurality, characterizes, documents)
(information, thus serve as, evidence relevant)
(information, potentially serve as, evidence)
(information, serve as, evidence relevant to matters under review)
(information, thus serve as, evidence)
(information, thus serve as, evidence relevant to matters under review)
(information, serve as, evidence relevant to matters)
(serve, provide, information)
(information, potentially serve as, evidence relevant)
(information, thus potentially serve as, evidence relevant to matters under review)
(information, potentially serve as, evidence relevant to matters)
(information, thus potentially serve as, evidence relevant to matters)
(information, thus potentially serve as, evidence relevant)
(information, potentially serve as, evidence relevant to matters under review)
(information, serve as, evidence relevant)
(information, thus serve as, evidence relevant to matters)
(information, serve as, evidence)
(information, thus potentially serve as, evidence)
(evidentiary function, comes in, statute pertaining to obstruction of federal investigations)
(function, comes in, statute pertaining to obstruction)
(function, comes in, statute pertaining)
(function, comes in, statute)
(evidentiary function, comes to, fore)
(evidentiary function, comes in, statute pertaining to obstruction of investigations)
(evidentiary function, comes in, statute pertaining to obstruction)
(function, comes in, statute pertaining to obstruction of federal investigations)
(evidentiary function, comes in, statute pertaining)
(function, comes to, fore)
(function, comes in, statute pertaining to obstruction of investigations)
(evidentiary function, comes in, statute)
(destruction, gathering, facts relevant to official inquiries)
(destruction, prevents, law enforcement agents)
(destruction, gathering, facts relevant to inquiries)
(destruction, gathering, facts relevant)
(facts, relevant to, official inquiries)
(facts, relevant to, inquiries)
(destruction, gathering, facts)
(identical effect, throwing, it)
(fisherman, has, ledger)
(effect, throwing overboard, it)
(identical effect, throwing overboard, it)
(item, is, fisherman 's ledger)
(effect, throwing, it)
(its argument, giving, c)
(object, means, object)
(object, means object in, laws)
(plurality, of, never-before-propounded not-readily-explained interpretive theories)
(distinction, affects, application)
(sociis, is, left)
(canons, apparently switch on, whenever convenient)
(canons, switch in, plurality 's interpretive world)
(canons, apparently switch in, plurality 's world)
(canons, switch on, convenient)
(canons, apparently switch on, convenient)
(canons, switch in, plurality 's world)
(canons, apparently switch in, plurality 's interpretive world)
(plurality, in, interpretive world)
(canons, switch on, whenever convenient)
(plurality, has, invocation of verbs)
(§ 1519, of, verbs)
(nothing, buttress, its canon-based argument)
(nothing, buttress, its argument)
(false entry, is in, tangible object)
(§ 1519, prohibits, actions)
(someone, can alter of, course)
(§ 1519, prohibits too, actions)
(verbs, is in, statute need match with nouns)
(legislators, See, Robers he law)
(Congress, draft, statute)
(Congress, draft broadly, statute)
(respond, is, thus flout)
(respond, is, flout)
(plurality, invokes, rule)
(plurality, Finally invokes, rule of lenity)
(plurality, Finally invokes, rule)
(plurality, invokes, rule of lenity)
(reasonable doubt, persists, regarding)
(Congress, made, defendant 's conduct federal crime)
(defendant, has, conduct)
(doubt, persists, regarding)
(Congress, made, defendant 's conduct crime)
(United States, v. Abramski is, ___ 2014)
(plurality points, see, ante at 18)
(breadth, were equivalent to, ambiguity)
(plurality points, see, ante)
(breadth, were, equivalent)
(Section 1519, is, very broad)
(Section, is, broad)
(Section 1519, is, broad)
(Section, is, very broad)
(It, is, also clear)
(It, is, also very clear)
(It, is, very clear)
(It, is, clear)
(concurring opinion, is shorter vaguer version of, of plurality)
(concurring opinion, is, version)
(concurring opinion, is version of, of plurality)
(opinion, is, version)
(opinion, is, vaguer)
(concurring opinion, is, shorter version)
(concurring opinion, is, shorter vaguer version)
(opinion, is shorter version of, of plurality)
(concurring opinion, is, vaguer version)
(concurring opinion, is shorter version of, of plurality)
(opinion, is, vaguer version)
(concurring opinion, is vaguer version of, of plurality)
(opinion, is, shorter vaguer version)
(opinion, is version of, of plurality)
(opinion, is vaguer version of, of plurality)
(opinion, is, shorter)
(opinion, is shorter vaguer version of, of plurality)
(opinion, is, shorter version)
(It, relies primarily on, noscitur)
(It, concludes with, section 's title)
(section, with, title)
(§ 1519, with, list of verbs)
(It, relies on, noscitur)
(plurality, in, section-number)
(concurrence, arrives From, familiar materials)
(tangible object, mean, something similar)
(tangible object, mean, something similar to records)
(concurrence, arrives at, following definition)
(object, mean, something similar)
(concurrence, arrives From, materials)
(tangible object, mean, something)
(something, similar to, records)
(object, mean, something)
(object, mean, something similar to records)
(concurrence, arrives at, definition)
(concurrence, applying, tangible object keeping with neighbor)
(concurrence, applying, tangible object keeping)
(concurrence, applying, object keeping)
(concurrence, applying, object keeping with neighbor)
(Courts, explaining, Latin maxims)
(concurrence, takes, that)
(§ 1519, has, meaning)
(Congress, adding, tangible object)
(Congress, adding, object)
(issue, is in, case)
(fish, is, tangible)
(concurrence, ask, its neighbor question)
(concurrence, wishes, ask)
(concurrence, neglects, proper function)
(concurrence, neglects, function)
(concurrence, neglects function, insisting on its question)
(concurrence, insisting on, its different question)
(concurrence, neglects function like, tangible object)
(concurrence, neglects function like, object)
(concurrence, insisting on, its question)
(concurrence, neglects function, insisting on its different question)
(concurrence, neglects, function of catchall phrases)
(concurrence, neglects function, insisting)
(concurrence, neglects, proper function of catchall phrases)
(Congress, uses, such terms)
(Congress, uses, terms)
(concurrence, in, words)
(do spring, is in, concurrence 's words)
(he, whole value of, is)
(he, value of, is)
(it, serves as, catchall)
(860, at Beaty is, 556 U. S.)
(free association, is with, record)
(Congress, adds, tangible object)
(Congress, adds, term)
(Congress, adds, object)
(Congress, adds, general term)
(e-mails, fall within, § 1519 's compass)
(other files, fall within, § 1519 's compass)
(§ 1519, within, compass)
(files, fall within, § 1519 's compass)
(electronic files, fall within, § 1519 's compass)
(other electronic files, fall within, § 1519 's compass)
(claim, is eyebrow-raising in, its own right)
(claim, is eyebrow-raising in, its right)
(claim, is, eyebrow-raising)
(tangible object, as opposed to, communications)
(Congress, Would wishing, make)
(object, as opposed to, electronic communications)
(Congress, make, certain)
(tangible object, as opposed to, electronic communications)
(Would Congress wishing, add, phrase)
(tangible object, opposed to, electronic communications)
(object, opposed to, communications)
(§ 1519, applies to, e-mails)
(object, opposed to, electronic communications)
(object, as opposed to, communications)
(tangible object, opposed to, communications)
(something, as virtual as, e-mail)
(something, virtual as, e-mail)
(it, takes, canons)
(it, rather takes, Latin canons)
(§ 1519, has, title tip for Yates)
(it, takes, Latin canons)
(it, rather takes, canons)
(§ 1519, has, verbs)
(three mistaken arguments, total of is, three mistaken arguments)
(mistaken arguments, total of is, three mistaken arguments)
(concurrence, eschewing, rule of lenity)
(concurrence, eschewing, rule)
(eschewing, rule of, lenity)
(today, has, result)
(none, can produce, today 's result)
(1519, imposes, read)
(1519, imposes, read broadly)
(law, is, read broadly)
(law, is, read)
(plurality, offers, clue)
(overcriminalization punishment, is in, U. S. Code)
(I, Now think as to, statute)
(I, think as to, statute)
(plurality, omits from, its description)
(plurality, omits from, its description of § 1519 requirement)
(§ 1519, has, maximum penalty)
(plurality, glosses over, absence of prescribed minimum)
(plurality, highlighting, § 1519 's maximum penalty)
(laws, is with, high maximums)
(Congress, presumably enacts, laws)
(Congress, enacts, laws)
(employee, of, fingers)
(243-244, at Maury is, 695 F. 3d)
(834-838, at McRae is, 702 F. 3d)
(Most district judges, will recognize, differences between such cases)
(Most district judges, will recognize differences like, one)
(district judges, try, make)
(district judges, will recognize, differences)
(Most district judges, try, make)
(punishment, fit, crime)
(district judges, will recognize differences like, one)
(district judges, will recognize, differences between such cases)
(Most district judges, will recognize, differences)
(district judges, will recognize, differences between cases)
(Most district judges, will recognize, differences between cases)
(I, Still and all tend, think)
(1519, is, bad)
(I, tend, think)
(I, Still tend, think)
(§ 1519, emblem of, pathology in criminal code)
(outlier, is In, ways)
(§ 1519, emblem of, pathology in federal criminal code)
(§ 1519, emblem of, deeper pathology in criminal code)
(§ 1519, emblem of, pathology)
(§ 1519, emblem of, pathology in code)
(§ 1519, emblem of, deeper pathology in federal criminal code)
(§ 1519, emblem of, pathology in federal code)
(§ 1519, emblem of, deeper pathology)
(deeper pathology, is in, federal criminal code)
(§ 1519, emblem of, deeper pathology in code)
(§ 1519, emblem of, deeper pathology in federal code)
(Resolution, is for, Congress)
(484, at Rodgers is, 466 U. S.)
(we, are perfectly entitled, say in lectures in law review articles in dicta)
(Congress, with, choice)
(we, are entitled, say in lectures in law review articles in dicta)
(we, are, entitled)
(we, say so in, lectures)
(we, are perfectly entitled, judges disagree)
(we, say in, lectures in law review articles)
(we, are perfectly entitled, say so in lectures in law review articles)
(we, are perfectly entitled, say in lectures)
(we, are perfectly entitled, say in lectures in dicta)
(we, are perfectly entitled, say so even in dicta)
(we, are entitled, say in dicta)
(we, are perfectly entitled, say so)
(we, are perfectly entitled, say in lectures in law review articles even in dicta)
(we, are perfectly entitled, say so in lectures in dicta)
(we, are perfectly entitled, say so in lectures in law review articles in dicta)
(judges, disagree with, Congress 's choice)
(we, are entitled, say so)
(we, are entitled, say so in lectures in law review articles in dicta)
(we, are entitled, say in lectures in law review articles even in dicta)
(we, are entitled, say in lectures)
(we, are entitled, say in lectures in dicta)
(we, are entitled, say)
(we, are perfectly entitled, judges disagree with Congress 's choice)
(we, are perfectly entitled, say even in dicta)
(we, are perfectly entitled, say)
(we, are entitled, judges disagree with Congress 's choice)
(we, are perfectly entitled, say in lectures even in dicta)
(we, are entitled, judges disagree)
(we, say so in, lectures in law review articles)
(we, are perfectly entitled, say so in lectures)
(we, say so in, dicta)
(we, are, perfectly entitled)
(we, are perfectly entitled, say so in lectures even in dicta)
(we, are entitled, say even in dicta)
(we, are entitled, say in lectures in law review articles)
(we, say so in, even dicta)
(we, are entitled, say so in dicta)
(we, are perfectly entitled, say in lectures in law review articles)
(we, are entitled, say so in lectures in law review articles)
(we, are perfectly entitled, say so in lectures in law review articles even in dicta)
(we, say in, lectures)
(we, are entitled, say in lectures even in dicta)
(we, are perfectly entitled, say in dicta)
(we, are entitled, say so in lectures in dicta)
(we, are entitled, say so in lectures)
(we, are entitled, say so in lectures even in dicta)
(we, are entitled, say so even in dicta)
(we, say in, dicta)
(we, are perfectly entitled, say so in dicta)
(we, say in, even dicta)
(we, are entitled, say so in lectures in law review articles even in dicta)
(Yates, making, false statement)
(Yates, was, charged)
(Yates, was, also charged)
(Yates, was also charged in, violation)
(Yates, was charged in, violation of 18 U. S. C. § 1001)
(Yates, was charged in, violation)
(Yates, was also charged in, violation of 18 U. S. C. § 1001)
(Yates, was, acquitted)
(dissent, ignores, this)
(dissent, assiduously ignores, post)
(Congress, cover along with, grouper slightly smaller than legal limit)
(Congress, cover along with, shredded corporate documents)
(Congress, cover along with, red grouper smaller than limit)
(Congress, cover along with, grouper slightly smaller than limit)
(dissent, assiduously ignores, this)
(Congress, cover along with, grouper slightly smaller)
(Congress, cover along with, corporate documents)
(Congress, cover along with, shredded documents)
(Congress, cover along with, grouper)
(Congress, cover along with, red grouper slightly smaller)
(Congress, cover along with, red grouper smaller than legal limit)
(Congress, wrote, § 1519)
(Congress, cover along with, grouper smaller)
(Congress, cover along with, red grouper)
(Congress, cover along with, grouper smaller than limit)
(Congress, cover along with, grouper smaller than legal limit)
(Congress, cover along with, red grouper slightly smaller than legal limit)
(Congress, cover along with, red grouper smaller)
(Congress, cover along with, documents)
(dissent, ignores, post)
(Congress, cover along with, red grouper slightly smaller than limit)
(object, encompasses, physical evidence)
(other discovery prescriptions, in 26 is, b)
(physical evidence, tangible object in, § 1519)
(physical evidence, object in, § 1519)
(tangible object, is in, § 1519)
(tangible object, encompasses, physical evidence)
(nothing, be drawn from, placement)
(nothing, be, drawn)
(nothing, be drawn from, placement of § 1519)
(argument, might have force, correct)
(premise, were, correct)
(argument, might have, force)
(factual premise, were, correct)
(Congress, directed, last section in Chapter 73)
(Congress, directed, insertion of § 1514A)
(Congress, directed section before, § 1518)
(Congress, directed, section in Chapter 73)
(Congress, section in, Chapter 73)
(Congress, directed, then section)
(Congress, directed, then last section in Chapter 73)
(Congress, directed, insertion)
(Congress, directed, section)
(last section, is in, Chapter 73)
(Congress, directed, last section)
(Congress, directed insertion In, Sarbanes-Oxley)
(Congress, directed, then last section)
(Congress, directed insertion before, § 1518)
(Congress, directed, then section in Chapter 73)
(Congress, directed section In, Sarbanes-Oxley)
(Congress, last section in, Chapter 73)
(Congress, adopted, § 1519)
(Congress, substance of, § 1519)
(Congress, fill out, post)
(Congress, codify, substance of § 1519)
(Congress, codify substance in, new § 1512A)
(Congress, codify substance in, § 1512A)
(Congress, codify, substance)
(Congress, Notably added, broad ban)
(Congress, Notably added, ban on evidence-spoliation)
(Congress, Notably added in, Sarbanes-Oxley)
(Congress, added, broad ban)
(post, §, 1512)
(§ 1512, has, preexisting title)
(Congress, added in, Sarbanes-Oxley)
(post, § even, 1512)
(Congress, added, ban)
(Congress, added, ban on evidence-spoliation)
(Congress, Notably added, broad ban on evidence-spoliation)
(Congress, added, broad ban on evidence-spoliation)
(Congress, Notably added, ban)
(Government, has, endorsement)
(act, is within, § 1519 's scope)
(act, done in, contemplation)
(obstructive act, done in, contemplation)
(act, done of, relation to matter)
(§ 1519, within, scope)
(act, done of, relation)
(obstructive act, is within, § 1519 's scope)
(obstructive act, done of, relation)
(obstructive act, done of, relation to matter)
(§ 1519, is meant, do)
(§ 1519, is meant, do away)
(§ 1519, is meant between, court proceedings)
(§ 1519, is meant regardless of, their title)
(courts, have read into, obstruction statutes)
(§ 1519, is, meant)
(doubt, remained about, multiplicity)
(he intent, is, simple)
(he, intent of, provision)
(people, falsifying, documents)
(object, is, read)
(tangible object, is, Furthermore read)
(tangible object, is in, § 1519)
(object, is, Furthermore read)
(tangible object, is, read)
(document, is in, § 1519)
(record, is in, § 1512)
(record document, be, construed)
(record document, be, construed in conformity)
(record document, be, construed with record)
(record document, be, construed in conformity with record)
(Congress, passed, Sarbanes-Oxley)
(phrase, conceal, object)
(Congress, passed Sarbanes-Oxley in, 2002)
(phrase, conceal object in, b)
(Congress ' use, is in, § 1519)
(lockstep, is with, it)
(dissent, cites, United States)
(dissent, cites, 2014 U. S. Dist)
(dissent, cites, McRae)
(dissent, cites, 695 F. 3d 227)
(dissent, cites, 702 F. 3d 806)
(defendant, was also convicted under, 18 U. S. C. § 844)
(defendant, sentenced to, term of 120 months ' imprisonment)
(defendant, was also convicted under, h)
(defendant, was, convicted)
(defendant, sentenced for, offense)
(defendant, was convicted under, h)
(defendant, sentenced to, term)
(defendant, was, also convicted)
(defendant, was convicted under, 18 U. S. C. § 844)
(defendant, is in, McRae)
(defendant, was, convicted)
(defendant, sentenced to, terms)
(defendant, sentenced to, concurrent terms of 174 months ' imprisonment)
(defendant, sentenced to, terms of 174 months ' imprisonment)
(defendant, was, also convicted)
(defendant, sentenced to, concurrent terms)
(defendant, is in, Natal)
(cr-164, Conn. at_time, 2015)
(Judgment, is in, United States)
(defendant, is in, Maury)
(defendant, was, convicted)
(worker, has, fingers)
(defendant, was convicted of, violations)
(defendant, was, also convicted)
(cement mixer, has, safety lock)
(defendant, was also convicted of, violations)
(United States, Cast, 2007 WL 2282514)
(Atlantic States, Cast, 2007 WL 2282514)
(Atlantic States, Cast, Iron Pipe Co.)
(United States, Cast, Iron Pipe Co.)
(company, ordered, operate under supervision)
(company, ordered, operate under supervision of monitor)
(company, ordered, operate under supervision of court-appointed monitor)
(company, ordered, operate)
(tangible objects, is in, statutes of sorts)
(States, similarly use, terms)
(States, use, terms)
(Chapter 73, to, chronological order)
(§ 1514A, added in, Sarbanes-Oxley)
(only other section, is in, Chapter 73)
(Congress, place, that)
(plurality, seizing on, § 1514 example)
(§ 1512, is, titled)
(§ 1512, is titled, Tampering)
(its provisions, protect witnesses from, intimidation)
(its provisions, protect, witnesses)
(§ 1512, is titled, Tampering with witness)
(§ 1512, Tampering with, witness)
(broad ban, stand on, its own)
(Congress, ban on, evidence-spoliation)
(Congress, wanted, ban)
(Congress, wanted, broad ban)
(It, makes, sense)
(Congress, broad ban on, evidence-spoliation)
(ban, stand on, its own)
(Congress, wanted, ban on evidence-spoliation)
(It, makes, perfect sense)
(Congress, wanted, broad ban on evidence-spoliation)
(plurality, has, objection to statement)
(plurality 's objection, is, difficult)
(phrase, is in, relation to such matter)
(Hubbard, has, result)
(evidence-tampering, relate excluding, courts)
(evidence-tampering, relate to, matter)
(evidence-tampering, relate excluding, courts as Hubbard commands)
(evidence-tampering, is in, litigation between private parties)
(It, uses, c)
(It, instead uses, c)
(official proceeding, is in, § 1512)
(proceeding, is, defined)
(proceeding, is defined, include)
(official proceeding, is, defined)
(official proceeding, is defined, include)
(proceeding, include, proceeding)
(official proceeding, include, proceeding)
(support, is in, Sentencing Commission 's construction of phrase records)
(Sentencing Commission, in, construction of phrase records)
(phrase, includes, information)
(phrase, used in, Guidelines)
(plurality, cites, note clarifying)
(phrase, includes, communications)
(phrase, includes, electronic information)
(plurality, cites, note)
(phrase, includes, various information)
(phrase, includes, various electronic information)
(phrase, used in, Sentencing Guidelines)
(phrase, includes, storage devices)
(plurality, cites, note in Commission 's Manual)
(storage devices, used in, Sentencing Guidelines)
(Commission, in, Manual)
