(UNITED STATES, v. MARINELLO is, 2018)
(broad statute, was warranted, based on system of self-reporting)
(broad statute, was warranted, based on system)
(statute, was, warranted)
(broad statute, was, warranted)
(we, must leave, ultimate)
(we, agree with, Congress ' judgment)
(Our charge, give, effect)
(Court, frets, fails)
(Court, frets, fails)
(large cash tip, is in, restaurant)
(Omnibus Clause, would cover, hypotheticals)
(its resources, prosecuting, them)
(Government would waste, is, debatable)
(documents, hid, evidence)
(company, about, earnings)
(documents, hid evidence, avoid)
(documents, hid, evidence about his company 's earnings)
(documents, hid evidence, avoid even after warnings from his lawyer)
(documents, hid evidence, avoid after warnings)
(documents, hid evidence, avoid after warnings from his lawyer)
(documents, hid evidence, avoid even after warnings)
(It, find, similar cases prosecuted under Omnibus Clause)
(hid taxable income, is in, elaborate system of trusts)
(26-27, at Floyd is, 740 F. 3d)
(Court, has constructed, opening large)
(Court, has constructed, opening in Omnibus Clause large enough)
(Court, has constructed, opening large enough)
(Court, has constructed, opening in Omnibus Clause)
(Court, has constructed, opening in Omnibus Clause large)
(Court, has constructed, opening)
(power, is, subject)
(he, may, may abused)
(power, is subject to, abuse)
(authority, may, may abused)
(authority, vested in, tax collectors)
(146, at Bisceglia is, supra)
