(UNITED STATES, v. ELONIS is, 2015)
(we, ordinarily apply, presumption)
(we, require, only proof of intent)
(we, require, proof of intent)
(we, require, proof)
(we, ordinarily apply presumption at_time, Absent indicia)
(we, ordinarily apply presumption at_time, Absent such indicia)
(we, ordinarily apply, presumption in favor of scienter)
(we, apply, presumption in favor)
(we, ordinarily apply, presumption in favor)
(defendant, posses, knowledge)
(we, ordinarily apply presumption at_time, such indicia)
(defendant, posses knowledge with respect to, actus reus)
(presumption, is in, favor of scienter)
(we, apply, presumption)
(defendant, posses, s)
(605, at Staples is, supra)
(has settled, is, knowledge)
(has settled, is knowledge, distinguished)
(has settled, is, factual knowledge)
(has settled, distinguished from, knowledge)
(has settled, is factual knowledge, distinguished from knowledge)
(has settled, is knowledge, distinguished from knowledge)
(has settled, is factual knowledge, distinguished from knowledge of law)
(knowledge, requisite, knowing)
(knowledge, knowing, violation)
(has settled, distinguished from, knowledge of law)
(has settled, is factual knowledge, distinguished)
(has settled, is knowledge, distinguished from knowledge of law)
(It, been, has long settled)
(knowledge, knowing, violation of statute)
(It, been, has settled)
(Court, applying, presumption)
(Court, applying presumption in, favor of scienter)
(Court, applying presumption in, favor)
(Our default rule, applies with, force to criminal statutes)
(Our default rule, applies with, full force to criminal statutes)
(Our default rule, applies with, force to statutes)
(Our default rule, is in, favor of general intent)
(Our default rule, applies with, full force)
(Our default rule, applies with, full force to statutes)
(Our default rule, applies with, force)
(Court, ago considered, conviction)
(Court, considered, conviction)
(he, knowledge of, contents)
(such paper, be properly characterized as, obscene)
(such paper, be properly or justly characterized as, obscene)
(notice, knowledge of, paper)
(paper, be characterized as, obscene)
(such paper, be, properly characterized)
(he, put, it)
(he, actual knowledge of, contents)
(paper, be, characterized)
(he, actual knowledge of, paper)
(notice, knowledge of, contents)
(such paper, be, characterized)
(paper, be, properly characterized)
(such paper, be characterized as, obscene)
(notice, actual knowledge of, paper)
(notice, actual knowledge of, contents)
(he, knowledge of, paper)
(paper, be properly characterized as, obscene)
(paper, be properly or justly characterized as, obscene)
(Court, rejected, that)
(it, challenge to, convictions under successor federal statute)
(Court, reaffirmed, Rosen 's holding in Hamling States)
(it, considered, challenge to convictions under successor statute)
(Court, reaffirmed, Rosen 's holding)
(it, considered, challenge to convictions)
(it, considered, challenge)
(it, challenge to, convictions)
(it, considered, challenge to convictions under successor federal statute)
(Rosen, has, holding in Hamling States)
(Rosen 's holding, is in, Hamling States)
(it, challenge to, convictions under successor statute)
(Court, Relying on, Rosen)
(Court, rejected, argument)
(defendant, has, knowledge of legal status of materials)
(prosecution, prove, defendant 's knowledge)
(defendants ' belief, is, irrelevant)
(Court, declined, hold)
(Court, approving, jury instruction)
(prosecution, prove, defendant 's knowledge of status)
(prosecution, prove, defendant 's knowledge of legal status)
(defendants, ', belief as obscenity of material)
(defendant, avoid, prosecution)
(Court, observed, rule otherwise)
(Court, observed, rule)
(courts, took, same approach)
(courts, took, approach)
(Congress, enacted, law)
(Congress, enacted law In, 1917)
(Courts, applying, statute)
(its enactment, require, proof)
(its enactment, require, proof of only intent)
(its enactment, require, proof of general intent)
(its enactment, require, proof of only general intent)
(its enactment, require, proof of intent)
(maker, comprehends, meaning of words uttered)
(maker, comprehending, meaning)
(threat, is, knowingly made)
(maker, comprehends, meaning)
(threat, is, made)
(maker, comprehends, meaning of words uttered by him)
(meaning, maker of, it)
(instance, for F. is, CA7 1918)
(maker, comprehends, meaning of words)
(maker, comprehending, meaning of his words)
(court, was, meant)
(defendant, has, argument)
(court, was meant, only joke)
(court, was meant, joke)
(defendant, has, objection)
(defendant, is, punishable)
(punishable, is, precisely same)
(defendant, is, punishable under act as effect)
(punishable, is, same)
(defendant, is punishable under, act)
(he, uses, words lightly or)
(he, uses, words)
(defendant, is punishable as, he effect upon minds)
(he, uses, words or)
(defendant, is, punishable under act as effect upon minds)
(defendant, is punishable, it explained)
(defendant, is punishable as, he effect)
(I, require, proof of general intent)
(I, would read, § 875)
(I, require, proof of intent)
(I, would read, c)
(I, Applying, ordinary rules of construction)
(I, Applying, ordinary rules of statutory construction)
(I, Applying, rules)
(I, require, proof)
(I, Applying, ordinary rules)
(I, Applying, rules of construction)
(I, Applying, rules of statutory construction)
(he, transmitted, communication)
(their ordinary meaning, is in, context)
(875, has, statutory backdrop)
(courts, had read threats statute before, enactment of § 875)
(courts, had read threats statute, previously discussed)
(courts, had read, threats statute)
(courts, require, proof)
(courts, had read threats statute before, enactment)
(courts, require proof of, intent)
(courts, require proof of, only general intent)
(courts, require proof of, general intent)
(courts, require proof of, only intent)
(courts, had read, Presidential threats statute)
(courts, had read threats statute, discussed)
(it, is, difficult)
(text, supports, opposite inference)
(text, supports, inference)
(anything, supports, opposite inference)
(anything, supports, inference)
(Nothing, is in, statute)
(Congress, departed from, mens rea element of intent at 605)
(Congress, departed from, mens rea element of intent)
(Congress, departed from, mens rea element of general intent at 605)
(Congress, departed from, conventional mens rea element of general intent at 605)
(Congress, departed from, conventional mens rea element)
(Congress, departed from, mens rea element of general intent)
(Congress, departed from, conventional mens rea element of general intent)
(Congress, departed from, conventional mens rea element of intent)
(Congress, departed from, mens rea element)
(Congress, departed from, conventional mens rea element of intent at 605)
(majority, apply, background principles)
(majority, apply, ordinary background principles)
(it, casts, my application of intent)
(it, Instead casts, my application of intent)
(it, Instead casts, my application)
(it, Instead casts, my application of general intent)
(it, casts, my application)
(it, casts, my application of general intent)
(characterization, misses, mark)
(general intent, is in, context)
(intent, prevents defendant Like, mental-state requirements)
(general intent, prevents defendant Like, requirements adopted)
(general intent, prevents defendant, convicted on basis of fact beyond awareness)
(intent, prevents defendant Like, requirements)
(intent, being convicted on, basis of fact beyond awareness)
(general intent, prevents defendant Like, mental-state requirements adopted)
(intent, prevents, defendant)
(general intent, being, convicted)
(general intent, being convicted on, basis of fact beyond his awareness)
(general intent, prevents, defendant)
(intent, prevents defendant, convicted on basis of fact beyond awareness)
(intent, prevents defendant, convicted)
(intent, prevents defendant, convicted on basis of fact beyond his awareness)
(general intent, prevents defendant, convicted on basis of fact beyond his awareness)
(general intent, prevents defendant Like, mental-state requirements)
(intent, prevents defendant Like, requirements adopted)
(general intent, being convicted on, basis of fact beyond awareness)
(intent, prevents defendant Like, mental-state requirements adopted)
(general intent, prevents defendant, convicted)
(intent, being, convicted)
(intent, being convicted on, basis of fact beyond his awareness)
(general intent, prevents defendant Like, requirements)
(614-615, at Staples is, supra)
(jury, by, application of legal standard of threat to contents of communication)
(approach, is, appropriate)
(approach, is, particularly appropriate)
(jury, reject, his argument that)
(his belief, is in, necessity using)
(jury, reject, his argument)
(state court, has, conclusion)
(state, approved According to, Court)
(state, approved in, Hamling)
(mental state, approved in, Hamling)
(state, approved thus in, Hamling)
(mental state, approved thus According to, Court)
(mental state, approved thus in, Hamling)
(mental state, approved According to, Court)
(state, approved thus According to, Court)
(It, is, unclear)
(definition, characterizing, Hamling)
(statute, prohibiting, mailing)
(legal definition, characterizing, Hamling)
(prohibiting, mailing of, obscene materials)
(prohibiting, mailing of, materials)
(statute, prohibiting, mailing of obscene materials)
(statute, prohibiting, mailing of materials)
(majority 's treatment, is, even persuasive)
(majority 's treatment, is, even less persuasive)
(majority 's treatment, is, persuasive)
(majority 's treatment, is, less persuasive)
(majority, has, treatment of Rosen)
(it, shore up, its position)
(argument, is in, Rosen)
(majority, requiring, intent threaten)
(majority today, requiring, intent threaten)
(defendant, of, intent put)
(threat, is in, fear)
(nothing, requires proof, majority explains)
(nothing, requires proof, majority correctly explains)
(nothing, requires, proof)
(nothing, requires, proof of intent threaten)
(nothing, is in, text of § 875 itself)
(absence, is, significant)
(heightened mens rea, is in, context of threat offenses)
(absence, is significant, Congress knows)
(intent-to-threaten element, is, necessary)
(element, is, necessary)
(their ordinary meaning, is in, context)
(he will massacre, is with, machine gun)
(we, read element into, § 875)
(we, read, element)
(we, read element into, c)
(we, read element in, light)
(we, read element in, light of First Amendment)
(we, read, intent-to-threaten element)
(minimum provision, concerning discharge during, crime)
(minimum provision, concerning discharge of firearm during, particular crime)
(United States, read element into, mandatory minimum provision)
(mandatory minimum provision, concerning discharge of firearm during, particular crime)
(mandatory minimum provision, concerning discharge during, particular crime)
(United States, read element into, minimum provision)
(United States, read, element)
(United States, read, intent-to-discharge-the-firearm element)
(minimum provision, concerning, discharge of firearm)
(minimum provision, concerning discharge during, particular crime)
(minimum provision, concerning, discharge)
(mandatory minimum provision, concerning discharge of firearm during, crime)
(mandatory minimum provision, concerning, discharge)
(mandatory minimum provision, concerning, discharge of firearm)
(mandatory minimum provision, concerning discharge during, crime)
(minimum provision, concerning discharge of firearm during, crime)
(First Amendment, should, should treated)
(Elonis, was convicted under, requirements)
(his threatening posts, were, protected)
(his threatening posts, were protected by, First Amendment)
(Elonis, was properly convicted under, requirements)
(his posts, were protected by, First Amendment)
(his posts, were, protected)
(I, must address, his argument)
(his threatening posts, were, nevertheless protected)
(Elonis, was convicted under, requirements of § 875)
(his posts, were, nevertheless protected)
(Elonis, was properly convicted under, requirements of § 875)
(Elonis, was, convicted)
(Elonis, was, properly convicted)
(his threatening posts, were nevertheless protected by, First Amendment)
(his posts, were nevertheless protected by, First Amendment)
(threats, been punished since, 1791)
(intentional threats, been punished in, our Nation)
(threats, been, punished in our Nation since 1791)
(intentional threats, been punished since, 1791)
(I, would, would inclined)
(intentional threats, been, punished in our Nation since 1791)
(it, were, clear)
(intentional threats, been, punished)
(threats, been punished in, our Nation)
(threats, been, punished)
(Laws, pp., 68-69)
(their constitutions, include, speech protections similar)
(speech protections, similar to, those)
(their constitutions, include, speech protections similar to those)
(their constitutions, include, speech protections)
(speech protections, similar to, those in First Amendment)
(States, even amended, their constitutions)
(States, amended, their constitutions)
(their constitutions, include, speech protections similar to those in First Amendment)
(J. Hood, Index of, Colonial)
(State practice, thus provides, at least evidence)
(State practice, thus provides, at least evidence of meaning of phrase in First Amendment)
(State practice, provides, at least evidence of original meaning of phrase)
(State practice, provides, at least evidence of original meaning of phrase in First Amendment)
(State practice, provides, at least evidence of original meaning)
(State practice, thus provides, at least evidence of meaning)
(State practice, thus provides, at least evidence of original meaning of phrase in First Amendment)
(State practice, provides, evidence)
(State practice, thus provides, evidence of meaning of phrase in First Amendment)
(State practice, provides, evidence of original meaning of phrase in First Amendment)
(State practice, thus provides, evidence of original meaning of phrase)
(State practice, provides, at least evidence of meaning of phrase in First Amendment)
(State practice, provides, evidence of original meaning)
(phrase, is in, First Amendment)
(State practice, thus provides, evidence of meaning of phrase)
(State practice, provides, evidence of meaning)
(State practice, thus provides, evidence)
(State practice, thus provides, evidence of meaning)
(State practice, provides, at least evidence of meaning of phrase)
(State practice, thus provides, evidence of original meaning of phrase in First Amendment)
(State practice, provides, evidence of meaning of phrase in First Amendment)
(State practice, thus provides, at least evidence of original meaning)
(State practice, thus provides, at least evidence of meaning of phrase)
(State practice, provides, at least evidence)
(State practice, provides, at least evidence of meaning)
(State practice, provides, evidence of meaning of phrase)
(State practice, provides, evidence of original meaning of phrase)
(State practice, thus provides, at least evidence of original meaning of phrase)
(State practice, thus provides, evidence of original meaning)
(laws, be early analogue, they penalize)
(laws, appear, closest analogue to § 875)
(laws, be, closest early analogue)
(laws, appear, closest early analogue to § 875)
(laws, be early analogue to, § 875)
(laws, appear, closest analogue)
(they, transmitting, communication)
(laws, be, analogue)
(laws, appear, closest early analogue)
(laws, be closest early analogue, they penalize)
(laws, appear, early analogue to § 875)
(laws, be analogue, they penalize)
(laws, be closest early analogue to, c)
(laws, be, early analogue)
(laws, be closest analogue, they penalize)
(laws, be closest analogue to, § 875)
(laws, appear, analogue)
(laws, be closest early analogue to, § 875)
(laws, be analogue to, § 875)
(laws, be, closest analogue)
(laws, be early analogue to, c)
(laws, appear, analogue to § 875)
(laws, appear, early analogue)
(laws, be closest analogue to, c)
(containing, threat without, proof)
(laws, be analogue to, c)
(Threat provisions, appeared alongside, laws)
(Threat provisions, explicitly requiring, proof of specific intent extort)
(Threat provisions, requiring, proof of intent extort)
(Threat provisions, explicitly requiring, proof)
(Threat provisions, requiring, proof of specific intent extort)
(Threat provisions, explicitly requiring, proof of intent extort)
(Threat provisions, requiring, proof)
(laws, were copies of, 1754 English threat statute subject to requirement)
(laws, were copies of, 1754 English threat statute subject to general-intent requirement)
(laws, were copies of, 1754 English threat statute subject)
(laws, were copies of, 1754 English threat statute subject to only requirement)
(laws, were copies of, 1754 English threat statute subject to only general-intent requirement)
(laws, were, copies)
(statute, made, it capital offense)
(Majesty, of, Subject)
(4 W. Blackstone, Commentaries on, Laws of England 144)
(state, was, intent)
(mental state, was, intent)
(state, was, general intent)
(appropriate mental state, was, intent)
(appropriate state, was, general intent)
(appropriate state, was, intent)
(mental state, was, general intent)
(appropriate mental state, was, general intent)
(1 Leach 142, is In, King)
(King, In Leach is, 168 Eng)
(judges, thought On, appeal)
(judges, thought On, appeal following conviction)
(letter, of, language)
(judges, disagreed, must understood)
(letter, importing, threat)
(letter, must, must understood)
(that, was, necessary)
(Springett, has, Case)
(2 E. East, Treatise of, Pleas)
(indictment, was, sufficient)
(early English cases, were, known)
(English cases, were well known in, legal world of century United States)
(cases, Unsurprisingly were known in, legal world of 19th century United States)
(early cases, were, known)
(cases, Unsurprisingly were well known in, legal world)
(early English cases, were well known in, world of century United States)
(early cases, were well known in, legal world of 19th century United States)
(early cases, Unsurprisingly were well known in, legal world of century United States)
(early cases, Unsurprisingly were known in, legal world of 19th century United States)
(cases, Unsurprisingly were known in, world of century United States)
(English cases, Unsurprisingly were well known in, legal world of century United States)
(cases, Unsurprisingly were well known in, world of 19th century United States)
(cases, were well known in, world of century United States)
(cases, Unsurprisingly were well known in, legal world of 19th century United States)
(early cases, were well known in, world)
(English cases, were known in, legal world of 19th century United States)
(English cases, were, known)
(early cases, were well known in, legal world)
(English cases, were well known in, world of century United States)
(English cases, were known in, world of century United States)
(early cases, were well known in, world of century United States)
(cases, Unsurprisingly were known in, legal world)
(early English cases, Unsurprisingly were well known in, legal world)
(early English cases, Unsurprisingly were known in, world of 19th century United States)
(cases, Unsurprisingly were known in, world of 19th century United States)
(English cases, were known in, legal world of century United States)
(English cases, were, Unsurprisingly well known)
(cases, Unsurprisingly were well known in, world of century United States)
(early English cases, were known in, legal world of century United States)
(early English cases, Unsurprisingly were well known in, legal world of century United States)
(early English cases, Unsurprisingly were known in, legal world)
(early cases, Unsurprisingly were well known in, world of century United States)
(English cases, Unsurprisingly were known in, world of 19th century United States)
(cases, were, well known)
(English cases, were well known in, legal world)
(English cases, were, Unsurprisingly known)
(early English cases, were, Unsurprisingly known)
(English cases, Unsurprisingly were known in, legal world of 19th century United States)
(early English cases, Unsurprisingly were well known in, world of 19th century United States)
(early English cases, were well known in, legal world of century United States)
(cases, were well known in, legal world)
(English cases, were well known in, legal world of 19th century United States)
(cases, were well known in, world)
(early cases, were known in, legal world of century United States)
(cases, were known in, world of century United States)
(English cases, Unsurprisingly were known in, legal world of century United States)
(early English cases, Unsurprisingly were known in, world of century United States)
(cases, were known in, legal world of 19th century United States)
(early English cases, were known in, legal world)
(early English cases, Unsurprisingly were well known in, world of century United States)
(early English cases, were known in, world of century United States)
(early cases, were, Unsurprisingly well known)
(early cases, Unsurprisingly were known in, legal world of century United States)
(early cases, Unsurprisingly were well known in, legal world)
(early English cases, were well known in, legal world of 19th century United States)
(early cases, were, Unsurprisingly known)
(early cases, Unsurprisingly were well known in, world of 19th century United States)
(early cases, Unsurprisingly were known in, world)
(early cases, Unsurprisingly were known in, world of century United States)
(early English cases, Unsurprisingly were well known in, legal world of 19th century United States)
(early cases, were known in, world of 19th century United States)
(cases, were known in, world of 19th century United States)
(English cases, were known in, legal world)
(early English cases, were well known in, world of 19th century United States)
(early cases, were known in, legal world)
(English cases, Unsurprisingly were known in, legal world)
(early English cases, were known in, legal world of 19th century United States)
(early English cases, were, Unsurprisingly well known)
(early English cases, were well known in, legal world)
(English cases, Unsurprisingly were known in, world)
(early English cases, were known in, world of 19th century United States)
(English cases, Unsurprisingly were well known in, world of 19th century United States)
(early cases, Unsurprisingly were known in, legal world)
(cases, were, known)
(cases, were well known in, legal world of 19th century United States)
(cases, Unsurprisingly were known in, world)
(early English cases, were, well known)
(early cases, were well known in, world of 19th century United States)
(English cases, Unsurprisingly were well known in, legal world of 19th century United States)
(early cases, were known in, world)
(early cases, were well known in, legal world of century United States)
(English cases, Unsurprisingly were well known in, world)
(early cases, were, well known)
(early English cases, were known in, world)
(English cases, were, well known)
(English cases, Unsurprisingly were known in, world of century United States)
(early cases, Unsurprisingly were well known in, legal world of 19th century United States)
(English cases, were known in, world)
(English cases, were well known in, world of 19th century United States)
(early English cases, were well known in, world)
(English cases, Unsurprisingly were well known in, legal world)
(cases, were well known in, world of 19th century United States)
(early English cases, Unsurprisingly were known in, world)
(English cases, Unsurprisingly were well known in, world of century United States)
(cases, were well known in, legal world of century United States)
(early cases, were known in, world of century United States)
(cases, were, Unsurprisingly known)
(cases, were, Unsurprisingly well known)
(early English cases, Unsurprisingly were well known in, world)
(early English cases, Unsurprisingly were known in, legal world of century United States)
(cases, Unsurprisingly were well known in, legal world of century United States)
(cases, Unsurprisingly were known in, legal world of century United States)
(early English cases, Unsurprisingly were known in, legal world of 19th century United States)
(early cases, were known in, legal world of 19th century United States)
(early cases, Unsurprisingly were well known in, world)
(cases, were known in, legal world of century United States)
(cases, Unsurprisingly were well known in, world)
(cases, were known in, world)
(English cases, were well known in, world)
(early cases, Unsurprisingly were known in, world of 19th century United States)
(English cases, were known in, world of 19th century United States)
(cases, were known in, legal world)
(summarized, decisions such as, Girdwood)
(American Law, of Abridgement is, 1824)
(7 N. Dane, Abridgement of, American Law)
(It, is, true)
(It, is doubtless true, Court recognized)
(It, is true, Court ago recognized)
(It, is doubtless true, Court long ago recognized)
(It, is doubtless true, Court ago recognized)
(It, is, doubtless true)
(It, is true, Court recognized)
(It, is true, Court long ago recognized)
(neither, is, persuasive)
(English statute, was, levelled)
(He, points to, treatise)
(He, first points to, treatise)
(He, first points to, treatise stating)
(1754 English statute, was, levelled)
(He, points to, treatise stating)
(Crimes 1845, on Treatise is, 1st Am)
(2 W. Russell, Treatise on, Crimes 1845)
(Another, involves prosecution, it required)
(it, required, intent extort)
(Another, involves, prosecution)
(Another, involves, prosecution under blackmailing statute)
(Another, involves, prosecution under statute similar)
(it, expressly required, intent extort)
(it, intent, extort)
(Another, involves prosecution, it expressly required)
(Another, involves, prosecution under statute)
(Another, involves, prosecution under blackmailing statute similar)
(2 J. Bishop, Commentaries on, Criminal Law § 1201)
(2 J. Bishop, Commentaries on, Law of Criminal Procedure § 975)
(these, make, his point)
(prior letters, show, intent of letter in question)
(letters, are, competent)
(meaning, intent of, letter)
(prior letters, show, meaning)
(letters, show, meaning)
(meaning, intent of, letter in question)
(letters, show, intent of particular letter in question)
(prior letters, show, intent of letter)
(meaning, intent of, particular letter)
(letters, show, intent)
(letters, show, intent of particular letter)
(letters, show, intent of letter)
(prior letters, show, intent)
(prior letters, show, intent of particular letter in question)
(letters, show, intent of letter in question)
(particular letter, is in, question)
(prior letters, show, intent of particular letter)
(meaning, intent of, particular letter in question)
(that, is, essential)
(prior letters, are, competent)
(it, is, unclear)
(it, cited for, proposition)
(it, is unclear from, statement)
(Rep. 827, supports, general-intent approach)
(Rep. 826 827, supports, approach)
(Rep. 826 827, supports, general-intent approach)
(Rep. 827, supports, approach)
(case, thus provides, support for Elonis ' position)
(case, thus provides, historical support for Elonis ' position)
(case, provides, scant support)
(case, provides, scant historical support for Elonis ' position)
(case, thus provides, scant historical support for Elonis ' position)
(case, provides, historical support for Elonis ' position)
(case, provides, historical support)
(case, thus provides, scant historical support)
(case, provides, scant historical support)
(case, thus provides, support)
(case, thus provides, scant support)
(case, provides, support)
(case, thus provides, scant support for Elonis ' position)
(case, provides, scant support for Elonis ' position)
(case, thus provides, historical support)
(case, provides, support for Elonis ' position)
(our precedents, require, mental state of intent)
(it, comes under, § 875)
(our precedents, state of, intent)
(our precedents, require, state of intent)
(our precedents, require, mental state)
(our precedents, mental state of, intent)
(it, relying on, Watts)
(it, comes under, c)
(it, primarily relying on, Watts)
(our precedents, require, state)
(it, comes to, threat prosecutions)
(Watts, address, state required for true threat)
(Watts, address, state required for threat)
(Watts, address, mental state)
(Watts, expressly declined, Elonis admits)
(Watts, address, state)
(Watts, address, mental state required under First Amendment)
(Watts, address, mental state required)
(Watts, address, state required)
(Watts, address, mental state required under First Amendment for threat)
(Watts, address, mental state required under First Amendment for true threat)
(Watts, address, state required under First Amendment for threat)
(Watts, address, state required under First Amendment for true threat)
(Watts, address, state required under First Amendment)
(Watts, address, mental state required for threat)
(Watts, declined, Elonis admits)
(Watts, address, mental state required for true threat)
(Court, noted about, Raganksy 's construction)
(Court, True noted doubts about, Raganksy 's construction of willfully)
(Court, True noted doubts about, Raganksy 's construction of willfully in presidential threats statute)
(Court, True noted doubts about, Raganksy 's construction)
(Court, noted about, Raganksy 's construction of willfully in threats statute)
(Court, True noted, grave doubts)
(Court, noted doubts about, Raganksy 's construction of willfully)
(Raganksy, about, construction of willfully in presidential threats statute)
(Court, is in, Watts)
(Court, noted, doubts)
(Court, noted about, Raganksy 's construction of willfully in presidential threats statute)
(Court, noted about, Raganksy 's construction of willfully)
(Court, True noted about, Raganksy 's construction)
(Court, noted doubts about, Raganksy 's construction of willfully in threats statute)
(Court, True noted about, Raganksy 's construction of willfully)
(Court, True noted, doubts)
(Court, True noted about, Raganksy 's construction of willfully in presidential threats statute)
(Court, True noted about, Raganksy 's construction of willfully in threats statute)
(Court, True noted doubts about, Raganksy 's construction of willfully in threats statute)
(Court, noted doubts about, Raganksy 's construction)
(Court, noted doubts about, Raganksy 's construction of willfully in presidential threats statute)
(Court, noted, grave doubts)
(stray statement, is in, Watts)
(anything, continued, long tradition focusing)
(anything, continued, tradition focusing)
(anything, continued, tradition focusing on criteria)
(Watts, continued, long tradition focusing on objective criteria)
(Watts, continued, tradition focusing on objective criteria)
(anything, continued, long tradition focusing on criteria)
(Watts, continued, tradition focusing on criteria)
(Watts, continued, long tradition focusing)
(Watts, continued, tradition focusing)
(Watts, continued, long tradition focusing on criteria)
(anything, continued, long tradition focusing on objective criteria)
(anything, continued, tradition focusing on objective criteria)
(little, is, constitutionally mandated)
(intent-to-threaten requirement, is, constitutionally mandated here)
(intent-to-threaten requirement, is, mandated here)
(requirement, is, constitutionally mandated)
(intent-to-threaten requirement, is, mandated)
(little, is, mandated here)
(requirement, is, mandated here)
(little, is, mandated)
(little, is, constitutionally mandated here)
(Court, has, fractured opinion Black likewise says)
(intent-to-threaten requirement, is, constitutionally mandated)
(requirement, is, constitutionally mandated here)
(requirement, is, mandated)
(Black decision, focus of was, presumption)
(focus, was on, presumption)
(decision, focus of was, Moreover statutory presumption)
(Black decision, focus of was, Moreover presumption)
(decision, focus of was, Moreover presumption)
(Black decision, focus of was, Moreover statutory presumption)
(focus, was on, Moreover presumption)
(focus, was on, statutory presumption)
(decision, focus of was, statutory presumption)
(decision, focus of was, presumption)
(focus, was on, Moreover statutory presumption)
(Black decision, focus of was, statutory presumption)
(it, might allow, convictions based solely on fact of cross burning including cross burnings at rally)
(it, might allow, convictions based solely on fact of cross burning itself)
(it, might allow, convictions based solely including cross burnings in play at political rally)
(it, might allow, convictions based solely on fact of cross burning including cross burnings in play)
(convictions, based including, cross burnings in play at political rally)
(presumption, distinguish, unprotected threats from speech)
(it, might allow, convictions based solely on fact of cross burning including cross burnings in play at rally)
(presumption, distinguish, threats from speech)
(convictions, based on, fact of cross burning itself)
(convictions, based solely including, cross burnings at political rally)
(it, might allow, convictions based including cross burnings in play)
(it, might allow, convictions based including cross burnings at political rally)
(presumption, distinguish, threats)
(it, might allow, convictions based on fact of cross burning itself including cross burnings at rally)
(it, might allow, convictions based solely on fact of cross burning itself including cross burnings at rally)
(convictions, based solely on, fact of cross burning)
(it, might allow, convictions based on fact of cross burning including cross burnings at rally)
(it, might allow, convictions based on fact of cross burning including cross burnings in play)
(it, might allow, convictions based on fact of cross burning itself including cross burnings in play at rally)
(burnings, is in, play)
(it, might allow, convictions based solely on fact including cross burnings)
(it, might allow, convictions based on fact including cross burnings in play at rally)
(convictions, based including, cross burnings)
(convictions, based solely on, fact of cross burning itself)
(it, might allow, convictions based on fact of cross burning itself including cross burnings in play at political rally)
(it, might allow, convictions based including cross burnings)
(presumption, failed, it might allow)
(it, might allow, convictions based solely including cross burnings at political rally)
(convictions, based including, cross burnings at rally)
(it, might allow, convictions based solely on fact of cross burning)
(it, might allow, convictions based solely on fact including cross burnings at political rally)
(convictions, based including, cross burnings at political rally)
(it, might allow, convictions based solely on fact of cross burning itself including cross burnings)
(it, might allow, convictions based solely on fact of cross burning including cross burnings)
(it, might allow, convictions based on fact of cross burning itself)
(presumption, distinguish, threats from protected speech)
(it, might allow, convictions based solely on fact of cross burning including cross burnings in play at political rally)
(it, might allow, convictions based on fact of cross burning itself including cross burnings at political rally)
(it, might allow, convictions based solely on fact of cross burning itself including cross burnings in play at rally)
(convictions, based on, fact of cross burning)
(it, might allow, convictions based solely on fact of cross burning including cross burnings at political rally)
(it, might allow, convictions based on fact including cross burnings)
(it, might allow, convictions based on fact including cross burnings in play)
(convictions, based including, cross burnings in play at rally)
(it, might allow, convictions based solely on fact of cross burning itself including cross burnings in play at political rally)
(it, might allow, convictions based solely on fact including cross burnings in play)
(it, might allow, convictions based on fact of cross burning including cross burnings in play at political rally)
(it, might allow, convictions based including cross burnings at rally)
(convictions, based solely including, cross burnings in play at political rally)
(it, might allow, convictions based solely on fact of cross burning itself including cross burnings at political rally)
(it, might allow, convictions based including cross burnings in play at political rally)
(convictions, based solely including, cross burnings)
(it, might allow, convictions based on fact of cross burning including cross burnings)
(it, might allow, convictions based solely on fact including cross burnings in play at political rally)
(it, might allow, convictions based on fact of cross burning itself including cross burnings in play)
(convictions, based solely including, cross burnings in play)
(convictions, based solely on, fact)
(convictions, based solely including, cross burnings at rally)
(presumption, distinguish, unprotected threats from protected speech)
(it, might allow, convictions based on fact including cross burnings in play at political rally)
(it, might allow, convictions based solely on fact including cross burnings at rally)
(it, might allow, convictions based)
(it, might allow, convictions based on fact including cross burnings at political rally)
(it, might allow, convictions based on fact including cross burnings at rally)
(it, might allow, convictions based solely on fact)
(it, might allow, convictions based on fact of cross burning)
(it, might allow, convictions based on fact of cross burning including cross burnings at political rally)
(presumption, distinguish, unprotected threats)
(it, might allow, convictions based solely including cross burnings in play at rally)
(it, might allow, convictions based solely on fact including cross burnings in play at rally)
(convictions, based on, fact)
(it, might allow, convictions based solely)
(it, might allow, convictions based on fact)
(it, might allow, convictions based including cross burnings in play at rally)
(it, might allow, convictions based on fact of cross burning including cross burnings in play at rally)
(convictions, based including, cross burnings in play)
(it, might allow, convictions based on fact of cross burning itself including cross burnings)
(it, might allow, convictions based solely including cross burnings in play)
(it, might allow, convictions based solely including cross burnings)
(it, might allow, convictions based solely on fact of cross burning itself including cross burnings in play)
(it, might allow, convictions based solely including cross burnings at rally)
(convictions, based solely including, cross burnings in play at rally)
(statement, is, made)
(objective standard, avoid, problem)
(standard, avoid problem by, forc jurors)
(standard, avoid, problem)
(objective standard, avoid problem by, forc jurors)
(480, at Jeffries is, 692 F. 3d)
(proof, without Cohen is, 403 U. S. 15 20 1971)
(legislature, fighting, words)
(Court, indicated For, instance)
(words, turns, how citizen would react to language)
(defendant, be guilty of, breach)
(words, turns, how ordinary citizen would react)
(ordinary citizen, would react ibid. to, language)
(words, turns, ordinary citizen would react ibid.)
(citizen, would react to, language)
(words, turns, how ordinary citizen would react to language)
(defendant, be, guilty)
(words, turns, how citizen would react ibid.)
(words, turns, ordinary citizen would react)
(disturbance, violence of, good order)
