(UNITED STATES, v. BECKLES is, 2017)
(rule, binding, legal effect)
(rule, binding, effect)
(rule, binding effect through, rules)
(rule, binding effect for, appellate review)
(same principle, should dictate, result)
(principle, should dictate, same result)
(same principle, should dictate result in, case)
(principle, should dictate, result)
(same principle, should dictate, same result)
(principle, should dictate result in, case)
(Guidelines, can carry, legal weight)
(Guidelines, can carry, sufficient legal weight)
(Guidelines, can carry, sufficient weight)
(Guidelines, warrant, scrutiny)
(Guidelines, can carry, weight)
(Guidelines, warrant scrutiny under, Eighth Amendment)
(considering, challenge to, statute)
(court, will apply, standard than)
(court, will apply, legal standard than)
(court, will apply, standard)
(considering, challenge to, statute under Ex Post Facto Clause)
(considering, challenge to, criminal statute)
(court, will apply, different legal standard)
(court, will apply, legal standard)
(court, will apply, different legal standard than)
(court, will apply, different standard than)
(considering, challenge to, criminal statute under Ex Post Facto Clause)
(court, will apply, different standard)
(Our opinion, is, particularly difficult)
(Our opinion, is, difficult)
(Our opinion, is in, Peugh)
(Clause, has, prohibition)
(none, exists, .4)
(there can vagueness concern, is with, system)
(argument, fundamentally misunderstands, problem caused by court 's reliance on sentencing guideline)
(argument, misunderstands, problem caused)
(argument, fundamentally misunderstands, problem caused by court 's reliance on vague sentencing guideline)
(argument, fundamentally misunderstands, problem)
(argument, misunderstands, problem)
(argument, fundamentally misunderstands, problem caused by court 's reliance)
(argument, misunderstands, problem caused by court 's reliance on sentencing guideline)
(court, by, reliance on vague sentencing guideline)
(argument, misunderstands, problem caused by court 's reliance on vague sentencing guideline)
(argument, misunderstands, problem caused by court 's reliance)
(argument, fundamentally misunderstands, problem caused)
(courts, relied for, many years)
(courts, relied for, years)
(federal courts, relied for, many years)
(federal courts, relied for, years)
(Sentencing Guidelines, is in, Federal Courts 9-14)
(363, at Mistretta is, 488 U. S.)
(sentencing judge, considers, full range)
(sentencing judge, imposes, sentence)
(sentencing judge, imposes sentence in, light of considerations)
(sentencing judge, considers, full range of relevant aggravating)
(sentencing judge, imposes sentence in, light)
(sentencing judge, considers, range of aggravating)
(sentencing judge, considers, full range of aggravating)
(sentencing judge, considers, range)
(sentencing judge, considers, range of relevant aggravating)
(federal judicial tradition, in uniform is, crime)
(sentencing judge, has, discretion)
(majority, misapprehends, nature)
(sentencing judge, relies on, inscrutably vague guideline)
(sentencing judge, relies on, guideline)
(sentencing judge, relies on, vague guideline)
(he determination, informed by, exercise reasoned judgment)
(he, rather faces, fact)
(he determination, informed by, exercise)
(determination, informed by, exercise of judgment)
(he context-sensitive determination, informed by, exercise judgment)
(determination, informed by, exercise)
(context-sensitive determination, informed by, exercise of judgment)
(context-sensitive determination, informed by, exercise)
(determination, informed by, exercise of reasoned judgment)
(he context-sensitive determination, informed by, exercise reasoned judgment)
(he context-sensitive determination, informed by, exercise)
(context-sensitive determination, informed by, exercise of reasoned judgment)
(he determination, informed by, exercise judgment)
(he, faces, fact)
(defendant, sentenced, pursuant)
(district court, will assess, his characteristics)
(lodestone, is, set)
(Pennsylvania, is, premise)
(understandable meaning, is with, legal standards)
(Giaccio, is, premise)
(382 U. S. 399, is, premise)
(U. S. 399, is, premise)
(it, is, reliance on impenetrable rule as baseline)
(it, is, reliance on rule as baseline for exercise of discretion)
(it, is, reliance on rule as baseline)
(it, is reliance as, baseline)
(it, is, reliance on rule as baseline for exercise)
(it, is, reliance)
(it, is reliance on, rule)
(it, is, reliance on impenetrable rule as baseline for exercise)
(it, is reliance as, baseline for exercise of discretion)
(it, is reliance on, impenetrable rule)
(it, is reliance as, baseline for exercise)
(it, is, reliance on impenetrable rule as baseline for exercise of discretion)
(___, at Johnson is, 576 U. S.)
(majority, ends, speculating)
(Congress, instructed, courts)
(Congress, instructed courts, consider)
(residual clause, is in, case)
(terms, terms, indistinguishable from residual clause)
(terms, terms, indistinguishable from clause at issue in case)
(terms, terms, indistinguishable from clause at issue)
(terms, terms, indistinguishable from residual clause at issue)
(terms, terms, in its view indistinguishable from residual clause at issue)
(terms, terms, in its view indistinguishable from residual clause at issue in case)
(terms, terms, in its view indistinguishable from clause at issue)
(terms, terms, indistinguishable)
(terms, terms, in its view indistinguishable from clause in case)
(terms, terms, indistinguishable from clause in case)
(terms, terms, indistinguishable from clause)
(terms, terms, in its view indistinguishable from residual clause in case)
(terms, terms, in its view indistinguishable)
(terms, terms, in its view indistinguishable from residual clause)
(terms, terms, in its view indistinguishable from clause)
(terms, terms, in its view indistinguishable from clause at issue in case)
(terms, terms, indistinguishable from residual clause at issue in case)
(terms, terms, indistinguishable from residual clause in case)
(man 's fate, depends, his estimating rightly)
(man 's fate, depends, his estimating)
(such rules, call for, application of qualitative standard)
(rules, call for, application)
(such rules, call for, application of standard)
(rules, call for, application of standard)
(such rules, call for, application)
(rules, call for, application of qualitative standard)
(law, is, full)
(man, has, fate)
(it, application of, ambiguous standard)
(it, application of, ambiguous standard to idealized ordinary case of crime)
(it, required, application of ambiguous standard to ordinary case)
(it, required, application of ambiguous standard to idealized case)
(it, application of, ambiguous standard to idealized case of crime)
(it, required, application of standard to ordinary case of crime)
(it, application of, ambiguous standard to ordinary case)
(it, required, application of ambiguous standard to idealized ordinary case of crime)
(it, required, application of standard to idealized ordinary case)
(it, application of, ambiguous standard to case of crime)
(it, required, application of ambiguous standard to idealized case of crime)
(it, application of, standard to ordinary case)
(it, required, application of standard to idealized case)
(it, application of, standard to idealized case of crime)
(it, application of, ambiguous standard to idealized case)
(it, application of, ambiguous standard to ordinary case of crime)
(it, application of, standard to idealized ordinary case)
(it, application of, standard to case)
(ACCA, has, residual clause)
(it, required, application of standard)
(it, required, application of ambiguous standard to ordinary case of crime)
(it, application of, standard to case of crime)
(it, application of, standard to idealized case)
(it, application of, standard to ordinary case of crime)
(it, required, application)
(it, application of, ambiguous standard to case)
(it, required, application of ambiguous standard to idealized ordinary case)
(it, required, application of standard to idealized case of crime)
(it, required, application of standard to case)
(it, application of, standard)
(it, required, application of standard to idealized ordinary case of crime)
(it, application of, ambiguous standard to idealized ordinary case)
(it, application of, standard to idealized ordinary case of crime)
(it, required, application of ambiguous standard to case of crime)
(it, required, application of ambiguous standard)
(it, required, application of ambiguous standard to case)
(it, required, application of standard to case of crime)
(it, required, application of standard to ordinary case)
(clause, vague in, words)
(residual clause, vague in, words)
(clause, unconstitutionally vague in, other words)
(clause, vague in, other words)
(residual clause, unconstitutionally vague in, words)
(residual clause, vague in, other words)
(clause, unconstitutionally vague in, words)
(residual clause, unconstitutionally vague in, other words)
(same, is, true here)
(same, is, true)
(it, has previously found, vague)
(it, has found, vague)
(sentencing factors, described by, majority bear)
(circumstances, characteristics of, defendant)
(circumstances, nature of, offense)
(majority, has, concern)
(Clause, has, prohibition on vagueness)
(Court, has, decision)
(Court 's decision, permits, result)
(Court 's decision, permits exactly result at_time, today)
(Court 's decision, permits exactly, result)
(Court 's decision, permits result at_time, today)
(I, concur in, judgment)
(I, concur in, only judgment)
(I, concur With, respect)
(U. S. C. § 3553, sentencing courts, consider)
(18 U. S. C. § 3553, sentencing, courts)
(18 U. S. C. § 3553, sentencing courts, consider)
(U. S. C. § 3553, sentencing, courts)
(defendant, is, sentenced)
(references, is in, opinion to Guidelines)
(references, are to, 2006 version)
(references, are to, Accordingly 2006 version)
(residual clause, is stricken as, impermissibly vague)
(commentary, is, inconsistent)
(commentary, is inconsistent with, § 4B1 .2)
(residual clause, is stricken from, Guideline)
(clause, is stricken as, impermissibly vague)
(residual clause, is, stricken)
(clause, is, stricken)
(commentary, is inconsistent, stricken from Guideline)
(commentary, is inconsistent, stricken)
(residual clause, is stricken as, vague)
(clause, is stricken from, Guideline)
(clause, is stricken as, vague)
(provision, considering, language)
(provision, considering, illustrative language)
(problematic provision, considering, illustrative language)
(problematic provision, considering, language)
(enigmatic provision, clear, applied)
(provision, clear, applied to challenger)
(construction, rendered, enigmatic provision)
(enigmatic provision, clear, applied to challenger)
(construction, rendered, provision)
(construction, rendered, otherwise enigmatic provision)
(clarifying construction, rendered, otherwise enigmatic provision)
(construction, rendered, enigmatic provision clear)
(clarifying construction, rendered, provision)
(clarifying construction, rendered, provision clear)
(clarifying construction, rendered, otherwise enigmatic provision clear)
(construction, rendered, provision clear)
(clarifying construction, rendered, enigmatic provision)
(clarifying construction, rendered, enigmatic provision clear)
(construction, rendered, otherwise enigmatic provision clear)
(provision, clear, applied)
(same, is true of, Guideline at issue here)
(same, is true of, career-offender Guideline)
(same, is true of, Guideline at issue)
(same, is true of, Guideline)
(same, is true of, career-offender Guideline at issue)
(same, is, true)
(same, is true of, career-offender Guideline at issue here)
(sentences, were, originally enhanced)
(sentences, were originally enhanced under, Guideline)
(sentences, were, enhanced)
(sentences, were enhanced under, Guideline)
(banc, en 721-725 is, CA7 2016)
(Guidelines, did fix, permissible range of sentences)
(Court, has, adherence to formalistic distinction between mandatory rules)
(Guidelines, did fix, range)
(defendants vagueness attacks, sentenced to, terms imprisonment)
(defendants vagueness attacks, sentenced to, terms)
(defendants, mount, vagueness attacks)
(Court 's adherence, leaves, open question)
(Guidelines, range of, sentences)
(Guidelines, did fix, permissible range)
(defendants, sentenced to, terms)
(Court 's adherence, leaves, question)
(decision, is in, United States)
(defendants, mount vagueness attacks on, their sentences)
(Guidelines, did fix, range of sentences)
(defendants, sentenced to, terms imprisonment)
(Guidelines, permissible range of, sentences)
(Guidelines, are subject to, vagueness challenges)
(Ninth Circuit, held for, decades)
(Ninth Circuit, Indeed held for, decades)
(Guidelines, are, subject)
