(Sergeant Randy Baker, is with, warrant for his arrest)
(car, was, stopped by shot by spike strips)
(spike strips, are, fallible)
(set, failed in, case)
(first set, failed in, case)
(majority, cites, 508 F. 3d 576)
(majority, cites, Slaton)
(majority, cites, CA11 2007)
(majority, cites, Long)
(officer, stop, suspect)
(officer, fired In, Long)
(officer, stop suspect, fleeing in police cruiser)
(officer, stop suspect, fleeing in stolen police cruiser)
(officer, stop suspect, fleeing)
(Eleventh Circuit, held, that)
(majority, can point to, possible marginal gain in shooting at car)
(majority, using spike strips in, place)
(majority, using, spike strips)
(majority, using spike strips in, already place)
(It, is, established)
(it, level of, governmental interest)
(It, is, clearly established)
(Leija, has, clearly established right free of intrusion)
(majority, largely evades question, focusing primarily)
(majority, evades, legal question)
(majority, largely evades, question)
(majority, largely evades, key legal question)
(majority, largely evades, legal question)
(majority, evades, key legal question)
(majority, evades, key question)
(majority, largely evades, key question)
(majority, evades question, focusing primarily)
(majority, evades, question)
(majority, largely evades question, focusing)
(majority, evades question, focusing)
(Leija, posed, sufficient)
(384, at Scott is, 550 U. S.)
(Mullenix, employ tactic in addition to, tactic designed)
(Mullenix, employ tactic in addition to, tactic specifically designed)
(Mullenix, employ, tactic)
(lethal tactic, shooting at, Leija 's engine block)
(Mullenix, employ, potentially lethal tactic)
(Mullenix, employ tactic in addition to, tactic)
(Mullenix, employ, shooting)
(Mullenix, employ, shooting at Leija 's engine block)
(Leija, at, engine block)
(Mullenix, employ, lethal tactic)
(Court, does without, full briefing)
(Court, does without, briefing)
(Court, does without, so briefing)
(Court, does without, so full briefing)
(majority, has, exhortation)
(exhortation, is, red)
(ante, is, herring)
(ante, is, red herring)
(ante, is, red)
(Fifth Circuit, ignored in, its immunity analysis)
(Fifth Circuit, ignored in, its qualified immunity analysis)
(Fifth Circuit, supposedly ignored in, its immunity analysis)
(Fifth Circuit, supposedly ignored in, its qualified immunity analysis)
(facts, was, intoxicated)
(governmental interest, is in, shooting)
(Mullenix, constitutionally fire on, Leija 's car)
(Mullenix, fire on, Leija 's car)
(Mullenix, waiting for, spike strips)
(Leija, on, car)
(majority, recharacterizes, Mullenix 's decision shoot as heat-of-the-moment choice)
(majority, recharacterizes, Mullenix 's decision shoot at Leija 's engine block made)
(majority, recharacterizes, Mullenix 's decision shoot as choice made)
(majority, recharacterizes, Mullenix 's decision shoot at Leija 's engine block as split-second choice)
(majority, recharacterizes, Mullenix 's decision shoot at Leija 's engine block as split-second heat-of-the-moment choice)
(majority, recharacterizes, Mullenix 's decision shoot at Leija 's engine block as heat-of-the-moment choice made)
(suspect, was, moments)
(majority, recharacterizes, Mullenix 's decision shoot at Leija 's engine block)
(suspect, was, moments away)
(majority, recharacterizes, Mullenix 's decision shoot as choice)
(majority, recharacterizes, Mullenix 's decision shoot as split-second choice made)
(majority, recharacterizes, Mullenix 's decision shoot at Leija 's engine block as heat-of-the-moment choice)
(majority, recharacterizes, Mullenix 's decision shoot as heat-of-the-moment choice made)
(majority, recharacterizes, Mullenix 's decision shoot at Leija 's engine block as split-second heat-of-the-moment choice made)
(majority, recharacterizes, Mullenix 's decision shoot at Leija 's engine block as split-second choice made)
(suspect, was, when moments away)
(majority, recharacterizes, Mullenix 's decision shoot as split-second heat-of-the-moment choice)
(majority, recharacterizes, Mullenix 's decision shoot at Leija 's engine block as choice)
(Mullenix, has, decision shoot at engine block as split-second heat-of-the-moment choice made)
(majority, recharacterizes, Mullenix 's decision shoot as split-second heat-of-the-moment choice made)
(majority, recharacterizes, Mullenix 's decision shoot at Leija 's engine block as choice made)
(majority, recharacterizes, Mullenix 's decision shoot made)
(majority, recharacterizes, Mullenix 's decision shoot as split-second choice)
(suspect, was, when moments)
(majority, recharacterizes, Mullenix 's decision shoot)
(Leija, at, engine block)
(one, reading, majority opinion)
(majority, also glosses over, facts)
(Mullenix, has, superior officer)
(time, ask, Byrd)
(time, ask Byrd for, permission to fire)
(time, ask Byrd for, permission upon Leija)
(Byrd, told, Mullenix)
(time, ask Byrd for, permission to fire upon Leija)
(majority, glosses over, facts)
(time, ask Byrd for, permission)
(position, discussing, his step)
(position, discussing, his step with fellow officer)
(shooting position, discussing, his next step with officer)
(position, discussing, his next step with fellow officer)
(shooting position, discussing, his next step with fellow officer)
(Mullenix, receiving, Byrd 's response)
(Mullenix, spent minutes in, shooting position)
(position, discussing, his next step with officer)
(his next step, is with, fellow officer)
(shooting position, discussing, his step with fellow officer)
(Mullenix, spent minutes in, position)
(Mullenix, spent, minutes)
(shooting position, discussing, his step with officer)
(position, discussing, his step with officer)
(Byrd, has, response)
(shooting position, discussing, his step)
(position, discussing, his next step)
(shooting position, discussing, his next step)
(Mullenix, Even receiving, Byrd 's response)
(reading, would render, Mullenix 's choice)
(appropriate reading, would render, Mullenix 's choice)
(reading, would thus render, Mullenix 's choice)
(Mullenix, has, choice)
(appropriate reading, would thus render, Mullenix 's choice)
(majority, asking, appropriate legal question)
(majority, asking, legal question)
(majority, asking, question)
(majority, asking, appropriate question)
(Mullenix, confronted, his superior officer)
(Mullenix, confronted, his officer)
(Fourth Amendment, to, objectively reasonable inquiry)
(officer 's actual intentions, are irrelevant to, Fourth Amendment 's reasonable inquiry)
(officer 's intentions, are irrelevant to, Amendment 's reasonable inquiry)
(officer 's intentions, are, irrelevant)
(officer 's actual intentions, are irrelevant to, Fourth Amendment 's objectively reasonable inquiry)
(officer, has, actual intentions)
(officer 's intentions, are irrelevant to, Amendment 's inquiry)
(officer 's intentions, are irrelevant to, Fourth Amendment 's inquiry)
(officer 's actual intentions, are irrelevant to, Amendment 's reasonable inquiry)
(officer 's actual intentions, are irrelevant to, Amendment 's inquiry)
(officer 's intentions, are irrelevant to, Fourth Amendment 's reasonable inquiry)
(officer 's actual intentions, are, irrelevant)
(officer 's intentions, are irrelevant to, Amendment 's objectively reasonable inquiry)
(officer 's actual intentions, are irrelevant to, Fourth Amendment 's inquiry)
(officer 's actual intentions, are irrelevant to, Amendment 's objectively reasonable inquiry)
(officer 's intentions, are irrelevant to, Fourth Amendment 's objectively reasonable inquiry)
(comment, seems, to me Court 's decision supports)
(Court 's decision, revealing of, culture)
(Court, has, decision)
(comment, seems, Court 's decision supports)
(it, calls, it reasonable)
(Court 's decision, supports to, me)
(Mullenix, has, petition)
(I, would deny, Mullenix 's petition)
(we, view facts in, light favorable)
(Mullenix disputes, view, facts)
(Mullenix disputes, hearing, Byrd 's response)
(we, view, facts)
(Mullenix disputes, view facts in, light most favorable)
(we, view facts in, favorable)
(Mullenix, has, motion for summary judgment)
(Mullenix disputes, view facts in, most favorable)
(Byrd, has, response)
(we, view facts in, most favorable)
(Mullenix disputes, view facts in, light favorable)
(Mullenix disputes, view facts in, favorable)
(we, view facts in, light most favorable)
(majority, describes, choice between strips)
(majority, describes choice as, choice)
(majority, describes choice as, choice between one alternative)
(majority, describes, choice)
(majority, describes, choice between spike strips)
(majority, describes choice as, choice between one dangerous alternative)
(spike strips, pose, danger)
(Leija, would, For another would subjected)
(Leija, would, For another would subjected to danger posed by spike strips)
(Leija, would, would subjected to danger posed)
(Leija, would, For another would subjected to danger)
(Leija, would, would subjected)
(Leija, would, For another would subjected to danger posed)
(Leija, would, would subjected to danger)
(Leija, would, would subjected to danger posed by spike strips)
(danger, posed by, spike strips)
(Leija, has, car)
(Leija 's car, hit, spike strips)
(Leija 's car, rolled, times)
(Leija 's car, rolled, half times)
(Leija 's car, hit, strips)
(we, view facts in, light favorable)
(Mullenix disputes, view, facts)
(Mullenix disputes, hearing, Byrd 's response)
(we, view, facts)
(Mullenix disputes, view facts in, light most favorable)
(we, view facts in, favorable)
(Mullenix, has, motion for summary judgment)
(Mullenix disputes, view facts in, most favorable)
(Byrd, has, response)
(we, view facts in, most favorable)
(Mullenix disputes, view facts in, light favorable)
(Mullenix disputes, view facts in, favorable)
(we, view facts in, light most favorable)
(majority, describes, choice between strips)
(majority, describes choice as, choice)
(majority, describes choice as, choice between one alternative)
(majority, describes, choice)
(majority, describes, choice between spike strips)
(majority, describes choice as, choice between one dangerous alternative)
(spike strips, pose, danger)
(Leija, would, For another would subjected)
(Leija, would, For another would subjected to danger posed by spike strips)
(Leija, would, would subjected to danger posed)
(Leija, would, For another would subjected to danger)
(Leija, would, would subjected)
(Leija, would, For another would subjected to danger posed)
(Leija, would, would subjected to danger)
(Leija, would, would subjected to danger posed by spike strips)
(danger, posed by, spike strips)
(Leija, has, car)
(Leija 's car, hit, spike strips)
(Leija 's car, rolled, times)
(Leija 's car, rolled, half times)
(Leija 's car, hit, strips)
