(October 5 2016, Decided at_time, February 22 2017)
(he, been appointed by, trial judge at public expense)
(he, been, appointed)
(he, been appointed by, trial judge)
(he, conducted, evaluations)
(jury, learned at, outset)
(jury, learned at, outset of his testimony)
(he, held doctorate in, psychology)
(sentencing jury, testimony from, medical doctor specializing on question of future dangerousness)
(sentencing jury, testimony from, medical doctor on question of future dangerousness)
(sentencing jury, testimony from, doctor specializing on question)
(sentencing jury, testimony from, medical doctor on question)
(sentencing jury, testimony from, doctor specializing)
(sentencing jury, testimony from, doctor specializing on question of future dangerousness)
(sentencing jury, testimony from, doctor on question of future dangerousness)
(sentencing jury, testimony from, medical doctor specializing)
(sentencing jury, testimony from, doctor specializing in psychiatry on question of future dangerousness)
(sentencing jury, testimony from, medical doctor specializing on question)
(sentencing jury, testimony from, medical doctor)
(sentencing jury, testimony from, doctor specializing in psychiatry)
(sentencing jury, testimony from, medical doctor specializing in psychiatry)
(sentencing jury, testimony from, doctor)
(sentencing jury, testimony from, medical doctor specializing in psychiatry on question of future dangerousness)
(sentencing jury, testimony from, doctor on question)
(sentencing jury, testimony from, medical doctor specializing in psychiatry on question)
(sentencing jury, testimony from, doctor specializing in psychiatry on question)
(race, is in, Dr. Quijano 's testimony)
(Dr. Quijano, in, testimony)
(direct examination, during one is, other on cross)
(defendant 's race, pertinent on, question of life)
(defendant 's race, directly pertinent on, question)
(defendant 's race, directly pertinent on, question of life)
(defendant 's race, pertinent on, question)
(defendant, has, race)
(toxins, can, can deadly)
(toxins, can, can deadly in small doses)
(toxins, can, can deadly in doses)
(State, acknowledges, it must)
(Buck, 's counsel is, prosecution)
(distinction, could cut way In, fact)
(distinction, could cut, way)
(distinction, could cut, other way)
(distinction, could well cut, way)
(distinction, could well cut way In, fact)
(distinction, could well cut, other way)
(prosecutor, is seeking, conviction)
(evidence, is in, light of its motivations)
(Jurors, be, reasonably expected)
(government, has, evidence)
(Jurors, be, expected)
(it, is in, nature of admission likely)
(it, is in, nature of admission against interest more likely)
(defendant 's lawyer, puts in, offending evidence)
(it, is in, nature of admission more likely)
(defendant 's lawyer, puts in, evidence)
(it, is in, nature)
(defendant 's own lawyer, puts in, evidence)
(defendant, has, own lawyer)
(defendant 's own lawyer, puts in, offending evidence)
(it, is in, nature of admission against interest likely)
(Dr. Quijano, of, testimony on sentencing)
(Buck, on, sentencing)
(Buck, has demonstrated, prejudice)
(We, turn to, courts ' holding)
(judgment, reopened under, b)
(We, now turn to, courts ' holding)
(We, now turn to, lower courts ' procedural holding)
(he, was, entitled)
(We, now turn to, lower courts ' holding)
(judgment, reopened under, Rule 60)
(We, now turn to, courts ' procedural holding)
(We, turn to, lower courts ' procedural holding)
(he, was entitled, have)
(judgment, reopened under, 6)
(We, turn to, courts ' procedural holding)
(Buck, failed, demonstrate)
(We, turn to, lower courts ' holding)
(ruling, is debatable among, jurists of reason)
(itself, is, debatable among jurists of reason)
(itself, is debatable among, jurists of reason)
(ruling, is debatable among, jurists)
(itself, is, debatable among jurists)
(procedural ruling, is debatable among, jurists)
(ruling, is, debatable)
(itself, is debatable among, jurists)
(itself, is, debatable)
(procedural ruling, is, debatable)
(procedural ruling, is debatable among, jurists of reason)
(reasonable jurist, is, therefore conclude)
(jurist, is, therefore conclude)
(COA question, is, conclude)
(jurist, is, conclude)
(COA question, is, therefore conclude)
(reasonable jurist, is, conclude)
(District Court, abused, its discretion)
(Rule, under, catchall category)
(Buck, brought, his Rule)
(Rule, 's category is, subdivision)
(relief, is available in, only circumstances)
(wide discretion, is in, courts)
(relief, is available in, circumstances)
(relief, is, available)
(relief, is available in, only extraordinary circumstances)
(relief, is available in, extraordinary circumstances)
(535, at Gonzalez is, 545 U. S.)
(extraordinary circumstances, are, present)
(court, may consider range, determining)
(court, may consider, wide range of factors)
(circumstances, are, present)
(court, may consider, range)
(court, may consider, range of factors)
(court, may consider, wide range)
(court, may consider, determining)
(public, has, confidence in judicial process)
(public 's confidence, is in, judicial process)
(Buck, 's Rule is, b)
(Buck, has, Rule 60)
(District Court, abused, its discretion)
(District Court, denying, Buck 's Rule 60 motion)
(ill, played, only role)
(case, presents, circumstances)
(case, presents, circumstances rested)
(ill, played, only de minimis role in proceeding)
(ill, played, de minimis role in proceeding)
(extraordinary circumstances, rested in, measure)
(case, presents, extraordinary circumstances rested in measure)
(case, presents, circumstances rested on its determination)
(ill, played, role in proceeding)
(ill, played, only role in proceeding)
(ill, played, only de minimis role)
(case, presents, extraordinary circumstances rested on its determination)
(ha, failed, demonstrate)
(District Court, has, conclusion)
(case, presents, circumstances rested in large measure)
(circumstances, rested in, measure)
(Buck, failed, demonstrate)
(extraordinary circumstances, rested on, its determination)
(ill, played, role)
(ill, played, de minimis role)
(case, presents, circumstances rested in measure)
(extraordinary circumstances, rested in, large measure)
(case, presents, extraordinary circumstances rested)
(case, presents, extraordinary circumstances rested in large measure)
(de minimis role, introduction of, mention of race)
(circumstances, rested on, its determination)
(role, introduction of, mention of race)
(circumstances, rested in, large measure)
(de minimis role, is in, proceeding)
(case, presents, extraordinary circumstances)
(Buck 's claim, was unremarkable as far at, least)
(Fifth Circuit, even mention, racial evidence concluding)
(Buck 's claim, was, unremarkable as far)
(Buck 's claim, was unremarkable at, least)
(Buck, has, claim)
(Buck 's claim, was, unremarkable far)
(Fifth Circuit, mention, evidence concluding)
(Fifth Circuit, even mention, evidence concluding)
(Buck 's claim, was, unremarkable)
(Fifth Circuit, mention, racial evidence concluding)
(Fifth Circuit, failed for, its part)
(Buck 's claim, was unremarkable far at, least)
(Buck, been, sentenced)
(Buck, been sentenced because of, his race)
(Buck, been, sentenced to death in part)
(Buck, been sentenced in, part)
(Buck, been sentenced to, death)
(our holding, makes, clear)
(this, is, disturbing)
(Our law, punishes, people)
(i t, stretches credulity, characterize)
(Mr. Buck 's ineffective assistance, claim as, run-of-the-mill)
(petitioner, correctly puts, it)
(i t, stretches, credulity)
(Mr. Buck 's assistance, claim as, run-of-the-mill)
(Mr. Buck, has, ineffective assistance of counsel)
(petitioner, puts, it)
(departure, was exacerbated, it race)
(departure, was, exacerbated)
(departure, was exacerbated, it concerned race)
(Discrimination, is, pernicious)
(Discrimination odious, is especially pernicious in, administration)
(Discrimination, is especially pernicious in, administration of justice)
(Discrimination, is pernicious in, administration of justice)
(Discrimination, is, especially pernicious)
(Discrimination odious, is pernicious in, administration of justice)
(Discrimination, odious in, aspects)
(Discrimination odious, is especially pernicious in, administration of justice)
(Discrimination odious, is pernicious in, administration)
(Discrimination, is especially pernicious in, administration)
(Discrimination, is pernicious in, administration)
(556, at Rose is, 443 U. S.)
(we, supporting relief under, 6)
(we, supporting relief under, Rule 60)
(we, supporting relief under, b)
(we, supporting, relief)
(Dr. Quijano, to, testimony)
(extraordinary nature, is, confirmed)
(extraordinary nature, is, confirmed by)
(nature, is, confirmed)
(nature, is, confirmed by)
(Texas, confessed, error)
(Texas, consented to, resentencing)
(case, came before, Court)
(Saldano, to, petition for certiorari)
(injustice Saldano, suffered, infusion of race as factor jury weigh)
(injustice Saldano, suffered, infusion as factor jury weigh)
(injustice Saldano, suffered, infusion of race)
(injustice Saldano, suffered, infusion)
(State, has, response to petition for certiorari)
(injustice Saldano, infusion of, race)
(injustice Saldano, infusion as, factor jury weigh)
(judgment, is in, Saldano 's case)
(Saldano, in, case)
(Attorney General 's statement, reflected, sentiment)
(Attorney General 's public statement, reflected, sentiment)
(Attorney General, has, public statement issued shortly)
(State, conducting, audit of criminal cases)
(State, conducting, thorough audit of criminal cases)
(State, conducting, thorough audit of cases)
(State, conducting, audit of cases)
(State, conducting, audit)
(State, conducting, thorough audit)
(Saldano, to, troubling petition)
(State, responded to, Saldano 's petition)
(State, responded to, Saldano 's troubling petition)
(it, allow, race)
(it, allow, considered)
(race, be considered as, factor in our justice system)
(it, allow, considered as factor in our justice system)
(race, be, considered)
(factor, is in, our criminal justice system)
(it, allow, considered as factor in our criminal justice system)
(it, is, inappropriate)
(race, be considered as, factor in our criminal justice system)
(race, be considered as, factor)
(it, allow, considered as factor)
(Attorney General, in, statement)
(State, waiving, available procedural defenses)
(available procedural defenses, consenting to, resentencing)
(error, waiving, available procedural defenses)
(These, were, remarkable steps)
(Attorney General, in, statement)
(State, has attempted, sure)
(State, has repeatedly attempted, sure)
(State, been required, abjure)
(State, been, required)
(State 's opposition, petition argued n., 10)
(State 's opposition, petition erroneously argued n., 10)
(State 's initial opposition, petition erroneously argued n., 10)
(State, has, initial opposition to habeas)
(State 's initial opposition, petition argued n., 10)
(Buck, to, habeas)
(State, continues, its efforts before Court)
(State, continues, its efforts)
(Dr. Quijano, has, opinion on race)
(State, has, various explanations distinguishing)
(Buck, has, case)
(Attorney General, with, stated reasons confessing in Saldano)
(subject, was put in, cases)
(subject, was, in cases put as factor)
(subject, was, in cases put to jury as factor)
(subject, was, in cases put to jury)
(it, allow, race)
(defense counsel, injected, race)
(defense counsel, injected race into, proceeding)
(defense counsel, initially injected, race)
(it, allow, considered as factor in our criminal justice system)
(prosecution, initially injected race into, proceeding)
(race, be considered as, factor in our criminal justice system)
(prosecution, injected race into, proceeding)
(it, allow, considered as factor)
(prosecution, initially injected, race)
(statement, is, equally applicable)
(it, allow, considered)
(ineffective defense counsel, initially injected, race)
(defense counsel, initially injected race into, proceeding)
(it, is, inappropriate)
(statement, is, applicable)
(ineffective defense counsel, initially injected race into, proceeding)
(race, be considered as, factor in our justice system)
(ineffective defense counsel, injected, race)
(race, be, considered)
(it, allow, considered as factor in our justice system)
(factor, is in, our criminal justice system)
(prosecution, injected, race)
(race, be considered as, factor)
(ineffective defense counsel, injected race into, proceeding)
(State, of, announcement)
(State, reminds, us)
(purpose, make, exception to finality)
(purpose, make, exception)
(whole purpose, make, exception)
(whole purpose, make, exception to finality)
(529, at Gonzalez is, 545 U. S.)
(State 's interest, deserves weight in, case)
(State 's interest, is in, finality)
(State 's interest, deserves, little weight)
(State, has, interest in finality)
(State 's interest, deserves, weight)
(Saldano, to, warranted confession of error)
(Our, Rule, b)
(Buck, sought habeas relief in, 2004)
(Buck, sought, federal habeas relief)
(Buck, sought, habeas relief)
(Buck, first sought, federal habeas relief)
(Buck, first sought habeas relief in, 2004)
(Buck, first sought, habeas relief)
(Coleman, barred, District Court)
(Coleman, hearing, his claim)
(state habeas counsel, was, ineffective)
(claim, however defaulted in, Texas postconviction proceeding)
(claim, has, merit)
(claim, defaulted in, Texas postconviction proceeding)
(state habeas counsel, was, constitutionally ineffective)
(claim, however defaulted at_time, Today)
(state habeas counsel, was ineffective, failing)
(state habeas counsel, was constitutionally ineffective, failing)
(claim, defaulted at_time, Today)
(14, at Martinez is, 566 U. S.)
(relief, would, would inappropriate)
(6 relief, would, would inappropriate)
(parties, litigated, matter)
(merits briefing, is in, Court)
(parties, litigated matter Until, merits briefing)
(parties, litigated matter Until, merits briefing in Court)
(parties, litigated matter on, assumption)
(Buck, reopened, his case)
(Amended Application, Opposition 's, Respondent-Appellee)
(Certificate, is in, Support 26)
(Amended Application, Opposition to, Pet)
(Certificate, for Application is, Respondent-Appellee 's Opposition to Pet)
(Respondent-Appellee, has, Opposition to Pet)
(Brief, is in, Opposition 11-13)
(Respondent, has, Opposition to Application for Certificate of Appealability 15-17 in No. 14-70030)
(Judgment, is in, No. 4:04)
(Respondent 's Opposition, is in, No. 14-70030)
(State brief, adopts, new position on issue)
(State brief, adopts, position on issue)
(State, adopts, position on issue)
(State brief, adopts, new position)
(State, adopts, new position on issue)
(State brief, adopts, position)
(State, adopts, position)
(State, adopts, new position)
(Teague, under S. is, plurality opinion)
(Teague, under S. is, 1989)
(State, waived, its Teague argument)
(State, has in, event)
(argument, been, waived)
(we, have observed, particularly significant)
(State, has, failure raise at petition stage)
(we, may reach issue in, our discretion)
(we, have observed, significant)
(we, may reach, issue)
(we, grant, certiorari)
(issue, warrant, review)
(legal issue, warrant, review)
(Buck, has, Strickland)
(State, has, eleventh-hour Teague argument)
(State 's Teague argument, find, it persuasive)
(State 's eleventh-hour Teague argument, find, it persuasive)
(we, entertain, State 's eleventh-hour Teague argument)
(we, entertain, State 's Teague argument)
(Trevino, apply to, Buck 's claim)
(Martinez, apply to, Buck 's claim)
(We, reach, Teague question)
(Buck, to, claim)
(we, conclude For, reasons)
(we, conclude For, foregoing reasons)
(Buck COA, pursue claims on, appeal)
(Buck COA, pursue, claims)
(Fifth Circuit, erred, denying)
(case, is remanded for, further proceedings consistent)
(case, is remanded for, further proceedings)
(case, is remanded for, further proceedings consistent with opinion)
(case, is, remanded)
(case, is remanded for, proceedings consistent)
(case, is remanded for, proceedings)
(case, is remanded for, proceedings consistent with opinion)
(judgment, is, reversed)
(It, is, ordered)
(It, is, so ordered)
(DUANE EDWARD BUCK, PETITIONER v., LORIE DAVIS)
(LORIE DAVIS, DEPARTMENT OF, CRIMINAL JUSTICE)
(Justice Alito, joins, dissenting)
(Court, settled on, outcome)
(procedural obstacles, settled, law)
(obstacles, settled, law)
(misapplies, justify, it)
(Court, settled on, desired outcome)
(misapplies, settled, law)
(Today 's decision, has ramifications beyond, facts presented here)
(Today 's decision, has, few ramifications)
(Today 's decision, has ramifications beyond, unusual facts presented)
(Today, has, decision)
(Today 's decision, has ramifications beyond, highly unusual facts presented here)
(Today 's decision, has ramifications, any)
(Today 's decision, has ramifications beyond, unusual facts)
(majority, has, focus providing to petitioner in particular case)
(Today 's decision, has, ramifications)
(Today 's decision, has ramifications beyond, unusual facts presented here)
(Today 's decision, has ramifications beyond, facts presented)
(Today 's decision, has ramifications beyond, highly unusual facts presented)
(Today 's decision, has ramifications beyond, highly unusual facts)
(Today 's decision, has ramifications beyond, facts)
(Rule, ineffective assistance of, counsel)
(Rule, black-letter principles of, collateral review)
(Rule, principles of, collateral review)
(Rule, assistance of, counsel)
(petitioner, has, Sixth Amendment ineffective-assistance-of-counsel claim)
(Fifth Circuit, misapplied, standard)
(District Court, rejected, petitioner 's Sixth Amendment claim)
(Fifth Circuit, granting, certificate of appealability)
(Fifth Circuit, granting, certificate)
(District Court, rejected, petitioner 's Sixth Amendment ineffective-assistance-of-counsel claim)
(majority, reversing, judgment)
(District Court, rejecting, petitioner 's Federal Rule)
(petitioner, has, Federal Rule of Civil Procedure 60)
(court, has, earlier judgment denying)
(District Court, rejecting, petitioner 's Federal Rule of Procedure 60)
(District Court, erroneously rejected, petitioner 's Sixth Amendment ineffective-assistance-of-counsel claim)
(District Court, erroneously rejected, petitioner 's Sixth Amendment claim)
(District Court, rejecting, petitioner 's Federal Rule of Civil Procedure 60)
(District Court, abused, its discretion)
(majority, reversing below, judgment)
(majority, simply disagrees On, ground)
(majority, disagrees On, ground)
(District Court, applied altogether, wrong standards)
(Fifth Circuit, applied altogether, wrong standards)
(District Court, applied, standards)
(Fifth Circuit, applied altogether, standards)
(Fifth Circuit, applied, standards)
(District Court, applied, wrong standards)
(District Court, applied altogether, standards)
(Fifth Circuit, applied, wrong standards)
(its determination, is in, proper terms)
(I, agree with, majority)
(I, however would hold Contrary to, majority 's conclusion)
(I, would hold Contrary to, majority 's conclusion)
(they, correctly applied, standards)
(they, correctly applied too, standards)
(majority, Contrary to, conclusion)
(they, applied too, standards)
(they, applied, standards)
(Court, wrongly criticizes Fifth Circuit for, its application of COA standard)
(Court, wrongly criticizes Fifth Circuit At, outset)
(Court, wrongly criticizes Fifth Circuit for, its application)
(Court, criticizes Fifth Circuit for, its application of COA standard)
(Court, criticizes, Fifth Circuit)
(Court, criticizes Fifth Circuit for, its application)
(Court, criticizes Fifth Circuit At, outset)
(Court, wrongly criticizes, Fifth Circuit)
(COA, is warranted, only debatable amongst jurists)
(COA, is, warranted)
(district court, has, ruling)
(COA, is warranted, only debatable)
(district court 's ruling, is debatable amongst, jurists of reason)
(COA, is warranted, debatable)
(district court 's ruling, only is debatable amongst, jurists)
(COA, is warranted, debatable amongst jurists of reason)
(district court 's ruling, is, only debatable)
(COA, is warranted, only debatable amongst jurists of reason)
(COA, is warranted, debatable amongst jurists)
(district court 's ruling, is debatable amongst, jurists)
(district court 's ruling, is, debatable)
(district court 's ruling, only is debatable amongst, jurists of reason)
(defendant, of, claim)
(court, must conduct, assessment of merits)
(court, must conduct, assessment)
(court, must conduct, general assessment)
(court, must conduct, assessment of merits of defendant 's claim)
(court, must conduct, general assessment of merits of defendant 's claim)
(court, must conduct, general assessment of merits)
(court, answer, question)
(existence, represents, merits determinatio)
(existence, represents, ultimate merits determinatio)
(existence, represents, merits)
(existence, represents, ultimate merits)
(existence, represents merits In, majority 's view)
(majority, In, view)
(merits, were, debatable)
(majority, has, criticism of Fifth Circuit)
(majority 's criticism, is, misplaced)
(court, may grant COA so long, it might conclude)
(court, may grant COA long, even it might conclude)
(court, may grant COA, even it might ultimately conclude)
(court, may grant so long, COA)
(court, may grant COA, it might conclude)
(court, may grant COA long, it might conclude)
(court, may grant COA so long, even it might conclude)
(court, may grant COA so long, even it might ultimately conclude)
(underlying claim, is, meritless)
(court, may grant COA, it might ultimately conclude)
(court, may grant COA so long, it might ultimately conclude)
(court, may grant COA long, even it might ultimately conclude)
(court, may grant, COA)
(court, may grant long, COA)
(court, may grant COA, even it might conclude)
(claim, is, meritless)
(court, may grant COA long, it might ultimately conclude)
(336, at Miller-El is, supra)
(claim, is, meritless)
(procedural bar, is, present)
(district court, is, correct)
(petitioner 's claim, was, meritless)
(plain procedural bar, is, Where present)
(bar, is, present)
(it, dispose of, case)
(petitioner, has, claim)
(district court, invoke, it)
(bar, is, Where present)
(plain bar, is, Where present)
(plain bar, is, present)
(plain procedural bar, is, present)
(procedural bar, is, Where present)
(petitioner, has, claims)
(petitioner 's claims, were, indisputably meritless)
(petitioner 's claims, were, meritless)
(courts, denying, COA)
(petitioner 's claims, are, meritless)
(petitioner, has, claims)
(its criticism, is, most certainly misguided)
(its criticism, is, misguided)
(petitioner 's claims, are, indisputably meritless)
(majority, might disagree with, conclusion)
(Fifth Circuit, of, approach)
(its criticism, is, certainly misguided)
(majority, has, contrary approach)
(majority 's contrary approach, denying COA in, case)
(majority 's approach, denying COA in, case)
(majority 's approach, would prevent, court)
(majority 's contrary approach, would prevent, court of appeals)
(majority 's contrary approach, would prevent, court)
(majority 's approach, would prevent, court of appeals)
(petitioner, makes, substantial showing)
(petitioner, showing of, denial of constitutional right)
(petitioner, only makes, substantial showing of denial)
(petitioner, only makes, showing of denial)
(petitioner, only makes, showing of denial of right)
(petitioner, makes, showing of denial of right)
(petitioner, only makes, showing of denial of constitutional right)
(petitioner, substantial showing of, denial of constitutional right)
(petitioner, only makes, substantial showing of denial of constitutional right)
(petitioner, substantial showing of, denial of right)
(petitioner, only makes, substantial showing of denial of right)
(petitioner, showing of, denial of right)
(petitioner, only makes, showing)
(petitioner, makes, substantial showing of denial of constitutional right)
(petitioner, showing of, denial)
(petitioner, makes, showing)
(337, at Miller-El is, supra)
(petitioner, substantial showing of, denial)
(petitioner, makes, substantial showing of denial)
(petitioner, makes, showing of denial of constitutional right)
(petitioner, makes, substantial showing of denial of right)
(petitioner, only makes, substantial showing)
(petitioner, makes, showing of denial)
(majority, has, comment)
(COA, Court of, Appeals)
(end, run around, COA standard)
(petitioner, of, Rule 60)
(Court, does In, event)
(end, reach, merits of petitioner 's Rule 60)
(Court, chastising, Court of Appeals)
(Court, chastising, Court)
(petitioner, 's Rule is, b)
(end, reach, merits)
(Court, does precisely In, event)
(Court, chastising Court, making)
(petitioner, of, Sixth Amendment claim)
(Court, Astonishingly decides, merits)
(Court, also decides, merits)
(Court, also decides, merits of petitioner 's Sixth Amendment claim)
(Court, Astonishingly also decides, merits of petitioner 's Sixth Amendment claim)
(Court, Astonishingly also decides, merits)
(Court, decides, merits)
(Court, decides, merits of petitioner 's Sixth Amendment claim)
(Court, Astonishingly decides, merits of petitioner 's Sixth Amendment claim)
(Fifth Circuit, has, denial of COA)
(Court, relies on, its merits disposition)
(Court, relies, justify)
(Ante, follows at, 26)
(Buck COA, pursue claims on, appeal)
(Buck COA, pursue, claims)
(It, follows at, 26)
(Fifth Circuit, erred, denying)
(unapologetic course reversal, is, striking)
(course reversal, is, striking)
(majority, also has backwards, things)
(majority, has backwards, things)
(majority, also has just backwards, things)
(majority, has, things)
(majority, also has, things)
(majority, has just backwards, things)
(petitioner, has, claim)
(It, criticizes, Fifth Circuit)
(it, conducts, merits inquiry decide)
(Court 's application, is, misguided)
(standard, is in, Strickland)
(Court, has, application)
(Court 's application, is, similarly misguided)
(Strickland, has, second prong)
(petitioner, has, claim)
(Court, erroneously finds In, particular)
(counsel, has, mistake)
(his counsel 's mistake, materially prejudiced, his defense)
(his counsel 's mistake, prejudiced, his defense)
(Court, finds In, particular)
(error, produced, substantial likelihood of result)
(error, produced, likelihood of result)
(error, substantial likelihood of, different result)
(error, likelihood of, result)
(alleged error, produced, substantial likelihood of different result)
(error, substantial likelihood of, result)
(error, produced, likelihood of different result)
(alleged error, produced, likelihood of result)
(alleged error, substantial likelihood of, different result)
(alleged error, produced, likelihood of different result)
(alleged error, produced, likelihood)
(error, likelihood of, different result)
(alleged error, substantial likelihood of, result)
(alleged error, likelihood of, different result)
(alleged error, produced, substantial likelihood)
(alleged error, likelihood of, result)
(error, produced, substantial likelihood)
(alleged error, produced, substantial likelihood of result)
(error, produced, likelihood)
(error, produced, substantial likelihood of different result)
(jury, on, finding)
(482 S. W., 3d, 66-67 Tex.)
(S. W., 3d, 66-67 Tex.)
(relevant legal standard, is in, Texas)
(majority, even mention, relevant standard in Texas)
(majority, even mention, legal standard in Texas)
(majority, even mention, relevant legal standard in Texas)
(majority, mention, legal standard)
(majority, even mention, standard in Texas)
(majority, even mention, legal standard)
(majority, even mention, standard)
(majority, mention, standard in Texas)
(majority, mention, relevant legal standard in Texas)
(majority, mention, relevant legal standard)
(majority, mention, standard)
(majority, mention, legal standard in Texas)
(majority, mention, relevant standard in Texas)
(majority, mention, relevant standard)
(majority, even mention, relevant standard)
(majority, even mention, relevant legal standard)
(petitioner, of, crime)
(prosecution 's evidence, was, overwhelming)
(prosecution, has, evidence of heinousness of crime)
(Dr. Quijano, 's minimis is, 2014 WL 11310152)
(crime, was, premeditated)
(record, belies, characterization)
(Court, recites defense testimony as, crime of passion)
(defense testimony, describing, spree)
(Court, recites here, defense testimony)
(Court, recites defense testimony here as, crime)
(defense testimony, describing, killing spree)
(Court, recites defense testimony here as, crime of passion)
(Court, recites defense testimony as, crime)
(Court, recites, defense testimony)
(petitioner, has, ex-girlfriend)
(rampage, occurred at, home)
(rampage, occurred at, home of Debra Gardner)
(petitioner, called, her house)
(petitioner, Prior called, her house)
(petitioner, speak with, Gardner)
(His, stepsister, Phyllis Taylor)
(petitioner, asked, speak with Gardner)
(petitioner, asked, speak)
(Petitioner, retrieved, rifle)
(Gardner, to, house)
(Petitioner, retrieved, shotgun)
(Petitioner, drove, 28 miles)
(Petitioner, loaded, guns)
(he, broke Upon, arrival)
(he, opened, fire)
(he, opened fire without, provocation)
(he, broke down, door)
(petitioner 's violence, was limited to, context of romantic relationships)
(majority, parrots defense testimony, describing)
(majority, also parrots defense testimony, describing)
(majority, also parrots defense testimony, describing as crime)
(petitioner 's violence, was, limited)
(petitioner 's violence, was limited to, context of relationships)
(majority, parrots defense testimony, describing as crime of passion)
(majority, parrots defense testimony, describing as crime)
(majority, also parrots defense testimony, describing as crime of passion)
(petitioner 's violence, was limited to, context)
(petitioner, has, violence)
(assertion, is, also wrong)
(assertion, is, wrong)
(assertion, is, quite wrong)
(assertion, is, also quite wrong)
(Gardner, has, house)
(He, next approached, Taylor)
(his, stepsister, Taylor)
(He, approached, Taylor)
(She, begged, him)
(I, 'm, your sister)
(I, be, shot)
(I, have, children)
(Petitioner, shot, her)
(Petitioner, placed gun on, her chest)
(Petitioner, placed, gun)
(Petitioner, ignored, her pleas)
(petitioner, cornered, one Gardner 's friends)
(petitioner, cornered, one of Gardner 's friends)
(Gardner, of, friends)
(petitioner, shooting, Taylor)
(He, exited, house)
(He, chased Gardner into, middle)
(He, chased Gardner into, middle of street)
(He, chased, Gardner)
(She, turned to, him)
(you, are doing in front of, my kids)
(Her son, watched from, sidewalk)
(Her, son, Devon)
(Her, daughter, Shennel)
(Her daughter, begged, petitioner)
(Her daughter, spare, her mother)
(Petitioner, pointed, gun)
(Petitioner, pointed gun at, Gardner)
(Petitioner, pointed at, Gardner)
(I, shoot, your A)
(your, A, ss)
(I, shoot, ss)
(petitioner, shot, her)
(Gardner, was on, her knees)
(evidence, is, startling)
(evidence, is, Second startling)
(petitioner, of, lack of remorse)
(petitioner, placed, firearms)
(petitioner, placed firearms in, trunk)
(petitioner, shooting, Gardner)
(He, taunt, Gardner)
(Police, arrested, him)
(petitioner, was laughing In, patrol car)
(He, continued, smile during drive)
(He, continued, smile during drive to police station)
(He, continued, smile)
(He, smile during, drive to police station)
(He, smile during, drive)
(He, remained, happy)
(He, remained, even commenting)
(he, going to, heaven)
(He, remained for, remainder of drive)
(He, remained, commenting)
(God, had already forgiven, him)
(He, remained for, remainder)
(God, had forgiven, him)
(district courts, reopen, judgments)
(petitioner, has, motion)
(district courts, reopen, final judgments)
(district courts, reopen, otherwise final judgments)
(district courts, reopen judgments in, circumstances)
(district courts, reopen judgments in, only circumstances)
(district courts, reopen judgments in, extraordinary circumstances)
(District Court, denying, petitioner 's motion)
(district courts, reopen judgments in, only extraordinary circumstances)
(District Court, has, decision on point)
(District Court 's decision, is, subject)
(majority, pays lip service to, fact)
(District Court 's decision, is subject to, limited)
(majority, pays, lip service)
(District Court, has, analysis only once in entire section of opinion addressing)
(District Court, reaching, equitable highly factbound conclusion)
(District Court, reaching, highly factbound conclusion)
(District Court, reaching, equitable conclusion)
(District Court, reaching, factbound conclusion)
(District Court, abused, its discretion)
(District Court, reaching, conclusion)
(District Court, reaching, equitable factbound conclusion)
(545 U. S., is in, Particularly light of our admonition)
(Court 's analysis, centerpiece of is, its observation)
(centerpiece, reversing, Fifth Circuit)
(Court, of, analysis)
(centerpiece, is, its observation)
(Clause, are beside, therefore point)
(race-based claims, demand solicitude in, context)
(race-based claims, demand, unique solicitude)
(claims, demand, solicitude)
(race-based claims, demand, solicitude)
(nothing, is in, text of Rule 60)
(claims, demand, unique solicitude)
(claims, demand solicitude in, context)
(public, has, confidence in integrity of judicial system)
(use, injured, public 's confidence in integrity)
(petitioner, in, capital proceeding)
(use, injured, public 's confidence)
(public 's confidence, use in, petitioner 's capital proceeding)
(use, injured, public 's confidence in integrity of our system)
(public 's confidence, is in, integrity of our judicial system)
(majority, suggests In, vein)
(use, is in, petitioner 's capital proceeding)
(use, injured, public 's confidence in integrity of our judicial system)
(majority, suggests In, similar vein)
(public 's confidence, use of, race)
(petitioner 's own counsel, elicited, testimony)
(It, ignores, fact)
(petitioner, has, own counsel)
(petitioner 's counsel, elicited, testimony)
(It, also ignores, fact)
(cases, concerning, racial discrimination by agent)
(cases, concerning, alleged racial discrimination)
(cases, concerning, alleged discrimination by agent)
(concerning, discrimination by, agent of state)
(concerning, discrimination by, agent)
(cases, concerning, alleged racial discrimination by agent of state)
(cases, concerning, racial discrimination)
(concerning, alleged discrimination by, agent of state)
(cases, concerning, discrimination by agent)
(concerning, alleged racial discrimination by, agent)
(concerning, racial discrimination by, agent of state)
(concerning, alleged racial discrimination by, agent of state)
(concerning, alleged discrimination by, agent)
(concerning, racial discrimination by, agent)
(majority, citing, cases)
(cases, concerning, alleged discrimination by agent of state)
(cases, concerning, discrimination)
(majority, obscures, point)
(cases, concerning, alleged racial discrimination by agent)
(cases, concerning, alleged discrimination)
(cases, concerning, discrimination by agent of state)
(cases, concerning, racial discrimination by agent of state)
(prosecutor, has, use of peremptory strikes)
(injury, There derives from, fact)
(injury, derives from, fact)
(government, discriminating against, defendant)
(decrying, use of, race)
