(November 29 2016, Decided at_time, March 28 2017)
(significant deficits, significantly subaverage intellectual functioning in, adaptive behavior)
(he, establish, subaverage functioning)
(he, establish, intellectual functioning in behavior)
(significant deficits, significantly subaverage functioning in, behavior)
(deficits, significantly subaverage functioning in, adaptive behavior)
(he, establish, intellectual functioning)
(functioning, is in, adaptive behavior)
(related deficits, significantly subaverage intellectual functioning in, behavior)
(related significant deficits, subaverage intellectual functioning in, behavior)
(related deficits, subaverage intellectual functioning in, adaptive behavior)
(deficits, subaverage functioning in, behavior)
(he, establish, subaverage intellectual functioning)
(significant deficits, subaverage functioning in, behavior)
(related deficits, intellectual functioning in, adaptive behavior)
(related deficits, intellectual functioning in, behavior)
(significant deficits, functioning in, adaptive behavior)
(related deficits, subaverage functioning in, adaptive behavior)
(he, establish, functioning in adaptive behavior)
(he, establish, significantly subaverage functioning in behavior)
(he, establish, significantly subaverage functioning in adaptive behavior)
(significant deficits, subaverage intellectual functioning in, adaptive behavior)
(deficits, intellectual functioning in, adaptive behavior)
(he, establish, related deficits)
(related significant deficits, functioning in, adaptive behavior)
(related significant deficits, intellectual functioning in, adaptive behavior)
(significant deficits, subaverage intellectual functioning in, behavior)
(he, establish, functioning in behavior)
(significant deficits, intellectual functioning in, adaptive behavior)
(related deficits, subaverage intellectual functioning in, behavior)
(related significant deficits, subaverage functioning in, adaptive behavior)
(deficits, functioning in, behavior)
(significant deficits, significantly subaverage intellectual functioning in, behavior)
(he, establish, subaverage functioning in behavior)
(he, establish, functioning)
(deficits, significantly subaverage functioning in, behavior)
(deficits, subaverage intellectual functioning in, adaptive behavior)
(related significant deficits, intellectual functioning in, behavior)
(he, establish, significant deficits)
(he, establish, subaverage intellectual functioning in behavior)
(he, establish, subaverage functioning in adaptive behavior)
(related significant deficits, significantly subaverage functioning in, behavior)
(significant deficits, significantly subaverage functioning in, adaptive behavior)
(significant deficits, functioning in, behavior)
(he, establish, subaverage intellectual functioning in adaptive behavior)
(he, establish, significantly subaverage intellectual functioning)
(related deficits, subaverage functioning in, behavior)
(deficits, significantly subaverage intellectual functioning in, adaptive behavior)
(related deficits, significantly subaverage functioning in, adaptive behavior)
(related deficits, significantly subaverage intellectual functioning in, adaptive behavior)
(he, establish, intellectual functioning in adaptive behavior)
(related significant deficits, subaverage intellectual functioning in, adaptive behavior)
(related significant deficits, significantly subaverage intellectual functioning in, adaptive behavior)
(he, establish, significantly subaverage intellectual functioning in behavior)
(significant deficits, subaverage functioning in, adaptive behavior)
(he, establish, deficits)
(deficits, functioning in, adaptive behavior)
(related deficits, significantly subaverage functioning in, behavior)
(It, reached, conclusion)
(related deficits, functioning in, adaptive behavior)
(related significant deficits, subaverage functioning in, behavior)
(deficits, subaverage intellectual functioning in, behavior)
(he, establish, significantly subaverage intellectual functioning in adaptive behavior)
(significant deficits, intellectual functioning in, behavior)
(deficits, intellectual functioning in, behavior)
(he, establish, significantly subaverage functioning)
(related significant deficits, functioning in, behavior)
(deficits, subaverage functioning in, adaptive behavior)
(he, establish, related significant deficits)
(related deficits, functioning in, behavior)
(deficits, significantly subaverage intellectual functioning in, behavior)
(conclusion, was, based in part on CCA 's analysis)
(conclusion, was based in, part)
(latter conclusion, was, based in part on CCA 's analysis of set)
(conclusion, was based on, CCA 's analysis of set of seven evidentiary factors)
(conclusion, was, based in part on CCA 's analysis of set)
(conclusion, was based on, CCA 's analysis of set of seven factors)
(latter conclusion, was, based in part on CCA 's analysis of set of seven factors)
(conclusion, was based on, CCA 's analysis of set)
(conclusion, was, based in part on CCA 's analysis of set of seven evidentiary factors)
(conclusion, was, based)
(latter conclusion, was based on, CCA 's analysis of set)
(latter conclusion, was based on, CCA 's analysis)
(conclusion, was, based in part on CCA 's analysis of set of seven factors)
(latter conclusion, was based in, part)
(conclusion, was based on, CCA 's analysis)
(latter conclusion, was, based in part on CCA 's analysis of set of seven evidentiary factors)
(latter conclusion, was, based in part on CCA 's analysis)
(CCA, on, analysis of set of seven evidentiary factors from Ex parte Briseno)
(latter conclusion, was based on, CCA 's analysis of set of seven factors)
(latter conclusion, was, based)
(latter conclusion, was based on, CCA 's analysis of set of seven evidentiary factors)
(I, agree at_time, today)
(CCA, using, them)
(I, agree with, Court)
(factors, are, unacceptable)
(factors, enforcing, guarantee)
(factors, enforcing, guarantee of Atkins)
(I, would affirm decision, basis for its judgment)
(CCA 's determination, is, independent basis)
(I, would affirm decision, basis)
(determination, is, independent)
(CCA 's determination, is independent basis for, its judgment)
(CCA, has, determination on ground)
(CCA 's determination, is, basis)
(CCA 's determination, is basis for, its judgment)
(I, would affirm decision, independent basis for its judgment)
(I, would affirm decision, independent basis)
(I, would affirm, decision below)
(I, would affirm, decision)
(My broader concern, is with, today 's opinion)
(Court, has employed in, Eighth Amendment cases)
(today, with, opinion)
(Moore, considering, objective indicia of society 's standards reflected)
(Moore, even considering, indicia)
(Moore, considering, objective indicia)
(Moore, considering, indicia)
(Moore, even considering, objective indicia)
(inadequate intellectual functioning, is in, adaptive behavior)
(Moore, even considering, objective indicia of society 's standards reflected in practices among States)
(Court, overturns, CCA 's conclusion)
(Moore, even considering, objective indicia of society 's standards reflected)
(Moore, failed to, evidence of functioning)
(Moore, considering, indicia of society 's standards reflected in practices)
(Moore, even considering, objective indicia of society 's standards reflected in practices)
(Moore, considering, objective indicia of society 's standards reflected in practices)
(Moore, failed to, evidence of functioning in behavior)
(society, of, standards reflected in practices among States)
(Moore, considering, indicia of society 's standards reflected)
(Moore, even considering, indicia of society 's standards)
(Moore, considering, objective indicia of society 's standards reflected in practices among States)
(Moore, considering, indicia of society 's standards reflected in practices among States)
(Moore, failed to, evidence)
(Moore, even considering, indicia of society 's standards reflected in practices among States)
(Moore, considering, objective indicia of society 's standards)
(Moore, considering, indicia of society 's standards)
(Moore, even considering, objective indicia of society 's standards)
(Moore, even considering, indicia of society 's standards reflected)
(Moore, even considering, indicia of society 's standards reflected in practices)
(CCA, has, conclusion)
(Moore, failed to, evidence of functioning in adaptive behavior)
(Court, instead crafts, constitutional holding based)
(Court, crafts, holding)
(Court, instead crafts, holding based)
(Court, instead crafts, constitutional holding)
(Court, crafts, constitutional holding based)
(Court, crafts, constitutional holding)
(Court, crafts, holding based)
(Court, instead crafts, holding)
(Today 's opinion, confuses, roles)
(Today, has, opinion)
(Moore, provided, group)
(Moore, provided group with, two firearms)
(they, Eventually settled on, Birdsall Super Market)
(they, settled on, Birdsall Super Market)
(they, steal, disguises)
(three, heading, straight to courtesy booth staffed)
(three, went, heading)
(three, heading, straight)
(three, negotiating, their shares)
(three, went inside, heading)
(three, heading, straight to courtesy booth)
(three, negotiating, their respective shares)
(three, heading, straight to courtesy booth staffed by James McCarble)
(Moore, shot McCarble in, head)
(McCarble, killing instantly, 70-year-old)
(Moore, shot, McCarble)
(McCarble, killing, 70-year-old)
(Moore, remained until, his arrest in Louisiana ten days after)
(Moore, remained on, run)
(Moore, remained until, his arrest)
(his arrest, is in, Louisiana)
(Moore, remained until, his arrest in Louisiana)
(Moore, remained until, his arrest ten days after)
(Moore, fled, Houston)
(Moore, was, charged)
(Moore, giving, written statement)
(Moore, was charged with, capital murder)
(Moore, giving, statement)
(his participation, is in, robbery)
(jury, sentenced, him)
(jury, convicted, him)
(Moore 's case, traversed state Over, next three decades)
(Moore 's case, traversed, court systems)
(Moore 's case, reaching, Atkins hearing)
(Moore 's case, finally reaching Atkins hearing in, 2014)
(Moore 's case, finally reaching Atkins hearing at_time, today)
(Moore 's case, finally reaching, Atkins hearing)
(Moore 's case, reaching Atkins hearing at_time, today)
(Moore 's case, reaching Atkins hearing at, issue)
(Moore 's case, traversed state Over, three decades)
(Moore 's case, traversed court systems Over, three decades)
(Moore, has, case)
(Moore 's case, traversed, state)
(Moore 's case, reaching Atkins hearing in, 2014)
(Moore 's case, traversed, federal court systems)
(Moore 's case, finally reaching Atkins hearing at, issue)
(Moore 's case, traversed court systems Over, next three decades)
(it, heard, testimony)
(it, heard, testimony from family members)
(Moore, shown, disability)
(he, be granted, relief)
(Moore, shown, intellectual disability)
(it, was, that)
(it, was, just that)
(ultimate factfinder, is in, habeas corpus proceedings)
(S. W., 3d, 727 Tex.)
(271 S. W., 3d, 727 Tex.)
(470 S. W., 3d, 489 Tex.)
(S. W., 3d, 489 Tex.)
(CCA, instead conducting, its review)
(CCA, conducting, its review of record)
(CCA, conducting, its own review of record)
(CCA, conducting, its own review)
(he, was, disabled)
(CCA, instead conducting, its own review of record)
(CCA, Assuming, role)
(he, was, intellectually disabled)
(CCA, conducting, its review)
(CCA, adopt, habeas court 's findings)
(CCA, instead conducting, its own review)
(CCA, adopt, conclusions)
(habeas court, has, findings)
(CCA, instead conducting, its review of record)
(CCA, had set out definition in, its prior decision in Ex parte Briseno)
(its prior decision, is in, Ex parte Briseno)
(CCA, had set out, legal definition)
(CCA, definition for, disability)
(CCA, had set out, definition)
(CCA, had set out definition in, its decision)
(CCA, had set out definition in, its prior decision)
(CCA, had set out, legal definition for intellectual disability)
(CCA, had set out, definition for intellectual disability)
(CCA, legal definition for, intellectual disability)
(CCA, had set out, legal definition for disability)
(CCA, legal definition for, disability)
(CCA, definition for, intellectual disability)
(CCA, had set out definition in, its decision in Ex parte Briseno)
(CCA, had set out, definition for disability)
(habeas court, crafted, its standards)
(habeas court, crafted, its standards for disability)
(habeas court, crafted, its own standards for disability)
(habeas court, crafted, its own standards for intellectual disability)
(habeas court, crafted, its own standards)
(habeas court, crafted, its standards for intellectual disability)
(habeas court, follow, test)
(he, modify standard for, disability)
(he, modify standard in, capital-sentencing context)
(he, modify, legal standard)
(he, modify standard for, intellectual disability)
(he, modify standard in, context)
(he, modify, standard)
(470 S. W., 3d at, 487)
(S. W., 3d at, 487)
(U. S. ___, rebuked, habeas court)
(U. S. ___, so too rebuked, habeas court)
(Okla, ignoring, binding CCA precedent)
(580 U. S. ___, too rebuked, habeas court)
(580 U. S. ___, rebuked, habeas court)
(we, Just have corrected, courts)
(we, taking, it)
(we, Just have corrected, lower courts)
(we, have corrected, courts)
(we, have corrected, lower courts)
(U. S. ___, too rebuked, habeas court)
(580 U. S. ___, so too rebuked, habeas court)
(related limitations, is in, adaptive functioning)
(Briseno, had stated, rule)
(Atkins claimant, demonstrate, disability)
(Atkins claimant, demonstrate, intellectual disability)
(470 S. W., 3d at, 486)
(S. W., 3d at, 486)
(It, also laid out, set of seven evidentiary factors)
(It, laid out, set of seven evidentiary factors)
(It, laid out, set)
(It, also laid out, set of seven factors)
(It, laid out, set of seven factors)
(It, also laid out, set)
(three-prong definition, came directly from, edition of manual published)
(definition, came from, ninth edition of manual published)
(definition, came from, edition of manual published)
(three-prong definition, came from, ninth edition of manual published)
(definition, came directly from, ninth edition)
(definition, came from, ninth edition of manual)
(three-prong definition, came from, edition of manual)
(three-prong definition, came directly from, ninth edition of manual)
(three-prong definition, came directly from, edition of manual)
(definition, came directly from, ninth edition of manual published)
(definition, came directly from, edition)
(three-prong definition, came from, ninth edition of manual)
(three-prong definition, came directly from, ninth edition)
(three-prong definition, came directly from, ninth edition of manual published)
(three-prong definition, came from, ninth edition)
(definition, came directly from, ninth edition of manual)
(definition, came from, edition)
(definition, came from, ninth edition)
(three-prong definition, came from, edition)
(three-prong definition, came directly from, edition)
(three-prong definition, came from, edition of manual published)
(definition, came from, edition of manual)
(definition, came directly from, edition of manual published)
(definition, came directly from, edition of manual)
(deficits, be related to, functioning)
(Moore 's case, reached, CCA)
(AAIDD, included, requirement)
(Moore, has, case)
(adaptive deficits, be related to, intellectual functioning)
(adaptive deficits, be related to, functioning)
(adaptive deficits, be, related)
(deficits, be related to, intellectual functioning)
(deficits, be, related)
(other leading diagnostic manual, of version is, DSM-5)
(would step, is with, newest version of DSM)
(it, be out of, step with newest version of DSM)
(it, be out of, step with version of DSM)
(it, be out of, step with version)
(it, be out of, step)
(choice, is in, Moore)
(it, be out of, step with newest version)
(AAIDD, with, current guidance)
(medical community, by, diagnostic framework)
(we, established in, Briseno)
(CCA, conducted, painstaking analysis)
(Moore, had taken over, past 40 years)
(CCA, Starting with, functioning)
(CCA, Starting with, intellectual functioning)
(CCA, conducted, analysis of battery)
(CCA, conducted, analysis)
(CCA, conducted, painstaking analysis of battery)
(Moore, has, own experts)
(Moore 's experts, had criticized, App)
(Moore 's own experts, had criticized, App)
(it, was, valid)
(subaverage functioning, is, shown)
(functioning, is, generally shown)
(intellectual functioning, is, shown)
(subaverage functioning, is, generally shown)
(subaverage intellectual functioning, is, generally shown)
(functioning, is, shown)
(subaverage intellectual functioning, is, shown)
(70, of an is, IQ)
(intellectual functioning, is, generally shown)
(470 S. W., 3d at, 486)
(S. W., 3d at, 486)
(range, Taking, error of measurement for 78 score)
(range, Taking, standard error of measurement for 78 score)
(range, Taking, standard error of measurement)
(range, Taking error into, account)
(range, Taking, standard error)
(range, Taking, error for 78 score)
(range, Taking, error of measurement)
(range, Taking, error)
(range, Taking, standard error for 78 score)
(CCA, again considered, standard error)
(CCA, again considered As for, 74)
(CCA, again considered error As for, 74)
(CCA, again considered, error)
(CCA, considered, error)
(CCA, considered, standard error)
(CCA, considered error As for, 74)
(CCA, considered As for, 74)
(lower end, placed Moore within, parameters)
(lower end, placed, Moore)
(lower end, placed Moore for, significantly subaverage functioning)
(lower end, placed Moore for, subaverage functioning)
(end, placed Moore for, subaverage intellectual functioning)
(end, placed Moore for, functioning)
(lower end, placed Moore for, subaverage intellectual functioning)
(end, placed, Moore)
(end, placed Moore for, intellectual functioning)
(end, placed Moore for, subaverage functioning)
(end, placed Moore within, parameters)
(lower end, placed Moore for, functioning)
(end, placed Moore for, significantly subaverage intellectual functioning)
(lower end, placed Moore for, intellectual functioning)
(end, placed Moore for, significantly subaverage functioning)
(lower end, placed Moore for, significantly subaverage intellectual functioning)
(poor effort, experiencing, depression)
(he, exerting, poor effort)
(Moore 's score, be in, lower end of error-generated range)
(Moore 's score, be in, lower end of range)
(Moore 's score, be in, end of error-generated range)
(Moore, has, experts)
(Moore 's score, was, unlikely)
(Moore 's score, be in, end of range)
(he, exerting, effort)
(Moore, has, score)
(Moore 's score, be in, end)
(Moore 's score, be in, lower end)
(effort, experiencing, depression)
(test, was, administered)
(Moore, failed to, present sufficient evidence of significantly subaverage functioning)
(Moore, failed to, evidence of subaverage functioning)
(Moore, failed to, sufficient evidence of significantly subaverage functioning)
(Moore, failed to, present evidence of significantly subaverage intellectual functioning)
(Moore, failed to, present sufficient evidence of subaverage intellectual functioning)
(Moore, failed to, sufficient evidence of significantly subaverage intellectual functioning)
(Moore, failed to, evidence of significantly subaverage intellectual functioning)
(Moore, failed to, present evidence of intellectual functioning)
(Moore, failed to, sufficient evidence of subaverage intellectual functioning)
(Moore, failed to, sufficient evidence of functioning)
(Moore, failed to, present evidence of subaverage functioning)
(Moore, failed to, present evidence)
(Moore, failed to, evidence of functioning)
(Moore, failed to, sufficient evidence of intellectual functioning)
(Moore, failed to, sufficient evidence of subaverage functioning)
(Moore, failed to, present evidence of significantly subaverage functioning)
(Moore, failed to, present evidence of subaverage intellectual functioning)
(Moore, failed to, present sufficient evidence of functioning)
(Moore, failed to, evidence of significantly subaverage functioning)
(Moore, failed to, evidence)
(Moore, failed to, present sufficient evidence of subaverage functioning)
(Moore, failed to, evidence of subaverage intellectual functioning)
(Moore, failed to, sufficient evidence)
(Moore, failed to, present sufficient evidence)
(Moore, failed to, present evidence of functioning)
(Moore, failed to, evidence of intellectual functioning)
(Moore, failed to, present sufficient evidence of intellectual functioning)
(Moore, failed to, present sufficient evidence of significantly subaverage intellectual functioning)
(Moore, failed, one part of CCA 's three-part test)
(Moore, failed, one part)
(CCA, of, three-part test)
(Moore, failed, one part of CCA 's test)
(CCA, consider, prong)
(CCA, consider, second prong of test)
(CCA, consider, prong of test)
(Moore, has, adaptive deficits)
(CCA, consider, second prong)
(Moore, had taken, test of adaptive)
(Moore, had taken, standardized test)
(Moore, had taken, test)
(Moore, had taken, standardized test of adaptive)
(it, was, accurate)
(470 S. W., 3d at, 522)
(S. W., 3d at, 522)
(470 S. W., 3d at, 521-524)
(S. W., 3d at, 521-524)
(Moore, shown, significant deficits)
(CCA, considered, testimony)
(Moore, shown, deficits)
(CCA, also considered, testimony)
(Moore, shown, significant adaptive deficits)
(Moore, shown, adaptive deficits)
(CCA, made credibility determination, factfinders often do)
(CCA, made, credibility determination)
(factfinders, confronting, conflicting evidence)
(CCA, made credibility determination, factfinders do)
(factfinders, confronting, evidence)
(opinion, was more credible given, Dr. Compton 's experience)
(opinion, was, more credible)
(opinion, was, far more credible)
(opinion, was, credible)
(opinion, was far more credible given, Dr. Compton 's experience)
(Moore, of, experts)
(Dr. Compton, given, considerable experience)
(opinion, was, far credible)
(opinion, was far credible given, Dr. Compton 's experience)
(opinion, was credible given, Dr. Compton 's experience)
(Moore, demonstrate, deficits)
(CCA, concluded Based on, Dr. Compton 's opinion)
(CCA, concluded Based on, Dr. Compton 's expert opinion)
(Dr. Compton, Based on, expert opinion)
(Moore, demonstrate, adaptive deficits)
(Moore, demonstrate, significant adaptive deficits)
(Moore, demonstrate, significant deficits)
(Moore, made showings as to, intellectual deficits)
(Moore, made, sufficient showings)
(two, were, related)
(Moore, made showings as to, intellectual functioning deficits)
(Moore, made, showings)
(Moore, made showings as to, deficits)
(Moore, made showings as to, functioning deficits)
(CCA, Again finding, Dr. Compton 's testimony credible)
(record, supports, conclusion)
(record, overwhelmingly supports, conclusion)
(CCA, Again finding, Dr. Compton 's testimony most credible)
(CCA, finding, Dr. Compton 's testimony most credible)
(Moore, has, observed academic difficulties)
(Dr. Compton, has, testimony)
(CCA, finding, Dr. Compton 's testimony credible)
(Dr. Compton, in addition to, expert testimony)
(relatedness conclusion, consideration of, seven Briseno factors)
(relatedness conclusion, consideration of, Briseno factors)
(S. W., 3d at, 527)
(470 S. W., 3d at, 527)
(Court, has, precedents)
(Eighth Amendment judgments, merely subjective views of, individual Justices)
(we, have emphasized For, reason)
(judgment, be informed by, objective factors)
(judgment, be informed to, possible extent)
(judgment, be, informed by factors to possible extent)
(judgment, be informed to, maximum possible extent)
(judgment, be, informed by objective factors to possible extent)
(judgment, be, informed)
(judgment, be, informed by objective factors to maximum possible extent)
(judgment, be, informed by factors to maximum possible extent)
(judgment, be informed by, factors)
(312, at Atkins is, 536 U. S.)
(legislative judgments, are constituted, respond)
(Such judgments, are critical, constituted)
(judgments, are, constituted)
(legislative judgments, are critical, constituted)
(Such judgments, are, critical)
(legislative judgments, are, constituted)
(Such legislative judgments, are, critical)
(Such judgments, are constituted, respond)
(Such legislative judgments, are, constituted)
(judgments, are, critical)
(Such legislative judgments, are constituted, respond)
(legislative judgments, are, critical)
(judgments, are constituted, respond)
(Such legislative judgments, are critical, constituted)
(Such judgments, are, constituted)
(judgments, are critical, constituted)
(legislative judgments, are constituted, respond to will)
(Such legislative judgments, are constituted, respond to will)
(judgments, are constituted, respond to will)
(Such judgments, are constituted, respond to will)
(specification, is, concerned)
(we, owe to, decisions of state legislatures)
(we, have focused in, realm)
(we, owe to, decisions of state legislatures under our system)
(we, owe to, decisions under our system)
(we, owe to, decisions under our federal system)
(we, owe to, decisions)
(we, have focused on, state enactments)
(specification, is, where concerned)
(we, owe to, decisions of state legislatures under our federal system)
(instruction, conducting, Eighth Amendment inquiry)
(we, have described, state judgments)
(we, have described, state legislative judgments)
(we, have described state judgments For, reasons)
(essential instruction, conducting, Eighth Amendment inquiry)
(564, at Roper is, 543 U. S.)
(Our decisions, recognize, significance of state consensus)
(Our decisions, recognize, significance)
(addressing, capital punishment for, intellectually disabled)
(Our decisions, recognize, central significance)
(addressing, capital punishment for, disabled)
(addressing, punishment for, disabled)
(addressing, punishment for, intellectually disabled)
(Our decisions, recognize, central significance of state consensus)
(Eighth Amendment, prohibits, execution of disabled individuals in Atkins)
(Court, first identified, national consensus against practice)
(Eighth Amendment, prohibits, execution in Atkins)
(Court, identified, national consensus against practice)
(Court, applying, our independent evaluation)
(Court, identified, national consensus)
(Court, first identified, consensus)
(Eighth Amendment, prohibits, execution of intellectually disabled individuals in Atkins)
(Court, identified consensus, holding)
(execution, is in, Atkins)
(Court, applying, our own evaluation)
(Eighth Amendment, prohibits, execution of individuals)
(Court, first identified, consensus against practice)
(Court, applying, our evaluation)
(Eighth Amendment, prohibits, execution of intellectually disabled individuals)
(Court, applying, our own independent evaluation of issue)
(Court, identified, consensus)
(Eighth Amendment, execution of, individuals)
(Eighth Amendment, execution of, disabled individuals)
(Eighth Amendment, prohibits, execution of individuals in Atkins)
(Court, applying, our own evaluation of issue)
(Court, first identified consensus, holding)
(Court, applying, our evaluation of issue)
(Court, identified, consensus against practice)
(Court, applying, our own independent evaluation)
(Eighth Amendment, prohibits, execution)
(Eighth Amendment, execution of, intellectually disabled individuals)
(Court, first identified, national consensus)
(Court, applying, our independent evaluation of issue)
(Eighth Amendment, prohibits, execution of disabled individuals)
(Eighth Amendment, execution in, Atkins)
(appropriate ways, enforce restriction upon, their execution)
(appropriate ways, enforce, constitutional restriction)
(appropriate ways, enforce, restriction)
(ways, enforce, restriction)
(ways, enforce, constitutional restriction)
(appropriate ways, enforce restriction upon, their execution of sentences)
(ways, enforce restriction upon, their execution of sentences)
(ways, enforce restriction upon, their execution)
(317, at Atkins is, 536 U. S.)
(one State, has, attempt enforce)
(Florida, has, rule requiring)
(Hall, considered, Florida 's rule)
(prisoner, present, IQ score of 70)
(prisoner, present, IQ score)
(IQ score, make out, Atkins claim)
(he, determination of, disability)
(he legal determination, is, distinct)
(Court, thought, proper)
(he, determination of, intellectual disability)
(he legal determination, is distinct from, diagnosis)
(he, legal determination of, disability)
(he determination, is distinct from, diagnosis)
(he, legal determination of, intellectual disability)
(he determination, is distinct from, medical diagnosis)
(he determination, is, distinct)
(it, emphasized, Court thought)
(he legal determination, is distinct from, medical diagnosis)
(7, at S. is, ___ slip op.)
(Court, has, duty)
(Florida, has, rule)
(Florida 's rule, was in, direct opposition to views)
(Court, has, conclusion)
(Florida 's rule, was in, direct opposition)
(Florida 's rule, was in, opposition to views)
(Court 's conclusion, decide, case)
(Florida 's rule, was in, opposition)
(Court, canvassed, policies)
(Court, canvassed, legislative policies)
(Court, Instead canvassed, legislative policies)
(Court, canvassed, policies of States)
(Court, Instead canvassed, policies)
(7, at S. is, ___ slip op.)
(Court, was divided on, conclusion)
(Court, was, divided)
(Court, was sharply divided on, conclusion)
(Court, was, sharply divided)
(Today 's decision, departs, establishing)
(societal standards, about judgment is, medical assessment of clinical practice)
(Today, has, decision)
(judicial judgment, assessment of, clinical practice)
(Today 's decision, departs from, Court 's precedents)
(Court, from, precedents)
(Moore, make showings with respect to, intellectual functioning deficits)
(Moore, make, requisite showings)
(Moore, make showings with respect to, deficits)
(Moore, make showings with respect to, intellectual deficits)
(Moore, make, showings)
(CCA, has, conclusion)
(Moore, make showings with respect to, functioning deficits)
(___, at Hall is, 572 U. S.)
(Court, finds, error)
(Court, finds error in, CCA 's analysis based solely)
(Court, instead finds error in, CCA 's analysis based)
(Court, instead finds error in, CCA 's analysis)
(CCA, in, analysis based solely)
(Court, instead finds error in, CCA 's analysis based solely)
(Court, finds error in, CCA 's analysis)
(Court, finds error in, CCA 's analysis based)
(Court, instead finds, error)
(Court, relies at_time, today)
(our society, deems, repugnant)
(Eighth Amendment, is supposed under, our precedent)
(Eighth Amendment, is, supposed)
(Eighth Amendment, impose, moral backstop)
(Eighth Amendment, impose backstop on, punishment)
(Eighth Amendment, impose, backstop)
(Court, however interprets, that)
(Court, interprets, that)
(Court, has, refusal even address)
(312, at Atkins is, 536 U. S.)
(it, offers to, States seeking)
(Court, with, approach)
(second problem, is with, Court 's approach)
(it, offers to, States)
(second problem, is, lack)
(problem, is, lack)
(intellectual-disability determination, views ', medical experts ')
(we, have in, past)
(court 's intellectual-disability determination, views ', medical experts ')
(we, have in, recent past)
(intellectual-disability determination, views ', experts ')
(court 's intellectual-disability determination, views ', experts ')
(we, have in, very recent past)
(Court, has, articulation)
(Court, with, stated principle)
(Start, is with, Court 's stated principle)
(Disregard, means, dismiss)
(Disregard, dismiss as, unworthy of attention)
(Disregard, dismiss as, unworthy)
(Disregard, normally means, dismiss)
(Moore, on, adaptive strengths)
(CCA, was, aware)
(CCA, was, Yet aware)
(CCA, addressed fact in, decision)
(CCA, addressed fact in, prior decision)
(CCA, addressed, fact)
(clinicians, considering, information)
(clinicians, considering, such information)
(person, of, functional abilities)
(Atkins inquiry, sought, answer)
(CCA, decided As to, prison conduct)
(S. W., 3d at, 26-27)
(451 S. W., 3d at, 26-27)
(departure, was, warranted)
(CCA, considered, clinical standards)
(CCA, considered, standards)
(Court, has, identified errors)
(Court 's errors, do clarify, scope)
(we, are, told)
(Court 's identified errors, do clarify, scope)
(Moore 's conduct, is in, prison)
(Moore, has, conduct in prison at 12-13)
(Court, faults CCA for, overemphasiz strengths)
(Court, faults, CCA)
(Court, has, only guidance when some becomes)
(10, at guides is, ante)
(instance, in guides is, ante)
(guides, is in, instance)
(flexibility, enforcing, guarantee)
(flexibility, enforcing, guarantee of Atkins)
(today, by, decision)
(forbidden, totally undefined by, today 's decision)
(forbidden, undefined by, today 's decision)
(Court, has, decision)
(Court, has, conclusion)
(Moore, has, perceived adaptive strengths)
(AAIDD, has, direction)
(significant limitations, is in, conceptual adaptive skills)
(Court, cites, AAIDD 's direction)
(clinicians, agree with, statement)
(it, might, might interpreted)
(clinicians, do in, fact)
(The clinician, has, diagnostic focus)
(Assessing Adaptive Functioning, is in, Death Penalty Cases)
(DSM-5, from departs is, AAIDD-11)
(same, is true about, consideration of prison conduct)
(same, is true about, consideration)
(same, is, true)
(primary clinical guides, do offer, caution considering)
(two primary clinical guides, do offer, caution considering)
(stringency, differs, AAIDD seeming)
(AAIDD, enact, flat ban looking)
(AAIDD, enact, ban looking)
(User, has, Guide)
(he, demonstrated, level)
(CCA, followed, DSM-5 's instruction)
(he, demonstrated, level of adaptive functioning)
(CCA, relying on, Dr. Compton 's conclusion)
(he, demonstrated, level of functioning)
(he, level of, functioning)
(he, level of, adaptive functioning)
(DSM-5, has, instruction)
(Dr. Compton, on, conclusion)
(470 S. W., 3d at, 526)
(S. W., 3d at, 526)
(Court, rejects, DSM-5 's approach to consideration of prison conduct)
(Court, rejects, DSM-5 's approach to proper consideration)
(Court, implicitly rejects, DSM-5 's approach to proper consideration)
(Court, rejects, DSM-5 's approach to proper consideration of prison conduct)
(CCA, erred in, regard)
(Court, implicitly rejects, DSM-5 's approach)
(Court, implicitly rejects, DSM-5 's approach to proper consideration of prison conduct)
(DSM-5, has, approach to proper consideration of prison conduct)
(Court, rejects, DSM-5 's approach)
(Court, implicitly rejects, DSM-5 's approach to consideration of prison conduct)
(Court, rejects, DSM-5 's approach to consideration)
(Court, implicitly rejects, DSM-5 's approach to consideration)
(differences, is in, opinion)
(You, reading opinion at_time, today)
(it, deemed, most credible)
(it, deemed, credible)
(CCA, accepting, testimony)
(CCA, resolved, dispute)
(CCA, resolved dispute before, it)
(CCA, Confronted with, dueling expert opinions how evaluate)
(CCA, Confronted with, dueling expert opinions evaluate)
(CCA, resolved before, it)
(factfinding court, deemed, most credible)
(court, deemed, credible)
(I, upset, considered judgment)
(court, deemed, most credible)
(I, am, unwilling)
(I, upset, considered judgment of psychologist)
(I, am unwilling unlike, Court)
(I, upset, considered judgment of forensic psychologist)
(I, upset, judgment)
(I, upset, judgment of psychologist)
(factfinding court, deemed, credible)
(I, upset, judgment of forensic psychologist)
(I, would resolve, case)
(Moore 's deficits, were related to, his intellectual functioning)
(Moore 's adaptive deficits, were, related)
(Moore 's adaptive deficits, were related to, his intellectual functioning)
(Moore 's deficits, were, related)
(Moore, has, adaptive deficits)
(Moore 's adaptive deficits, were related to, his functioning)
