(NORTH DAKOTA, v. BIRCHFIELD is, 2016)
(search-incident-to-arrest doctrine, are, actually parts)
(categorical search-incident-to-arrest doctrine, are, parts of framework at 6-7)
(categorical search-incident-to-arrest doctrine, are, parts)
(doctrine, are parts of, single framework)
(exigent circumstances doctrine, are, actually parts of single framework at 6-7)
(categorical search-incident-to-arrest doctrine, are parts at, 6-7)
(circumstances doctrine, are, parts of framework at 6-7)
(categorical search-incident-to-arrest doctrine, are, parts of framework)
(doctrine, are, parts of framework at 6-7)
(doctrine, are, actually parts of framework)
(categorical search-incident-to-arrest doctrine, are parts of, post)
(search-incident-to-arrest doctrine, are, parts at 6-7)
(categorical doctrine, are, actually parts of single framework)
(case-by-case exigent circumstances doctrine, are, actually parts of framework at 6-7)
(categorical search-incident-to-arrest doctrine, are, parts of single framework)
(case-by-case circumstances doctrine, are, actually parts of framework at 6-7)
(circumstances doctrine, are parts of, framework)
(doctrine, are, actually parts of framework at 6-7)
(case-by-case circumstances doctrine, are parts at, 6-7)
(case-by-case circumstances doctrine, are, parts of single framework at 6-7)
(case-by-case exigent circumstances doctrine, are actually parts of, framework)
(categorical doctrine, are parts at, 6-7)
(search-incident-to-arrest doctrine, are parts of, framework)
(categorical doctrine, are actually parts of, framework)
(doctrine, are, actually parts)
(categorical doctrine, are parts of, single framework)
(case-by-case circumstances doctrine, are parts of, single framework)
(exigent circumstances doctrine, are, parts of single framework at 6-7)
(case-by-case exigent circumstances doctrine, are, actually parts)
(categorical doctrine, are actually parts at, 6-7)
(search-incident-to-arrest doctrine, are, actually parts at 6-7)
(doctrine, are, actually parts at 6-7)
(doctrine, are, parts)
(circumstances doctrine, are, parts)
(case-by-case exigent circumstances doctrine, are, actually parts of single framework at 6-7)
(categorical search-incident-to-arrest doctrine, are, actually parts at 6-7)
(circumstances doctrine, are actually parts of, single framework)
(categorical search-incident-to-arrest doctrine, are actually parts of, framework)
(case-by-case circumstances doctrine, are actually parts of, framework)
(___, at n. is, 569 U. S.)
(categorical search-incident-to-arrest doctrine, are, actually parts of single framework)
(categorical search-incident-to-arrest doctrine, are, actually parts of framework at 6-7)
(search-incident-to-arrest doctrine, are actually parts of, framework)
(doctrine, are, actually parts of single framework at 6-7)
(search-incident-to-arrest doctrine, are, parts)
(case-by-case exigent circumstances doctrine, are parts at, 6-7)
(case-by-case circumstances doctrine, are, parts)
(case-by-case circumstances doctrine, are, actually parts of single framework at 6-7)
(exigent circumstances doctrine, are, parts of framework at 6-7)
(doctrine, are, parts of framework)
(categorical doctrine, are actually parts of, single framework)
(categorical doctrine, are, actually parts)
(search-incident-to-arrest doctrine, are parts at, 6-7)
(case-by-case circumstances doctrine, are actually parts at, 6-7)
(categorical search-incident-to-arrest doctrine, are actually parts at, 6-7)
(search-incident-to-arrest doctrine, are parts of, single framework)
(doctrine, are actually parts at, 6-7)
(exigent circumstances doctrine, are, actually parts of framework at 6-7)
(case-by-case exigent circumstances doctrine, are parts of, framework)
(exigent circumstances doctrine, are actually parts at, 6-7)
(categorical doctrine, are, parts of single framework)
(doctrine, are parts of, post)
(doctrine, are, actually parts of single framework)
(categorical search-incident-to-arrest doctrine, are actually parts of, post)
(search-incident-to-arrest doctrine, are actually parts at, 6-7)
(categorical search-incident-to-arrest doctrine, are actually parts of, single framework)
(doctrine, are actually parts of, post)
(categorical doctrine, are parts of, post)
(doctrine, are parts at, 6-7)
(circumstances doctrine, are, actually parts)
(categorical doctrine, are, parts at 6-7)
(circumstances doctrine, are, parts of single framework at 6-7)
(exigent circumstances doctrine, are, parts)
(categorical search-incident-to-arrest doctrine, are, actually parts)
(search-incident-to-arrest doctrine, are, parts of framework at 6-7)
(categorical doctrine, are, actually parts of framework at 6-7)
(categorical doctrine, are, actually parts at 6-7)
(doctrine, are, parts of single framework)
(circumstances doctrine, are actually parts at, 6-7)
(circumstances doctrine, are parts at, 6-7)
(our cases, permit in, absence)
(our cases, permit in, absence of warrant)
(our cases, permit in, even absence of warrant)
(argument, could, could made)
(argument, searching through, objects found)
(argument, could, of course could made)
(same argument, searching through, objects found)
(our cases, permit in, even absence)
(arrestee, on, possession)
(same argument, searching through, objects)
(same argument, could, of course could made)
(argument, searching through, objects)
(same argument, could, could made)
(cigarette package, is in, Robinson)
(motorist, has, flask)
(flask, is in, his pocket)
(motorist, arrested for, driving)
(motorist, arrested for, drunk driving)
(motorist, has, flask in his pocket)
(motorist, flask in, his pocket)
(motorist, driving, under influence has what appears)
(motorist, arrested, driving)
(motorist, driving, under influence of marijuana has what appears)
(motorist, driving, has what appears)
(courts, would, would swamped)
(search warrant, were, required)
(we, even arbitrarily singled out, BAC tests incident arrest)
(we, arbitrarily singled out, BAC tests incident arrest for special treatment)
(we, arbitrarily singled out, BAC tests incident arrest for treatment)
(we, even singled out, BAC tests incident arrest for treatment)
(impact, be, considerable)
(we, arbitrarily singled out, BAC tests incident arrest)
(we, singled out, BAC tests incident arrest for treatment)
(we, even singled out, BAC tests incident arrest for special treatment)
(we, even arbitrarily singled out, BAC tests incident arrest for treatment)
(we, even arbitrarily singled out, BAC tests incident arrest for special treatment)
(we, even singled out, BAC tests incident arrest)
(we, singled out, BAC tests incident arrest for special treatment)
(we, singled out, BAC tests incident arrest)
(FBI, Crime in, United States)
(Crime, is in, United States)
(districts, number of, officers)
(districts, may have, small number)
(districts, may have, number of officers)
(districts, small number of, judicial officers)
(districts, only number of, officers)
(districts, may have, only small number of officers)
(districts, only number of, judicial officers)
(districts, may have, number of judicial officers)
(districts, may have, small number of officers)
(districts, may have, number)
(districts, may have, only small number of judicial officers)
(districts, may have, only number)
(districts, number of, judicial officers)
(districts, may have, small number of judicial officers)
(districts, small number of, officers)
(districts, may have, only number of officers)
(districts, only small number of, judicial officers)
(districts, only small number of, officers)
(districts, may have, only small number)
(districts, may have, only number of judicial officers)
(judges, are assisted by, 31 magistrates)
(.4 judges, are assisted across, eight districts)
(authority, issue, search warrants)
(judges, are assisted across, eight judicial districts)
(judges, are, across eight districts assisted by 31 magistrates)
(judges, are, assisted)
(.4 judges, are assisted by, 31 magistrates)
(judges, are, across eight judicial districts assisted by 31 magistrates)
(given location, is in, State)
(.4 judges, are, across eight districts assisted by 31 magistrates)
(.4 judges, are assisted across, eight judicial districts)
(.4 judges, are, assisted)
(judges, are assisted across, eight districts)
(.4 judges, are, across eight judicial districts assisted by 31 magistrates)
(Office, pp., 47 2015)
(Crime, is in, North Dakota)
(North Dakota Attorney General, Crime in, North Dakota)
(warrants, is in, parts of State)
(would light burden, is With, small number of judicial officers authorized)
(petitioners, show, need for warrants for BAC testing)
(petitioners, would have In, light)
(petitioners, show, need)
(petitioners, would have In, light of burden)
(petitioners, show, need for warrants)
(petitioners, show, special need for warrants for BAC testing)
(petitioners, show, special need for warrants)
(petitioners, show, special need)
(petitioners, would have at, minimum)
(It, is, therefore appropriate)
(It, is, appropriate)
(warrants, protect, privacy)
(warrants, protect privacy in, two ways)
(warrants, protect privacy in, two main ways)
(___, at Riley is, 573 U. S.)
(United States, abrogated on, grounds)
(United States, abrogated on, other grounds)
(United States, abrogated on, Acevedo)
(functions, would, would performed)
(functions, would, How well would performed)
(functions, would, well would performed)
(motorist, has, blood alcohol level)
(officer, persuade, magistrate)
(Part II, are, largely same)
(Part II, are same from, one drunk-driving stop)
(Part II, are largely same from, one drunk-driving stop)
(Part II, are largely same from, one stop to next)
(Part II, are largely same from, one stop)
(motorist, reciting, alphabet)
(Part II, are same from, one drunk-driving stop to next)
(Part II, are largely same from, one drunk-driving stop to next)
(motorist, attempting, stand)
(Part II, are same from, one stop to next)
(Part II, are, same)
(Part II, are same from, one stop)
(magistrate, be, poor)
(function, warrants in, question)
(warrants, is in, question)
(second function, served by, search warrants)
(function, served by, search warrants)
(function, warrants here in, question)
(would BAC test, is In, case)
(scope, would, In case would simply BAC test of arrestee)
(scope, would, In case would BAC test of arrestee)
(warrant, scope of be, In case would simply BAC test of arrestee)
(warrant, scope of be, In case would simply BAC test)
(warrant, scope of be, In case would BAC test of arrestee)
(scope, would, In case would BAC test)
(warrant, scope of be, In case would BAC test)
(scope, would, In case would simply BAC test)
(622, at Skinner is, 489 U. S.)
(police, obtain warrant in, case)
(substantial burden, requiring, police)
(burden, requiring, police)
(Petitioners, advance, other alternatives)
(Petitioners, advance, alternatives to warrantless BAC tests)
(Petitioners, advance, other alternatives to warrantless BAC tests)
(these, are, poor substitutes)
(Petitioners, advance, alternatives to BAC tests)
(Petitioners, advance, alternatives)
(Petitioners, advance, other alternatives to BAC tests)
(petitioner Birchfield, Relying on, NHTSA report)
(driver, has, breath)
(petitioner Birchfield, Relying on, recent NHTSA report)
(Birchfield, ignores, fact)
(target, segment of, population)
(target, only segment of, drunk-driver population)
(target, only segment of, population)
(target, segment of, drunk-driver population)
(others, are in, widespread use)
(others, are in, use)
(others, are in, already widespread use)
(others, are in, already use)
(consequences, were made, more severe)
(line, is with, agency 's guidance elsewhere)
(same NHTSA report, stresses in, line with agency 's guidance)
(same NHTSA report, Moreover stresses in, line with agency 's guidance)
(same NHTSA report, stresses in, line)
(consequences, were made, more severe including through addition of penalties)
(NHTSA report, Moreover stresses in, line with agency 's guidance elsewhere)
(consequences, were made, severe including through addition)
(consequences, were, made)
(NHTSA report, stresses in, line with agency 's guidance elsewhere)
(NHTSA report, Moreover stresses in, line)
(same NHTSA report, Moreover stresses in, line)
(consequences, were made, severe)
(consequences, were made, more severe including through addition of criminal penalties)
(consequences, were made, severe including through addition of criminal penalties)
(BAC test refusal penalties, be more effective, made)
(BAC test refusal penalties, be effective, made)
(NHTSA report, Moreover stresses in, line with agency 's guidance)
(NHTSA report, stresses in, line with agency 's guidance)
(NHTSA report, stresses in, line)
(consequences, were made, severe including through addition of penalties)
(BAC test refusal penalties, be, effective)
(BAC test refusal penalties, be, more effective)
(agency, with, guidance elsewhere)
(consequences, were made, more severe including through addition)
(Court, has, precedents)
(Reply Brief, is in, No. 14-1470)
(Court, derived, its limitation for scope of search)
(Court, derived, its limitation for scope of permitted search)
(he, possession of, weapon)
(he, might gain, possession of weapon)
(Court, derived, its limitation for scope)
(Court, derived, its limitation)
(he, might gain, possession)
(body, of, metabolism of alcohol)
(arrestee, has, control)
(arrestee, has, little control)
(Reply Brief, is in, No. 14-1470)
(Bernard, draws between, arrestee 's active destruction of evidence)
(Bernard, draws between, arrestee 's active destruction)
(arrestee, between, active destruction of evidence)
(Bernard, draws between, arrestee 's destruction of evidence)
(Bernard, draws between, arrestee 's destruction)
(evidence, be, lost)
(State, has, concern avoiding)
(Court, has, post-Chimel cases)
(arrestee, has, intentional destruction of evidence)
(Court 's post-Chimel cases, have recognized, State 's concern)
(___, at Riley is, 573 U. S.)
(its loss, metabolization in, blood)
(its loss, readily encompasses, metabolization of alcohol in blood)
(its loss, readily encompasses, inevitable metabolization in blood)
(its loss, encompasses, metabolization of alcohol)
(its loss, readily encompasses, metabolization)
(its loss, encompasses, inevitable metabolization of alcohol in blood)
(its loss, encompasses, inevitable metabolization in blood)
(its loss, readily encompasses, metabolization of alcohol)
(its loss, encompasses, metabolization of alcohol in blood)
(its loss, inevitable metabolization of, alcohol)
(its loss, encompasses, metabolization in blood)
(its loss, readily encompasses, inevitable metabolization of alcohol in blood)
(its loss, readily encompasses, inevitable metabolization of alcohol)
(its loss, encompasses, inevitable metabolization)
(its loss, readily encompasses, metabolization in blood)
(its loss, encompasses, metabolization)
(inevitable metabolization, is in, blood)
(its loss, metabolization of, alcohol)
(its loss, encompasses, inevitable metabolization of alcohol)
(its loss, readily encompasses, inevitable metabolization)
(its loss, inevitable metabolization in, blood)
(Bernard, derive, more concrete support for his position from Schmerber)
(Bernard, derive, concrete support for his position from Schmerber)
(Court, stated In, case)
(Schmerber 's passage, was, addressed to type at issue in case)
(Schmerber 's passage, was addressed at, issue)
(Schmerber, has, passage)
(Bernard, obscures, fact)
(Schmerber 's passage, was, addressed)
(Schmerber 's passage, was addressed to, type)
(Schmerber 's passage, was addressed to, type of test)
(Schmerber 's passage, was, addressed to type of test at issue)
(Schmerber 's passage, was, addressed to type of test at issue in case)
(Schmerber 's passage, was, addressed to type at issue)
(Schmerber 's passage, was, addressed to type of test in case)
(Schmerber 's passage, was addressed in, case)
(Schmerber 's passage, was, addressed to type in case)
(Schmerber 's passage, was, addressed at issue in case)
(it, implicating, interests in dignity)
(it, saw, searches)
(Court, described, blood tests)
(it, implicating, interests)
(it, implicating, important interests in human dignity)
(it, implicating, important interests)
(Court, described blood tests as, searches)
(it, implicating, interests in human dignity)
(it, implicating, important interests in dignity)
(body, beyond, surface)
(important interests, is in, human dignity)
(it, comes to, type)
(it, comes to, type of test Bernard)
(Schmerber, said, nothing)
(Schmerber, said nothing on, question)
(Schmerber, said on, question)
(Schmerber, said on, question of breath tests ' legality)
(Schmerber, said nothing on, question of breath tests ' legality)
(Bernard, Finally supports, his distinction)
(his distinction, using, passage)
(Bernard, supports, his distinction)
(Reply Brief, is in, No. 14-1470)
(exception, has, has understood)
(exception, McNeely concerned, only one exception)
(exception, concerned, only one exception to warrant requirement)
(exception, McNeely concerned, only one exception to usual warrant requirement)
(exception, concerned, only one exception)
(exception, concerned, only one exception to usual warrant requirement)
(exception, has, has always understood)
(exception, involve, evaluation of particular facts of case)
(exception, involve, evaluation)
(exception, involve, evaluation of facts of case)
(exception, McNeely concerned, only one exception to warrant requirement)
(we, repeated, itself)
(we, are, concerned)
(authority, is, categorical)
(authority, is categorical, we made in Robinson)
(we, are concerned by, contrast)
(we, made, clear)
(we, are, by contrast concerned with exception)
(we, Here are concerned with, search-incident-to-arrest exception)
(we, are, Here concerned)
(we, made in, Robinson)
(authority, is categorical, we made)
(we, Here are concerned with, exception)
(we, are, by contrast concerned with search-incident-to-arrest exception)
(we, repeated in, McNeely)
(we, are concerned with, exception)
(we, are concerned with, search-incident-to-arrest exception)
(Amendment, permits, warrantless breath tests)
(Fourth Amendment, permits, warrantless breath tests incident)
(Amendment, permits, breath tests)
(Amendment, permits, warrantless breath tests incident)
(Amendment, permits, warrantless breath tests incident to arrests for driving)
(we, assessed, effect of BAC tests on privacy interests)
(Amendment, permits, breath tests incident)
(Fourth Amendment, permits, breath tests incident to arrests for drunk driving)
(Fourth Amendment, permits, warrantless breath tests incident to arrests for driving)
(Amendment, permits, breath tests incident to arrests for driving)
(we, assessed, effect)
(Fourth Amendment, permits, breath tests incident to arrests for driving)
(Fourth Amendment, permits, breath tests incident)
(we, assessed, effect on privacy interests)
(Fourth Amendment, permits, breath tests incident to arrests)
(Fourth Amendment, permits, warrantless breath tests incident to arrests)
(Amendment, permits, warrantless breath tests incident to arrests for drunk driving)
(Amendment, permits, warrantless breath tests incident to arrests)
(effect, need for, tests)
(Amendment, permits, breath tests incident to arrests)
(Amendment, permits, breath tests incident to arrests for drunk driving)
(Fourth Amendment, permits, warrantless breath tests)
(we, assessed, effect of BAC tests)
(Fourth Amendment, permits, breath tests)
(effect, need for, such tests)
(Fourth Amendment, permits, warrantless breath tests incident to arrests for drunk driving)
(impact, is, slight)
(need, is, great)
(We, reach, different conclusion)
(We, reach conclusion with respect to, blood tests)
(We, reach, conclusion)
(Blood tests, are, significantly more intrusive)
(Blood tests, are, more intrusive)
(their reasonableness, must, must judged)
(their reasonableness, must, must judged in light of availability of invasive alternative of breath test)
(their reasonableness, must, must judged in light of availability of less invasive alternative)
(Blood tests, are, intrusive)
(Blood tests, are, significantly intrusive)
(their reasonableness, must, must judged in light of availability of alternative)
(their reasonableness, must, must judged in light of availability of alternative of breath test)
(their reasonableness, must, must judged in light of availability of less invasive alternative of breath test)
(their reasonableness, must, must judged in light)
(their reasonableness, must, must judged in light of availability of invasive alternative)
(their reasonableness, must, must judged in light of availability)
(Breath tests, have in, have common use for many years)
(Breath tests, have in, have use for many years)
(Breath tests, have in, have use for years)
(Breath tests, have in, have common use for years)
(Their results, are, widely credited)
(Their results, are, credited)
(Their results, are credited by, juries)
(Their results, are widely credited by, juries)
(driver, has, ability operate safely)
(police, have, measures)
(police, have measures at, their disposal)
(they, have, reason believe)
(police, have, other measures)
(Nothing, seeking, warrant for blood test)
(Nothing, seeking, warrant)
(Nothing, prevents, police)
(blood test, requires, driver participation)
(blood test, also requires, driver participation)
(blood test, also requires, less driver participation than breath test)
(blood test, requires, less driver participation than breath test)
(blood test, requires, driver participation than breath test)
(blood test, also requires, less driver participation)
(blood test, also requires, driver participation than breath test)
(blood test, requires, less driver participation)
(technician, take, blood sample)
(subject, is, remain still)
(subject, is, remain)
(it, extract, blood sample)
(it, is, Thus possible)
(it, is, possible)
(559-560, at Neville is, 459 U. S.)
(it, opposes practice because of, risk of altercations between police officers)
(North Dakota, tells, us)
(it, generally opposes practice because of, risk of altercations)
(it, generally opposes, practice)
(it, opposes practice because of, risk)
(dangerous altercations, is in, rural areas)
(it, opposes practice because of, risk of dangerous altercations)
(it, generally opposes practice because of, risk of dangerous altercations between police officers)
(it, generally opposes practice because of, risk of altercations between police officers)
(it, generally opposes practice because of, risk of dangerous altercations)
(it, opposes practice because of, risk of altercations)
(it, opposes, practice)
(it, generally opposes practice because of, risk)
(it, opposes practice because of, risk of dangerous altercations between police officers)
(blood, may, Under current Dakota law in cases may taken)
(blood, may, Under current Dakota law only in cases may taken)
(blood, may, may taken)
(blood, may, only in cases may taken)
(blood, may, Under Dakota law only in cases may taken)
(blood, may, Under Dakota law may taken)
(blood, may, Under current North Dakota law may taken)
(blood, may, Under current Dakota law may taken)
(blood, may, Under current North Dakota law in cases may taken)
(blood, may, Under North Dakota law only in cases may taken)
(blood, may, in cases may taken)
(blood, may, Under current North Dakota law only in cases may taken)
(blood, may, Under Dakota law in cases may taken)
(blood, may, Under North Dakota law may taken)
(blood, may, Under North Dakota law in cases may taken)
(§, is with, § 39-20-01 .1)
(It, is, true)
(blood test, be, administered)
(blood test, be administered unlike, breath test)
(arrestee, prevent, accurate reading)
(breath test, may, may also ineffective)
(breath test, may, may ineffective)
(arrestee, prevent reading, failing)
(arrestee, prevent, reading)
(Andrews, is In, Kunneman)
(Ohio St., 2d, 1256-1257 1977)
(52 Ohio St., 2d, 1256-1257 1977)
(it, may, may prosecuted)
(warrant, may, may sought)
(warrant, may, again may sought)
(breath tests, are, less intrusive)
(we, conclude, less intrusive)
(breath tests, are less intrusive than, blood tests)
(we, conclude, significantly less intrusive than blood tests)
(blood test, be, administered)
(blood test, be, administered as search incident to arrest for drunk driving)
(breath tests, are intrusive than, blood tests)
(blood test, be, administered as search incident to arrest for driving)
(blood test, be, administered as search incident to arrest)
(breath tests, serve law enforcement interests in, cases)
(we, conclude, significantly less intrusive)
(blood test, be, administered as search incident to lawful arrest for driving)
(breath tests, are, intrusive)
(breath tests, serve law enforcement interests in, most cases)
(we, conclude, less intrusive than blood tests)
(breath tests, amply serve law enforcement interests in, cases)
(blood test, be, administered as search incident to lawful arrest)
(blood test, be, administered as search incident)
(breath tests, amply serve law enforcement interests in, most cases)
(we, conclude, intrusive)
(blood test, be, administered as search incident to lawful arrest for drunk driving)
(we, conclude, intrusive than blood tests)
(breath tests, are significantly less intrusive than, blood tests)
(breath tests, are, significantly less intrusive)
(we, must address, respondents ' argument)
(we, must address, respondents ' alternative argument)
(such tests, are, justified)
(driver, on, legally implied consent submit to them)
(tests, are, justified)
(search, is, reasonable)
(It, is, well established)
(It, is, established)
(Our prior opinions, have referred to, concept)
(Our prior opinions, have referred approvingly to, concept)
(Our opinions, have referred to, concept)
(Our opinions, have referred to, general concept)
(Our prior opinions, have referred approvingly to, general concept)
(Our opinions, have referred approvingly to, general concept)
(Our prior opinions, have referred to, general concept)
(Our opinions, have referred approvingly to, concept)
(560, at Neville is, supra)
(It, also impose penalties, submit)
(It, also impose, criminal penalties)
(It, also impose penalties on, refusal)
(It, impose, criminal penalties)
(It, also impose, penalties)
(It, impose penalties, submit)
(It, impose, penalties)
(It, impose penalties on, refusal)
(motorists, consented by, virtue of decision drive on roads)
(motorists, consented by, virtue)
(motorists, may, may deemed)
(motorists, consented by, virtue of decision drive on public roads)
(motorists, consented by, virtue of decision drive)
(Respondents, concede, point)
(their amici, all concede, point)
(Respondents, all concede, point)
(their amici, concede, point)
(laws, severely present, issue)
(laws, punishing, refusal)
(laws, severely present, different issue)
(laws, present, issue)
(laws, more severely present, different issue)
(laws, more severely present, issue)
(laws, present, different issue)
(motorists, be deemed, have consented)
(motorists, be, deemed)
(they, have, nexus)
(our, jurisprudence, United States)
(we, applying, standard)
(Our remaining task, apply, our conclusions)
(Our task, apply, our legal conclusions)
(Our remaining task, apply, our legal conclusions)
(Our task, apply, our conclusions)
(Petitioner Birchfield, refusing, warrantless blood draw)
(Petitioner Birchfield, refusing, blood draw)
(exigent circumstances exception, justified, search)
(circumstances exception, justified, warrantless search)
(circumstances exception, justified, search)
(exigent circumstances exception, justified, warrantless search)
(___, at McNeely is, 569 U. S.)
(Birchfield, was threatened with, unlawful search)
(judgment, affirming, his conviction)
(Birchfield, was, threatened)
(Birchfield, was threatened with, search)
(judgment, must, must reversed)
(Bernard, was criminally prosecuted on, hand)
(Bernard, was, criminally prosecuted)
(Bernard, was prosecuted on, other hand)
(Bernard, was, prosecuted)
(Bernard, refusing, breath test)
(Bernard, was criminally prosecuted on, other hand)
(Bernard, refusing, warrantless breath test)
(Bernard, was prosecuted on, hand)
(test, was, permissible search incident to Bernard 's arrest for driving)
(test, was, search incident to Bernard 's arrest)
(test, was, search incident to Bernard 's arrest for drunk driving)
(test, was, permissible)
(test, was, permissible search incident to Bernard 's arrest for drunk driving)
(Bernard, 's arrest is, arrest)
(drunk driving, for arrest is, arrest)
(test, was, search incident)
(Bernard, to, arrest for drunk driving)
(test, was, permissible search incident to Bernard 's arrest)
(test, was, permissible search incident)
(test, was, search incident to Bernard 's arrest for driving)
(Beylund, refusing, test)
(police, told, him)
(He, submitted to, blood test)
(his license, was, suspended)
(his license, was, then suspended)
(he, was fined in, proceeding)
(he, was fined in, administrative proceeding)
(he, was, fined)
(State, permissibly compel, blood tests)
(Beylund, has, consent)
(State, compel, blood tests)
(Beylund 's consent, was voluntary on, erroneous assumption)
(Beylund 's consent, was, voluntary)
(it, reevaluate, Beylund 's consent)
(we, leave, it)
(227, at Schneckloth is, supra)
(officer, of, advisory .9)
(it, reevaluate, Beylund 's consent given partial inaccuracy)
(voluntariness, be, must determined from totality of circumstances)
(it, reevaluate, Beylund 's consent given partial inaccuracy of officer 's .9)
(voluntariness, be, must determined)
(Schneckloth, leave, it)
(it, reevaluate, Beylund 's consent given inaccuracy of officer 's advisory .9)
(it, reevaluate, Beylund 's consent given partial inaccuracy of officer 's advisory .9)
(it, reevaluate, Beylund 's consent given inaccuracy)
(it, reevaluate, Beylund 's consent given inaccuracy of officer 's .9)
(Beylund, has, consent given partial inaccuracy of advisory .9)
(We, reverse, judgment of North Dakota Supreme Court)
(We, accordingly reverse judgment in, No. 14-1468)
(We, accordingly reverse, judgment)
(We, accordingly reverse, judgment of North Dakota Supreme Court)
(We, reverse, judgment)
(We, remand, case)
(We, reverse judgment in, No. 14-1468)
(We, affirm, judgment of Minnesota Supreme Court)
(We, affirm, judgment)
(We, affirm judgment in, No. 14-1470)
(we, vacate, judgment)
(we, vacate, judgment of North Dakota Supreme Court)
(we, remand, case)
(we, vacate judgment in, No. 14-1507)
(It, is, ordered)
(It, is, so ordered)
(WILLIAM ROBERT BERNARD, PETITIONER v., MINNESOTA)
(GRANT LEVI, DEPARTMENT OF, TRANSPORTATION)
(STEVE MICHAEL BEYLUND, PETITIONER v., GRANT LEVI)
(DANNY BIRCHFIELD, PETITIONER v., NORTH DAKOTA)
(Court, considers, three cases)
(Court, considers, three consolidated cases)
(Fourth Amendment, to, warrant requirement)
(I, join, majority 's disposition)
(majority, has, disposition of)
(I, join, majority 's disposition of)
(same exception, permits, breath tests)
(same exception, permits, warrantless breath tests)
(Court, from, disposition of Bernard)
(exception, permits, breath tests)
(exception, permits, warrantless breath tests)
(circumstances, exist in, case .1)
(exigent circumstances, exist in, particular case .1)
(circumstances, exist in, particular case .1)
(exigent circumstances, exist in, case .1)
(proper disposition, turns on, Court recognizes)
(disposition, turns on, Court recognizes)
(place, be, searched)
(right, persons, seized)
(ultimate touchstone, is, reasonableness)
(Amendment, touchstone of is, reasonableness)
(touchstone, is, reasonableness)
(Amendment, ultimate touchstone of is, reasonableness)
(Fourth Amendment, ultimate touchstone of is, reasonableness)
(Fourth Amendment, touchstone of is, reasonableness)
(citizen, has, Fourth Amendment right free from unreasonable searches)
(They, pat down, arrestee)
(her pockets, examine, her car)
(pockets, scroll through, her cellphone)
(her pockets, examine, dwelling)
(purse, examine, her car)
(peek, examine, her car)
(purse, examine, dwelling)
(peek, examine, dwelling)
(her, pockets, scroll through cellphone)
(search, determine, its reasonableness)
(search, must, must separately analyzed)
(search, must, must analyzed)
(warrants, is instead narrowly limited in, its objectives)
(warrants, is, instead limited)
(warrants, are safeguard, has arrested)
(warrants, are usual safeguard against, unreasonable searches)
(warrants, is instead limited in, its objectives)
(warrants, is narrowly limited in, its objectives)
(warrants, are, usual safeguard)
(warrants, are usual safeguard against, searches)
(warrants, are safeguard against, unreasonable searches)
(person, has, has arrested)
(warrants, is, narrowly limited)
(warrants, are, safeguard)
(warrants, are usual safeguard, has arrested)
(warrants, is, instead narrowly limited)
(warrants, is limited in, its objectives)
(warrants, are safeguard against, searches)
(warrants, is, limited)
(Railway Labor Executives, ' Assn. is, 622 1989)
(Railway Labor Executives, ' Assn. is, 489 U. S. 602)
(Warrants, provide, scrutiny of magistrate)
(Warrants, provide, scrutiny of neutral magistrate)
(Warrants, provide, detached scrutiny of magistrate)
(Warrants, provide, detached scrutiny of neutral magistrate)
(Warrants, provide, detached scrutiny)
(Warrants, provide, scrutiny)
(intrusion, is, justified)
(Fourth Amendment, is, designed)
(they, give life to, our instruction)
(they, give, life)
(Amendment, is, designed)
(warrant requirement, is subject to, exceptions)
(warrant requirement, is subject to, few established exceptions)
(warrant requirement, is subject to, only few exceptions)
(warrant requirement, is subject to, only exceptions)
(warrant requirement, is subject to, specifically established exceptions)
(warrant requirement, is subject to, established exceptions)
(warrant requirement, is, subject)
(warrant requirement, is subject to, only few established exceptions)
(warrant requirement, is subject to, few specifically established exceptions)
(warrant requirement, is subject to, only established exceptions)
(warrant requirement, is subject to, only specifically established exceptions)
(warrant requirement, is subject to, few exceptions)
(warrant requirement, is subject to, only few specifically established exceptions)
(Court, assess on, one hand)
(it, intrudes upon, individual 's privacy)
(individual, upon, privacy)
(Court, assess, determine)
(Court, traditionally assess on, one hand)
(Court, traditionally assess, determine)
(type, is in, question)
(Fourth Amendment, to, warrant requirement)
(City, of Camara is, 387 U. S. 523 533)
(Court, has, general approach to exceptions to warrant requirement)
(Court, has recognized, two kinds)
(warrantless search, is in, instance)
(Court, Applying principles in, past cases)
(Court, Applying, principles)
(needs, exigencies of, particular case)
(needs, exigencies of, case)
(warrantless search, is reasonable in, instance)
(search, is objectively reasonable in, instance)
(search, is reasonable in, instance)
(exigencies, make, needs of law enforcement)
(warrantless search, is, objectively reasonable)
(search, is, reasonable)
(Court, allows, searches)
(warrantless search, is objectively reasonable in, instance)
(exigencies, make, needs)
(warrantless search, is, reasonable)
(Court, allows, warrantless searches)
(search, is, objectively reasonable)
(need, becomes, only have considered in light of totality)
(need, becomes, have considered in light of totality)
(need, becomes, only have considered in light of totality of circumstances)
(need, becomes, only have considered in light)
(need, becomes, have considered in light of totality of circumstances)
(need, becomes, clear)
(need, becomes, have considered in light)
(need, becomes, have considered)
(need, becomes, only have considered)
(emer-gency assistance, engage in, hot pursuit)
(emer-gency assistance, engage in, pursuit of suspect)
(emer-gency assistance, engage in, pursuit)
(emer-gency assistance, engage in, hot pursuit of fleeing suspect)
