(January 14 2015, Decided at_time, June 1 2015)
(majority, has, 12 references to sock)
(controlled substance, to relat is, e)
(Black, has, Law Dictionary 1158)
(it, also relates to, things)
(thing, can relate, it relates to things)
(one thing, can relate In, parlance)
(it, even relates to, things)
(one thing, can relate, even it relates to things)
(one thing, can relate, it also relates)
(thing, can relate to, another)
(thing, can relate, it also relates)
(one thing, can relate, even it also relates)
(one thing, can relate, it relates to other things)
(thing, can relate, even it relates to things)
(one thing, can relate In, ordinary parlance)
(one thing, can relate, even it relates)
(one thing, can relate, it also relates to other things)
(thing, can relate, it relates)
(thing, can relate, even it relates)
(one thing, can relate, it relates)
(thing, can relate, it also relates to things)
(it, relates to, things)
(it, even relates to, other things)
(thing, can relate, even it also relates)
(thing, can relate, it also relates to other things)
(thing, can relate In, ordinary parlance)
(one thing, can relate to, another)
(one thing, can relate, even it also relates to other things)
(thing, can relate, even it also relates to other things)
(one thing, can relate, it also relates to things)
(it, also relates to, other things)
(one thing, can relate, even it relates to other things)
(one thing, can relate, even it also relates to things)
(it, even also relates to, other things)
(thing, can relate, it relates to other things)
(it, relates to, other things)
(thing, can relate, even it also relates to things)
(thing, can relate In, parlance)
(thing, can relate, even it relates to other things)
(one thing, can relate, it relates to things)
(it, even also relates to, things)
(state law, regulating, various controlled substances)
(state law, regulating, substances)
(state law, regulating, controlled substances)
(state law, may relat to, substance)
(state law, regulating, various substances)
(state law, may relat to, controlled substance)
(structure, confirms, interpretation)
(Court, has, efforts interpret)
(language, is in, pre-emption provision of Employee Retirement Income Security Act of 1974)
(we, honor, Congress ' choice)
(we, interpreting, such phrases)
(we, interpreting, phrases)
(we, must, must careful)
(statute, be interpreted broadly in, light)
(Environmental Protection Agency 's authority, is in, light of notably capacious terms contained)
(statute, be interpreted in, light)
(statute, be, interpreted broadly)
(statute, be, interpreted)
(___, at Maracich is, supra)
(Environmental Protection Agency, has, authority in light of notably capacious terms contained in authorizing statute)
(Congress, understood phrase to, sweep)
(Congress, understood phrase quite broadly to, sweep)
(Congress, understood quite broadly, phrase)
(Congress, understood, phrase)
(Congress, understood phrase broadly to, sweep)
(Congress, understood broadly, phrase)
(Congress, wanted, define)
(it, did, omitting)
(Congress, wanted, define with specificity)
(Congress, define with, greater specificity)
(Congress, wanted, define with greater specificity)
(Congress, define with, specificity)
(it, did so, omitting)
(language, requires, that)
(language, explicitly requires, that)
(provisions, adopt, requirements)
(provisions, adopt, similar requirements)
(Other provisions, adopt, requirements)
(Other provisions, adopt, similar requirements)
(specified family relationship, is with, victim)
(Congress, required, law relate)
(law, only relate, opposed)
(law, relate to, substance)
(law, relate to, controlled substance)
(Congress, required, only law relate)
(Congress, required in, provision)
(law, only relate to, controlled substance)
(law, relate, opposed)
(law, only relate to, substance)
(it, understood, relating)
(Congress, required, only law relate to substance)
(Congress, required, law relate to substance)
(conviction, Applying, interpretation of relating)
(conviction, qualifies under, B)
(conviction, Applying, interpretation of relating to)
(conviction, qualifies as, predicate offense)
(state statute, prohibits, use)
(state statute, prohibits possession to, store)
(state statute, prohibits use to, store)
(state statute, prohibits, possession of drug paraphernalia)
(state statute, prohibits, possession)
(controlled substance, is substance, appears)
(controlled substance, used in, statute)
(Kansas, ' schedules is, § 21-5701)
(controlled substance, is substance, appears on Kansas ' schedules)
(substance, used in, statute)
(substance, is substance, appears on Kansas ' schedules)
(substance, is substance, appears)
(Mellouli, of, arrest)
(controlled substance, to relat is, es)
(he, was removed under, 8 U. S. C. § 1227)
(Mellouli, violating, state law relating to controlled substance)
(he, was, removed)
(Mellouli, violating, state law relating to substance)
(Mellouli, was convicted, properly removed)
(Mellouli, was convicted, properly removed under 8 U. S. C. § 1227)
(Mellouli, was, convicted)
(he, was, properly removed)
(Mellouli, violating, state law relating)
(he, was properly removed under, 8 U. S. C. § 1227)
(Mellouli, was convicted, removed under 8 U. S. C. § 1227)
(Mellouli, violating, state law)
(Mellouli, was convicted, removed)
(majority, rejects, interpretation)
(majority, rejects, straightforward interpretation)
(removal statute, does reach, convictions)
(removal statute, does reach, such convictions)
(removal statute, does reach convictions in, fact)
(answer, is, circular)
(indeterminate terms, relating, which is)
(we, understand, terms relating)
(terms, relating, which is)
(I, surrounding, provisions)
(I, surrounding, provisions of removal statute)
(we, understand, indeterminate terms relating)
(we, look to, context)
(it, omitting, expansive phrase relating)
(it, omitting, phrase relating)
(Congress, wanted, define)
(it, omitting, expansive phrase)
(it, omitting, phrase relating to)
(Congress, wanted, define with specificity)
(Congress, define with, greater specificity)
(Congress, wanted, define with greater specificity)
(it, omitting, expansive phrase relating to)
(it, omitting, phrase)
(Congress, define with, specificity)
(majority, looks to, context of provisions)
(majority, looks to, context of other provisions referring to substances)
(majority, looks to, context of other provisions referring to controlled substances)
(majority, looks to, context of other provisions referring)
(majority, looks to, context of provisions referring to substances)
(13, at parenthetical is, ante)
(majority, looks For, its part)
(majority, looks to, context of provisions referring to controlled substances)
(majority, looks to, context of provisions referring)
(majority, looks to, context)
(majority, looks to, context of other provisions)
(law, relationship to, federally controlled substances)
(definition, does play, role)
(definition, does play role in, my interpretation)
(law, relationship to, controlled substances)
(law, relationship to, substances)
(law, bear, relationship to controlled substances)
(law, bear, relationship to federally controlled substances)
(law, bear, relationship to substances)
(definition, does play role, requiring)
(law, bear, relationship)
(definition, imposes, limit)
(definition, imposes, meaningful limit)
(statute, relates, its definition of offense necessarily includes as element)
(statute, relates, its definition of offense of conviction necessarily includes as element of offense)
(statute, relates, its definition of offense includes as element)
(statute, relates, its definition of offense of conviction necessarily includes)
(its definition, necessarily includes as, element of offense)
(statute, relates, its definition of offense necessarily includes)
(statute, relates to, controlled substance)
(its definition, includes as, element)
(statute, relates, its definition of offense of conviction includes as element)
(majority, appears, conclude)
(statute, relates, its definition of offense necessarily includes as element of offense)
(statute, relates, its definition necessarily includes)
(its definition, necessarily includes as, element)
(statute, relates, its definition of offense includes as element of offense)
(statute, relates, its definition of offense of conviction includes)
(its definition, includes as, element of offense)
(statute, relates, its definition includes)
(statute, relates, its definition of offense of conviction necessarily includes as element)
(statute, relates to, federally controlled substance)
(statute, relates, its definition includes as element)
(statute, relates, its definition necessarily includes as element)
(statute, relates, its definition of offense of conviction includes as element of offense)
(statute, relates to, substance)
(statute, relates, its definition includes as element of offense)
(statute, relates, its definition of offense includes)
(statute, relates, its definition necessarily includes as element of offense)
(it, expressly keyed into, one keyed to features of offense)
(it, expressly keyed into, one keyed to features of underlying generic offense)
(removal provision, expressly keyed into, one keyed to features)
(removal provision, expressly keyed to, features)
(removal provision, keyed into, one keyed to features of underlying offense)
(first problem, is with, majority 's interpretation)
(removal provision, keyed to, features of statute)
(it, expressly keyed to, features of statute)
(it, keyed into, one keyed to features of offense)
(removal provision, expressly keyed into, one keyed to features of offense)
(it, keyed into, one keyed)
(removal provision, expressly keyed into, one keyed to features of generic offense)
(it, keyed to, features of statute)
(removal provision, expressly keyed into, one keyed to features of underlying offense)
(it, converts, removal provision)
(majority, with, interpretation)
(removal provision, expressly keyed to, features of statute)
(it, keyed to, features of statute itself)
(removal provision, keyed into, one keyed)
(removal provision, keyed into, one keyed to features of generic offense)
(it, expressly keyed into, one keyed)
(removal provision, keyed to, features)
(it, keyed into, one keyed to features of generic offense)
(it, keyed to, features)
(it, keyed into, one keyed to features of underlying offense)
(removal provision, expressly keyed into, one keyed)
(it, expressly keyed into, one keyed to features)
(removal provision, keyed into, one keyed to features of offense)
(removal provision, keyed into, one keyed to features)
(it, expressly keyed to, features)
(removal provision, keyed into, one keyed to features of underlying generic offense)
(removal provision, keyed to, features of statute itself)
(it, keyed into, one keyed to features)
(it, expressly keyed into, one keyed to features of underlying offense)
(it, expressly keyed into, one keyed to features of generic offense)
(removal provision, expressly keyed into, one keyed to features of underlying generic offense)
(removal provision, expressly keyed to, features of statute itself)
(it, keyed into, one keyed to features of underlying generic offense)
(it, expressly keyed to, features of statute itself)
(removal, was predicated on, offense)
(removal, was, In case predicated on generic offense of illicit trafficking in substance)
(removal, was predicated on, generic offense of illicit trafficking in substance)
(removal, was, In case predicated on generic offense of trafficking)
(removal, was predicated on, offense of trafficking)
(removal, was predicated on, generic offense)
(removal, was, In case predicated on generic offense of trafficking in substance)
(removal, was, In case predicated on offense)
(removal, was predicated on, offense of illicit trafficking)
(removal, was, In case predicated on generic offense)
(removal, was predicated on, generic offense of illicit trafficking in controlled substance)
(removal, was predicated on, offense of trafficking in substance)
(removal, was, In case predicated on offense of illicit trafficking)
(removal, was, In case predicated on offense of trafficking)
(removal, was predicated on, offense of illicit trafficking in controlled substance)
(illicit trafficking, is in, controlled substance)
(removal, was predicated on, generic offense of trafficking in substance)
(removal, was predicated on, offense of trafficking in controlled substance)
(removal, was, In case predicated on offense of trafficking in substance)
(removal, was predicated on, generic offense of illicit trafficking)
(removal, was predicated on, generic offense of trafficking in controlled substance)
(removal, was predicated on, generic offense of trafficking)
(removal, was, In case predicated on offense of illicit trafficking in substance)
(removal, was, In case predicated on generic offense of trafficking in controlled substance)
(removal, was, In case predicated on generic offense of illicit trafficking)
(removal, was predicated on, offense of illicit trafficking in substance)
(removal, was, In case predicated on offense of trafficking in controlled substance)
(removal, was predicated In, case)
(removal, was, In case predicated on generic offense of illicit trafficking in controlled substance)
(removal, was, In case predicated on offense of illicit trafficking in controlled substance)
(removal, was, predicated)
(it, have as, elements)
(it, was necessary for, state offense at issue)
(it, satisfy, federal criteria)
(it, satisfy, criteria)
(it, was necessary for, state offense)
(it, was, necessary)
(it, Thus was necessary for, state offense)
(it, was, Thus necessary)
(it, Thus was necessary for, state offense at issue)
(it, does for, law)
(it, does for, underlying offense)
(it, does for, so law of conviction itself)
(it, establishes, relevant criteria)
(law, relat to, controlled substance)
(it, Instead establishes, relevant criteria)
(it, does for, so law of conviction)
(it, establishes, criteria)
(it, does for, underlying generic offense)
(it, Instead establishes, criteria)
(law, relat to, substance)
(it, Instead establishes explicitly, criteria)
(it, does for, so law)
(law, relat to, federally controlled substance)
(it, does for, law of conviction itself)
(it, does for, offense)
(it, Instead establishes explicitly, relevant criteria)
(it, establishes explicitly, relevant criteria)
(it, does for, law of conviction)
(it, establishes explicitly, criteria)
(it, does for, generic offense)
(involve-ment, be, read)
(involve-ment, read, relating)
(involve-ment, be as, one element)
(statute, would attach immigration consequences Under, reading)
(statute, would attach immigration consequences to, violation)
(statute, would attach, immigration consequences)
(majority, rejects as, grammatically incorrect Mellouli 's argument)
(majority, Yet rejects as, incorrect Mellouli 's argument)
(majority, Yet rejects as, Mellouli 's argument)
(relating, modifies, violation)
(majority, Yet rejects as, grammatically incorrect Mellouli 's argument)
(majority, rejects as, Mellouli 's argument)
(majority, rejects as, incorrect Mellouli 's argument)
(words, relating, mean)
(majority, can reconcile, its outcome)
(regulating, were permissible interpretation of, relating)
(Congress ' pointed word choice, is in, surrounding provisions)
(regulating, were interpretation of, relating)
(it, is more understandable given, upshot)
(it, is more understandable given, upshot)
(it, is, given logical upshot even more understandable)
(majority, of, interpretation)
(it, offering, exegesis)
(it, offering, explicit exegesis)
(it, is even more understandable given, logical upshot of majority 's interpretation)
(it, is even more understandable given, logical upshot of majority 's interpretation)
(it, is, given logical upshot understandable)
(it, is, given upshot more understandable)
(it, is understandable given, upshot of majority 's interpretation)
(it, is understandable given, upshot of majority 's interpretation)
(it, is more understandable given, upshot of majority 's interpretation)
(it, is more understandable given, upshot of majority 's interpretation)
(it, is, given upshot of majority 's interpretation more understandable)
(it, is, given logical upshot more understandable)
(it, is more understandable given, logical upshot of majority 's interpretation)
(it, is more understandable given, logical upshot of majority 's interpretation)
(it, is, given logical upshot of majority 's interpretation understandable)
(it, is more understandable given, logical upshot)
(it, is more understandable given, logical upshot)
(it, is, given upshot understandable)
(it, is, given logical upshot of majority 's interpretation more understandable)
(it, is even more understandable given, upshot of majority 's interpretation)
(it, is even more understandable given, upshot of majority 's interpretation)
(it, is understandable given, logical upshot)
(it, is understandable given, logical upshot)
(it, is, understandable)
(it, is, understandable)
(it, is, given upshot even more understandable)
(it, is, given upshot of majority 's interpretation even more understandable)
(it, is understandable given, logical upshot of majority 's interpretation)
(it, is understandable given, logical upshot of majority 's interpretation)
(it, is, more understandable)
(it, is, more understandable)
(it, is, even more understandable)
(it, is, even more understandable)
(it, is, given logical upshot of majority 's interpretation even more understandable)
(it, is even more understandable given, upshot)
(it, is even more understandable given, upshot)
(it, is, given upshot of majority 's interpretation understandable)
(it, is understandable given, upshot)
(it, is understandable given, upshot)
(it, is even more understandable given, logical upshot)
(it, is even more understandable given, logical upshot)
(Court, ultimately adopts, approach for statutes)
(State, subjecting, drug)
(State, subjecting drug to, regulation)
(State, subjecting, discovered drug)
(Court, ultimately adopts, modified categorical approach)
(Court, adopts, categorical approach for statutes)
(Court, ultimately adopts, modified approach for statutes)
(Federal Government, trigger, removal .2)
(Court, approach for, statutes)
(Court, adopts, approach for statutes)
(Court, adopts, modified approach for statutes)
(Court, modified categorical approach for, statutes)
(Court, ultimately adopts, categorical approach)
(Court, categorical approach for, statutes)
(Court, adopts, modified categorical approach)
(State, subjecting, newly discovered drug)
(Court, adopts, categorical approach)
(Court, ultimately adopts, modified categorical approach for statutes)
(Federal Government, trigger Thus, removal .2)
(alien convicted, would, would immunized)
(offenses, is with, reference to controlled substances)
(Court, ultimately adopts, categorical approach for statutes)
(Court, adopts, modified approach)
(Court, adopts, modified categorical approach for statutes)
(Court, ultimately adopts, approach)
(Court, ultimately adopts, modified approach)
(Court, adopts, approach)
(Court, modified approach for, statutes)
(BIA 's atextual approach, makes, sense)
(BIA 's approach, makes, sense)
(Board ' decision, is in, Matter of Paulus)
(majority, concludes, its discussion of history)
(BIA, has, atextual approach to statute)
(majority, concludes, its discussion)
(Board, ', decision in Matter of Paulus)
(majority, relies on, historical background)
(majority, relies on, background)
(majority, relies on, ante)
(BIA 's approach, makes, scant sense)
(Board, ' decision is, BIA)
(BIA 's atextual approach, makes, scant sense)
(Matter, in decision is, BIA)
(BIA, has, approach to § 1227)
(conviction, can, can basis for deportation)
(conviction, can, can basis)
(analysis, is in, Moncrieffe)
(controlled substance, to law is, generic offense defined by law)
(itself, law, relat)
(controlled substance, to law is, relat)
(itself, law, generic offense defined by law)
(text, resolves, case)
(statutory text, resolves, case)
(alien, be, deported)
(Nothing, is, outlandish)
(Nothing, is, however so outlandish)
(Nothing, call, application)
(Nothing, call application into, doubt)
(Nothing, is, however outlandish)
(Nothing, is, so outlandish)
(alien, may, may removed)
(I, see, nothing)
(he, violating, law)
(he, is, only convicted)
(I, see, nothing absurd)
(he, is, convicted)
(educated professional, engaged to, citizen)
(educated professional, engaged to, American citizen)
(I, fail, understand)
(professional, engaged to, citizen)
(professional, engaged to, American citizen)
(it, chooses, do)
(it, chooses, do so)
(Congress, exercising, its limited powers)
(majority, perhaps just disapproves of, fact)
(majority, just disapproves of, fact)
(Kansas, criminalize, conduct)
(majority, perhaps disapproves of, fact)
(Kansas, exercising, its police powers)
(majority, disapproves of, fact)
(Congress, exercising, its powers)
(Mellouli, of, conviction)
(categorical approach, is in, Nijhawan)
(We, departed, 2009)
(atypical cast, based on S. is, 2009)
(We, departed, 557 U. S. 29)
(provision, defines as, felony)
(provision, defines as, aggravated felony)
(fraud, is with, relevant monetary threshold)
(M, would apply in, only manner)
(M, would apply in, only limited manner)
(M, would apply in, extraordinarily limited manner)
(M, would apply in, manner)
(M, would apply in, only extraordinarily limited manner)
(M, would apply in, limited manner)
(offender, has, commission of defined crime)
(Congress, intended, monetary thresholds in subparagraphs)
(Congress, intended, M apply to circumstances)
(Congress, intended, M apply)
(Congress, intended, thresholds in subparagraphs)
(Congress, intended, M apply to specific circumstances)
(thresholds, is in, subparagraphs)
(Congress, intended, thresholds)
(Congress, intended, monetary thresholds)
(B, provision at, issue here)
(approach, applies to, each described)
(approach, applies to, each)
(approach, applies to, each described separately)
(noncitizen, was, convicted of)
(noncitizen, examining, jury instructions)
(court, may determine In, such cases)
(noncitizen, examining, case)
(noncitizen, examining, case of guilty plea)
(noncitizen, examining, case of plea)
(noncitizen, examining, charging document)
(noncitizen, was, convicted)
(noncitizen, examining, document)
(court, may determine In, cases)
(Mellouli, has, plea)
(Mellouli 's plea, may, may example)
(Mellouli, admitting, paraphernalia possession)
(Mellouli, avoided identification in, record of conviction)
(Mellouli, avoided identification of, Adderall)
(Mellouli, admitting, only paraphernalia possession)
(Mellouli, avoided, identification)
(Mellouli, avoided identification in, record)
(1956, of Act is, 70 Stat)
(Pennsylvania conviction, be drug within, meaning)
(federal removal statute, Matter of, Sum)
(conviction, be, narcotic)
(Pennsylvania conviction, Matter of, Fong)
(Pennsylvania conviction, be, drug)
(Pennsylvania conviction, be, narcotic drug)
(drug, enumerated in, Pennsylvania law)
(Pennsylvania conviction, be narcotic drug within, meaning)
(Ferreira, assumed, applicability of framework)
(Ferreira, assumed, applicability)
(Ferreira, applicability of, framework)
(case, calls, us decide)
(it, following, text)
(it, following, statutory text)
(it, simply following, statutory text)
(it, simply following, text)
(dissent, shrinks to, vanishing point)
(It, is, evident)
(It, is, evident however)
(dissent, shrinks to, point)
(B, stopped with, words)
(dissent, would make sense, § 1227 stopped with words relating)
(§ 1227, stopped with, words relating to substance)
(dissent, would make sense, § 1227 B stopped with words)
(dissent, would make, sense)
(§ 1227, stopped with, words relating to controlled substance)
(dissent, would make sense, B stopped with words)
(dissent, would make sense, § 1227 B stopped with words relating)
(§ 1227, stopped with, words)
(dissent, would make sense, § 1227 stopped with words relating to substance)
(dissent, would make sense, § 1227 B stopped with words relating to substance)
(dissent, would make sense, § 1227 stopped with words)
(dissent, would make sense, B stopped with words relating)
(dissent, would make sense, § 1227 B stopped)
(B, stopped with, words relating)
(dissent, would make sense, § 1227 stopped)
(B, stopped with, words relating to substance)
(B, stopped with, words relating to controlled substance)
(dissent, would make sense, § 1227 stopped with words relating to controlled substance)
(dissent, would make sense, B stopped)
(§ 1227, stopped with, words relating)
(dissent, would make sense, B stopped with words relating to substance)
(dissent, would make sense, § 1227 B stopped with words relating to controlled substance)
(dissent, would make sense, B stopped with words relating to controlled substance)
(It, qualified, relating to controlled substance)
(It, qualified, relating to substance)
(It, relating to, controlled substance)
(It, relating to, substance)
(It, qualified, relating)
(Congress, put there, them)
(Congress, put, them)
(drug trade, is in, general)
(dissent, observes, that)
(words, have, expansive meaning)
(dissent, infers From, statutory context)
(words, have, meaning)
(dissent, infers From, context)
(he, resisting, failure)
(he, was, was booked into jail for his arrest driving under influence)
(he, being, initially charged with trafficking contraband in jail)
(he, initially being charged with, trafficking contraband)
(he, initially being charged in, jail)
(he, was, was booked for his arrest driving)
(Mellouli, being, booked)
(he, has, has since charged)
(pills, were substances in, fact)
(pills, were federally controlled substances in, fact)
(he, was, was booked into jail)
(pills, were controlled substances in, fact)
(he, was, was booked)
(Mellouli, concealed, them)
(he, was, was booked into jail for his arrest driving)
(It, is beside, point)
(he, being, charged with trafficking contraband in jail)
(he, was, was booked for his second arrest driving)
(It, is beside, likewise point)
(he, was, was booked for his second arrest driving under influence)
(pills, were, controlled substances)
(Mellouli, being booked into, jail)
(he, was, was booked into jail for his second arrest driving)
(he, has, has charged)
(controlled substances, is in, fact)
(pills, were, substances)
(he, being charged with, trafficking contraband)
(pills, were, federally controlled substances)
(valid driver, has, license)
(he, was, was booked for his arrest driving under influence)
(he, being, charged)
(he, being, initially charged)
(he, being charged in, jail)
(he, was, was booked into jail for his second arrest driving under influence)
(he, resisting, arrest)
(Court, adopts, categorical approach)
(it, runs into, new textual problems)
(it, runs into, problems)
(Court, adopts, modified approach)
(Court, ultimately adopts, modified categorical approach)
(Court, ultimately adopts, approach)
(it, runs into, textual problems)
(Court, ultimately adopts, modified approach)
(Court, ultimately adopts, categorical approach)
(Court, adopts, modified categorical approach)
(Court, adopts, approach)
(it, runs into, new problems)
(alien, would, Under approach would subject)
(alien, would, would subject)
(Kansas ' paraphernalia law, must qualify, permissible under removal statute)
(Kansas ' paraphernalia law, however must qualify, permissible)
(Kansas ' paraphernalia law, however must qualify as, law relating to controlled substance)
(Kansas ' paraphernalia law, however must qualify as, law relating to federally controlled substance)
(Kansas ' paraphernalia law, however must qualify as, law relating)
(Kansas ' paraphernalia law, must qualify as, law relating to substance)
(result, is permissible under, removal statute)
(Kansas ' paraphernalia law, must qualify as, law relating to controlled substance)
(Kansas ' paraphernalia law, however must qualify as, law)
(Kansas ' paraphernalia law, must qualify as, law)
(Kansas ' paraphernalia law, however must qualify, permissible under removal statute)
(result, is, permissible)
(Kansas ' paraphernalia law, must qualify as, law relating to federally controlled substance)
(Kansas ' paraphernalia law, must qualify as, law relating)
(Kansas ' paraphernalia law, however must qualify as, law relating to substance)
(Kansas ' paraphernalia law, must qualify, permissible)
