(October 11 2016, Decided at_time, March 6 2017)
(juror, can tell, counsel)
(statements, were egregious In, case)
(alleged statements, were egregious In, case)
(statements, were, egregious)
(alleged statements, were, egregious)
(juror H. C., racial stereotype, conclude)
(jurors, join, him)
(juror H. C., stereotype, conclude)
(juror H. C., did deploy, dangerous racial stereotype conclude)
(he, also encouraged, other jurors)
(he, encouraged, other jurors)
(juror H. C., did deploy, stereotype conclude)
(juror H. C., dangerous racial stereotype, conclude)
(he, also encouraged, jurors)
(juror H. C., dangerous stereotype, conclude)
(juror H. C., did deploy, dangerous stereotype conclude)
(he, encouraged, jurors)
(juror H. C., did deploy, racial stereotype conclude)
(other jurors, join, him)
(Petitioner, has, counsel)
(jurors, inform, court)
(anyone, harassed, them)
(trial court, encouraged, jurors)
(trial court, had set limits Pursuant to, Colorado 's mandatory jury instruction)
(trial court, had set limits Pursuant to, Colorado 's jury instruction)
(their role, is in, case)
(trial court, had set, limits on juror contact)
(trial court, had set, limits)
(Colorado, Pursuant to, mandatory jury instruction)
(limits, can, can found)
(Similar limits, can, can found)
(Cases, No., West 2016)
(Trial Juror, has, Handbook)
(Trial Juror, 's Handbook is, Dec. 2015)
(anyone, learn information from, you)
(anyone, learn, confidential information)
(anyone, learn, information)
(Jury, of Dismissal is, 2014)
(Model Jury Charges, Dismissal of, Jury)
(petitioner 's counsel, relay, their concerns about H. C. 's statements)
(jurors, approached, petitioner 's counsel)
(H. C., about, statements)
(petitioner 's counsel, relay, their concerns)
(petitioner, has, counsel)
(similar pattern, is common in, cases)
(pattern, is common in, cases)
(similar pattern, is, common)
(pattern, is, common)
(1231, at Benally is, 546 F. 3d)
(78, at Villar is, 586 F. 3d)
(petitioner 's counsel, received, permission)
(petitioner 's counsel, sought Pursuant to, local court rules)
(petitioner 's counsel, sought Pursuant to, court rules)
(petitioner, has, counsel)
(two jurors, obtain, affidavits)
(petitioner 's counsel, received permission from, court)
(two jurors, obtain, affidavits limited)
(Court 's holding today, removes, bar)
(Court 's holding, removes, bar)
(Colorado, 's Rule is, b)
(Colorado, has, Rule 606)
(jurors, disclose, instance)
(jurors, instance of, bias)
(jurors, disclose, instance of racial bias)
(jurors, disclose, instance of bias)
(jurors, instance of, racial bias)
(Court, relies, discussion makes)
(Court, relies on, experiences)
(discussion, makes, clear)
(Court, relies, preceding discussion makes)
(preceding discussion, makes, clear)
(experience, will inform exercise in, these)
(experience, will inform exercise in, these)
(experience, will inform, exercise of trial judge discretion)
(experience, will inform, exercise of trial judge discretion)
(experience, will inform, proper exercise of trial judge discretion)
(experience, will inform, proper exercise of trial judge discretion)
(experience, will inform, proper exercise)
(experience, will inform, proper exercise)
(experience, will inform, exercise)
(experience, will inform, exercise)
(noting, divergence of, authority)
(noting, divergence over, necessity)
(noting, divergence over, necessity of evidentiary hearing)
(noting, divergence over, necessity of hearing)
(noting, divergence over, necessity of hearing on juror misconduct)
(noting, divergence over, necessity of evidentiary hearing on juror misconduct)
(noting, divergence over, necessity of hearing on alleged juror misconduct)
(noting, divergence over, necessity of evidentiary hearing on alleged juror misconduct)
(Henley, with Shillcutt is, 827 F. 2d)
(1120, at Shillcutt is, 827 F. 2d)
(Shillcutt, is with, Henley)
(1159, at Shillcutt is, 827 F. 2d)
(racial bias, is in, jury deliberations)
(It, is, proper)
(advantages, have, have noted)
(advantages, have, have already noted)
(safeguards, deserve, mention)
(other safeguards, deserve, mention)
(courts, is in, again their final jury instructions)
(Trial courts, reach verdict in, fair way)
(Trial courts, reach verdict in, way)
(Trial courts, reach, verdict)
(instructions, are framed by, trial judges)
(instructions, are, framed)
(Model jury instructions, take, developments)
(Model jury instructions, likely take, continuing developments)
(Model jury instructions, take, continuing developments)
(Model jury instructions, take developments into, account)
(Model jury instructions, likely take developments into, account)
(Model jury instructions, likely take, developments)
(your decision, is in, way)
(you, feel toward, one side)
(Instructions, may emphasize, group dynamic)
(jurors, share conclusions with, their colleagues)
(Instructions, may emphasize, group dynamic of deliberations)
(Instructions, urging, jurors)
(jurors, share, conclusions)
(jurors, share, their questions)
(deliberation, improves, likelihood)
(Probing deliberation, improves, likelihood)
(exception, is, limited)
(exception, is limited to, cases)
(exception, is limited to, rare cases)
(Nation, make, strides)
(racial prejudice, be, confronted in cases despite general bar)
(blatant racial prejudice, be, confronted in egregious cases despite general bar)
(blatant racial prejudice, is antithetical to, functioning)
(prejudice, be, confronted in cases like one despite general bar)
(prejudice, be, confronted in egregious cases despite general bar of no-impeachment rule)
(blatant racial prejudice, be, confronted in egregious cases like one despite bar of no-impeachment rule)
(blatant prejudice, be confronted in, cases)
(racial prejudice, be, confronted in cases despite general bar of no-impeachment rule)
(blatant prejudice, be confronted despite, general bar of no-impeachment rule)
(blatant racial prejudice, is, antithetical)
(blatant prejudice, be, confronted in cases like one despite general bar)
(blatant prejudice, be confronted in, egregious cases like one)
(racial prejudice, be confronted in, cases)
(prejudice, be, confronted in cases despite general bar of no-impeachment rule)
(blatant racial prejudice, be, confronted in egregious cases despite general bar of no-impeachment rule)
(blatant racial prejudice, be, confronted in cases despite general bar)
(blatant prejudice, be, confronted in egregious cases like one despite general bar)
(prejudice, be, confronted in cases despite general bar)
(blatant prejudice, is antithetical to, functioning of jury system)
(prejudice, be, confronted in cases like one despite general bar of no-impeachment rule)
(blatant prejudice, be, confronted in cases despite general bar of no-impeachment rule)
(racial prejudice, be confronted in, cases like one)
(prejudice, be confronted in, cases like one)
(blatant racial prejudice, be, confronted in cases like one despite bar of no-impeachment rule)
(blatant racial prejudice, be, confronted in egregious cases like one despite general bar)
(blatant prejudice, be confronted despite, general bar)
(racial prejudice, is, antithetical)
(racial prejudice, be, confronted in cases despite bar of no-impeachment rule)
(racial prejudice, be, confronted)
(blatant racial prejudice, be, confronted in egregious cases like one despite bar)
(racial prejudice, be, confronted in egregious cases like one despite general bar of no-impeachment rule)
(blatant prejudice, be, confronted in egregious cases like one despite general bar of no-impeachment rule)
(blatant racial prejudice, be, confronted in egregious cases like one despite general bar of no-impeachment rule)
(blatant prejudice, be, confronted in egregious cases like one despite bar)
(prejudice, be confronted despite, bar)
(blatant prejudice, be, confronted in egregious cases despite bar of no-impeachment rule)
(blatant racial prejudice, be confronted despite, bar of no-impeachment rule)
(Court, has, insistence)
(prejudice, be, confronted in egregious cases despite general bar)
(blatant racial prejudice, be, confronted in cases despite general bar of no-impeachment rule)
(blatant prejudice, be confronted in, egregious cases)
(blatant prejudice, be, confronted in cases like one despite general bar of no-impeachment rule)
(prejudice, be confronted in, egregious cases like one)
(blatant racial prejudice, be, confronted in egregious cases despite bar of no-impeachment rule)
(racial prejudice, be, confronted in egregious cases despite general bar)
(racial prejudice, be confronted despite, bar of no-impeachment rule)
(blatant prejudice, be, confronted)
(racial prejudice, be confronted despite, bar)
(racial prejudice, is antithetical to, functioning of jury system)
(blatant prejudice, be, confronted in egregious cases like one despite bar of no-impeachment rule)
(blatant racial prejudice, be, confronted in cases like one despite general bar)
(blatant racial prejudice, be, confronted in egregious cases despite bar)
(racial prejudice, is antithetical to, functioning)
(racial prejudice, be, confronted in cases despite bar)
(racial prejudice, be, confronted in egregious cases despite general bar of no-impeachment rule)
(racial prejudice, be confronted despite, general bar of no-impeachment rule)
(blatant prejudice, be, confronted in egregious cases despite general bar of no-impeachment rule)
(prejudice, be, confronted in egregious cases like one despite general bar of no-impeachment rule)
(blatant racial prejudice, be, confronted in cases despite bar of no-impeachment rule)
(blatant prejudice, is antithetical to, functioning)
(blatant racial prejudice, be confronted despite, bar)
(blatant prejudice, be confronted despite, bar)
(prejudice, be, confronted in egregious cases like one despite bar of no-impeachment rule)
(blatant prejudice, be, confronted in egregious cases despite bar)
(blatant racial prejudice, be confronted despite, general bar of no-impeachment rule)
(prejudice, is antithetical to, functioning)
(prejudice, be, confronted in cases like one despite bar)
(prejudice, is antithetical to, functioning of jury system)
(blatant prejudice, be, confronted in cases despite bar)
(racial prejudice, be confronted in, egregious cases like one)
(blatant prejudice, be, confronted in egregious cases despite general bar)
(racial prejudice, be, confronted in egregious cases like one despite general bar)
(blatant prejudice, be confronted despite, bar of no-impeachment rule)
(racial prejudice, be, confronted in egregious cases despite bar of no-impeachment rule)
(blatant racial prejudice, be confronted in, egregious cases like one)
(blatant prejudice, be, confronted in cases despite general bar)
(prejudice, is, antithetical)
(prejudice, be, confronted in egregious cases like one despite bar)
(blatant racial prejudice, be, confronted in cases like one despite bar)
(prejudice, be, confronted in egregious cases despite bar of no-impeachment rule)
(blatant racial prejudice, be confronted despite, general bar)
(blatant prejudice, be confronted in, cases like one)
(blatant prejudice, be, confronted in cases like one despite bar)
(blatant racial prejudice, be confronted in, egregious cases)
(racial prejudice, be, confronted in cases like one despite bar of no-impeachment rule)
(racial prejudice, be confronted despite, general bar)
(racial prejudice, be, confronted in cases like one despite general bar of no-impeachment rule)
(prejudice, be, confronted in cases despite bar of no-impeachment rule)
(prejudice, be confronted despite, general bar)
(blatant prejudice, is, antithetical)
(blatant racial prejudice, be confronted in, cases)
(blatant racial prejudice, be, confronted in cases like one despite general bar of no-impeachment rule)
(blatant racial prejudice, is antithetical to, functioning of jury system)
(racial prejudice, be, confronted in cases like one despite bar)
(racial prejudice, be, confronted in egregious cases like one despite bar of no-impeachment rule)
(prejudice, be, confronted in cases like one despite bar of no-impeachment rule)
(prejudice, be confronted in, cases)
(blatant racial prejudice, be, confronted in cases despite bar)
(blatant racial prejudice, be, confronted)
(prejudice, be confronted in, egregious cases)
(racial prejudice, be, confronted in egregious cases despite bar)
(prejudice, be confronted despite, bar of no-impeachment rule)
(racial prejudice, be, confronted in cases like one despite general bar)
(prejudice, be, confronted)
(prejudice, be confronted despite, general bar of no-impeachment rule)
(prejudice, be, confronted in cases despite bar)
(prejudice, be, confronted in egregious cases like one despite general bar)
(racial prejudice, be, confronted in egregious cases like one despite bar)
(racial prejudice, be confronted in, egregious cases)
(prejudice, be, confronted in egregious cases despite bar)
(blatant racial prejudice, be confronted in, cases like one)
(blatant prejudice, be, confronted in cases like one despite bar of no-impeachment rule)
(blatant prejudice, be, confronted in cases despite bar of no-impeachment rule)
(It, is, mark)
(it, seeks, understand)
(society, achieving, dialogue)
(society, achieving, thoughtful rational dialogue)
(Court, strengthen, broader principle)
(society, achieving, thoughtful dialogue)
(society, achieving dialogue at, foundation)
(society, achieving, rational dialogue)
(Court, strengthen, principle)
(society, achieving dialogue at, foundation of jury system)
(case, is, remanded)
(judgment, is, reversed)
(It, is, ordered)
(It, is, so ordered)
(Codified Exceptions, is in, Addition)
(claim juror, was, unqualified)
(rebutting claim juror, was, unqualified)
(juror communication, is with, nonjuror)
(United States, v. Kittle is, Powell)
(65 A., 3d, n. 4)
(65 A., 3d, Fisher v. State 919-921)
(65 A., 3d, Fisher 919-921)
(65 A., 3d, 690 A. 2d 917)
(65 A., Appendix to, opinion)
(A., 3d, n. 4)
(A., 3d, Fisher 919-921)
(A., Appendix to, opinion)
(65 A., 3d, Del. 1996)
(A., 3d, D. C. 2013)
(A., 3d, Fisher v. State 919-921)
(A., 3d, Del. 1996)
(A., 3d, 690 A. 2d 917)
(65 A., 3d, D. C. 2013)
(Kittle, Powell v., Allstate Ins)
(N. Y. S., 2d, 679-680 1986)
(506 N. Y. S., 2d, 679-680 1986)
(MIGUEL ANGEL PENA-RODRIGUEZ, PETITIONER v., COLORADO)
(jury 's guilty verdict, is with, juror testimony)
(States, provide, defendant)
(jury, has, guilty verdict with juror testimony)
(Court, holds at_time, today)
(Sixth Amendment, requires, States)
(States, provide, criminal defendant)
(juror, about, alleged racial bias)
(Court, has, decision)
(I, agree with, Justice Alito)
(Court 's decision, is incompatible with, text)
(Court 's decision, is, incompatible)
(Court, has, holding)
(Amendment, was, ratified)
(Sixth Amendment, has, protection of right)
(Amendment, was, when ratified)
(Blackstone, has, Commentaries 349)
(3 J. Story, Commentaries on, Constitution of United States)
(trial, is in, criminal cases)
(trial, protected by, Constitution)
(It, is, proper)
(Court, reaches at_time, today)
(It, look to, common law)
(It, look to, law)
(It, look, ascertain)
(It, is, therefore entirely proper)
(It, is, therefore proper)
(It, is, entirely proper)
(500, at Apprendi is, supra)
(Sixth Amendment 's specific guarantee, incorporates, common-law understanding)
(Sixth Amendment 's guarantee, incorporates, common-law understanding of term)
(Sixth Amendment 's specific guarantee, incorporates, common-law understanding of term)
(Sixth Amendment, has, specific guarantee of impartiality)
(Sixth Amendment 's guarantee, incorporates, common-law understanding)
(3 W. Blackstone, Commentaries on, Laws of England 365)
(juror, have, freedome)
(juror, have, freedome of mind)
(hee, stands, unsworne)
(common law, required, juror)
(law, required, juror)
(1 E. Coke, Part of, Institutes)
(3 M. Bacon, Abridgment of, Law 258)
(Law 258, of Abridgment is, 3d ed)
(States, of Power is, 1868)
(T. Cooley, Treatise on, Constitutional Limitations)
(personal bias, is in, favor)
(common-law, right to, jury trial)
(3, Blackstone, 388)
(Sixth Amendment, was, ratified)
(Lord Mansfield, refused, declaring)
(juror, has, affidavit impeach)
(Lord Mansfield, refused In, 1770)
(Lord Mansfield, solidified, doctrine)
(Lord Mansfield, solidified doctrine in, 1785)
(States, took, mixed approaches)
(States, took approaches At, time of founding)
(States, took, mixed approaches to issue)
(States, took, approaches)
(States, took, approaches to issue)
(States, took approaches At, time)
(Many States, followed, Lord Mansfield 's no-impeachment rule)
(Lord Mansfield, has, no-impeachment rule)
(States, followed, Lord Mansfield 's no-impeachment rule)
(curiam, per L. is, 1790)
(Brewster, L. per, curiam)
(1 Z. Swift, Digest of, Laws)
(States, however permitted, juror affidavits about juror misconduct)
(States, permitted, juror affidavits about juror misconduct)
(States, however permitted, juror affidavits)
(States, permitted, juror affidavits)
(others, initially permitted, evidence)
(others, initially permitted, such evidence)
(others, permitted, such evidence)
(others, permitted, evidence)
(others, quickly reversed, course)
(others, reversed, course)
(opinion, is with, Dana)
(Bradley, has, Lessee)
(curiam, per 488-489 is, N. Y. 1809)
(Bradley, 's Lessee is, 4 Dall)
(Talmadge, is with, State)
(Cluggage, with 112 is, Pa. 1792)
(156-158, at Cluggage is, supra)
(Lord Mansfield 's no-impeachment rule, had become, firmly entrenched)
(Lord Mansfield 's no-impeachment rule, entrenched in, law)
(Lord Mansfield, has, no-impeachment rule)
(Lord Mansfield 's no-impeachment rule, had become, firmly entrenched in law)
(Lord Mansfield 's no-impeachment rule, had become, firmly entrenched in American law)
(Lord Mansfield 's no-impeachment rule, firmly entrenched in, law)
(Lord Mansfield 's no-impeachment rule, had become, entrenched in law)
(Lord Mansfield 's no-impeachment rule, had become, entrenched in American law)
(Lord Mansfield 's no-impeachment rule, entrenched in, American law)
(Amendment, was, ratified)
(Fourteenth Amendment, was, ratified)
(Lord Mansfield 's no-impeachment rule, had become, entrenched)
(Lord Mansfield 's no-impeachment rule, firmly entrenched in, American law)
(Lettow, Trial for, Verdict)
(Common Law § 2352, rule 's, Lord Mansfield)
(J. Proffatt, Treatise by, Jury § 408)
(Judge-Jury Relations, is in, Early-Nineteenth Century America)
(It, is, established)
(8 J. Wigmore, Evidence in, Trials at Common Law § 2352)
(Lettow, Trial Against, Law)
(J. Proffatt, Treatise on, Trial)
(Evidence, is in, Trials at Common Law § 2352)
(majority, adopted no-impeachment rule as, matter of common law)
(vast majority, adopted no-impeachment rule as, matter of common law)
(majority, adopted, no-impeachment rule)
(majority, adopted no-impeachment rule as, matter of law)
(vast majority, adopted, no-impeachment rule)
(majority, adopted no-impeachment rule as, matter)
(vast majority, adopted no-impeachment rule as, matter)
(vast majority, adopted no-impeachment rule as, matter of law)
(cases, be, cited)
(cases, are, numerous)
(States, adopted, Mansfield rule)
(States, adopted Mansfield rule as, matter)
(Court, acknowledges at_time, today)
(States, adopted Mansfield rule as, matter of law)
(States, adopted Mansfield rule as, matter of common law)
(it, is, dispositive)
(it, suggests In, fact)
(it, strongly suggests In, fact)
(evidence, was, prohibited)
(such evidence, was, prohibited)
(Colorado, has, decision preserve)
(reasons, curtail, no-impeachment rule)
(good reasons, curtail, no-impeachment rule)
(It, should, should left to political process)
(It, should, should left to political process described by Justice Alito)
(It, should, should left to process)
(It, should, should left to process described)
(It, should, should left to process described by Justice Alito)
(It, should, should left)
(It, should, should left to political process described)
(Court, imposes, uniform)
(Court, ends process at_time, today)
(Court, ends, political process)
(Court, imposes, rule)
(Court, ends, process)
(Court, imposes, national rule)
(Neither, should, we)
(MIGUEL ANGEL PENA-RODRIGUEZ, PETITIONER v., COLORADO)
(Chief Justice, join, dissenting)
(Justice Thomas, join, dissenting)
(Statements, obtaining, advice)
(statements, made to, spouse of clergy)
(statements, are, examples)
(Statements, statements to, physician)
(statements, made to, spouse)
(Statements, made to, attorney)
(Statements, statements to, treating physician)
(statements, are, familiar examples)
(Statements, obtaining, legal advice)
(constitutional rights, are at, stake)
(rights, are at, stake)
(interference, is with, confidential communications of great value)
(case, concerns, rule like those)
(jury, has, verdict)
(statements, made by, jurors)
(case, concerns, rule)
(present case, concerns, rule)
(present case, concerns, rule like those)
(statements, made during, course)
(statements, made during, course of deliberations)
(system, allowing, testify)
(it, has, For centuries has judgment of judges)
(it, has, has judgment of experienced judges)
(it, has, has judgment)
(allowing, undermine, system)
(allowing, undermine, system of trial)
(system, allowing, jurors)
(it, has, For centuries has judgment)
(it, has, has judgment of judges)
(it, has, For centuries has judgment of experienced judges)
(Juries, occupy, unique place)
(Juries, occupy, place in our justice system)
(unique place, is in, our justice system)
(Juries, occupy, unique place in our justice system)
(Juries, occupy, place)
(participants, function in, arena governed by strict rules)
(other participants, function in, arena)
(other participants, function in, arena governed by strict rules)
(other participants, function in, arena governed by rules)
(participants, function in, arena governed by strict rules of law)
(participants, function in, arena governed by rules)
(other participants, function in, arena governed by rules of law)
(other participants, is in, trial)
(participants, function in, arena)
(participants, function in, arena governed)
(other participants function, is in, arena governed by strict rules of law)
(other participants, function in, arena governed by strict rules of law)
(participants, function in, arena governed by rules of law)
(other participants, function in, arena governed)
(Their word, be closely scrutinized for, missteps)
(Their word, be, scrutinized)
(Their word, is, recorded)
(Their word, be scrutinized for, missteps)
(Their word, be, closely scrutinized)
(jurors, retire, deliberate)
(Jurors, are, ordinary people)
(Jurors, are, people)
(people, do in, their lives)
(They, are expected, speak)
(decisions, way, ordinary people do)
(decisions, way, ordinary people do in their lives)
(They, are, expected)
(ordinary people, do in, their lives)
(people, do in, their daily lives)
(decisions, way, people do)
(decisions, way, ordinary people do in their daily lives)
(decisions, way, people do in their lives)
(ordinary people, do in, their daily lives)
(decisions, way, people do in their daily lives)
(Our Constitution places, value on, way)
(Our Constitution places, great value on, way)
(Our Constitution places, value on, way of thinking)
(Our Constitution places, great value on, way of thinking)
(jury trial right, protects parties, judged)
(jury trial right, being judged by, special class)
(jury trial right, protects parties, judged by class)
(jury trial right, protects, parties)
(jury trial right, protects parties, judged by special class)
(jury trial right, being, judged)
(jury trial right, being judged by, class)
(jury trial right, protects parties in, court cases)
(door, has, has locked)
(door, protect, right)
(confidentiality, has, has closely guarded)
(confidentiality, has, has guarded)
(respecting, privacy of, jury room)
(Constitution, respecting, privacy of jury room)
(Constitution, respecting, privacy)
(it, is doubtful, Court tries)
(grounds, preventing, expansion)
(today, of, holding)
(principled grounds, preventing, expansion of today 's holding)
(This, is, startling)
(principled grounds, preventing, expansion)
(Court, limit, degree)
(Court, limit, degree of intrusion)
(it, is, doubtful)
(grounds, preventing, expansion of today 's holding)
(issue, is in, particular case)
(Court, justifies, its decision on ground)
(Court, justifies, its decision)
(Court, is, surely correct)
(public, on, trust)
(Court, is, correct)
(Court, finds, convincing)
(Court, now finds, convincing)
(witness, has, motivation)
(his, attorney, spouse)
(witness, about, admissions)
(defendant, has, efforts obtain)
(rights, hang in, balance)
(constitutional rights, Even hang in, balance)
(rights, Even hang in, balance)
(constitutional rights, hang in, balance)
(result, is in, case)
(Rules, have, long history)
(Rules, have, history)
(they, pre-date, ratification)
(they, pre-date, ratification of Constitution)
(they, Indeed pre-date, ratification of Constitution)
(they, Indeed pre-date, ratification)
(They, are, typically traced)
(They, are, traced)
(They, are, traced back)
(They, are, typically traced back)
(They, are, typically traced back to Vaise)
(They, are, traced back to Vaise)
(Lord Mansfield, consider, affidavit)
(Lord Mansfield, declined, consider)
(20th century, is in, United States)
(Lord Mansfield 's approach, took ibid., root)
(Lord Mansfield 's approach, took, root)
(Lord Mansfield 's approach, soon took, root)
(Lord Mansfield 's approach, soon took ibid., root)
(Lord Mansfield, has, approach)
(United States, v. Tanner is, 117 1987)
(Court, adopted, no-impeachment rule in federal court)
(Court, adopted, strict no-impeachment rule for cases in court)
(Court, adopted, strict no-impeachment rule for cases)
(Court, adopted, no-impeachment rule for cases in federal court)
(Court, adopted, strict no-impeachment rule)
(strict no-impeachment rule, is in, federal court)
(Court, adopted, no-impeachment rule in court)
(Court, adopted, no-impeachment rule for cases in court)
(Court, adopted, no-impeachment rule for cases)
(Court, adopted, strict no-impeachment rule for cases in federal court)
(Court, adopted, strict no-impeachment rule in federal court)
(Court, adopted, no-impeachment rule)
(Court, adopted, strict no-impeachment rule in court)
(238 U. S. 264 1915, is In, McDonald)
(jury, entered, verdict)
(it, calculated, damages award)
(it, taking, average of jurors ' suggestions)
(jury, entered, quotient verdict)
(it, taking, average)
(party, impeach, verdict)
(losing party, testimony of, jurors)
(party, impeach, their verdict)
(losing party, impeach, verdict)
(party, testimony of, jurors)
(losing party, impeach, their verdict)
(jury, adopted, arbitrary method arriving at their verdict)
(jury, adopted, method arriving at their verdict)
(defendant, had, interest)
(defendant, had, powerful interest)
(defendant, had interest, demonstrating)
(jury, adopted, arbitrary method arriving)
(jury, adopted, method arriving)
(many, would, would followed by inquiry)
(it, be, established)
(many, would, would followed)
(inquiry, is in, hope discovering)
(it, be, once established)
(verdicts, be, attacked)
(verdicts, be attacked aside on, testimony)
(verdicts, be, attacked aside)
(verdicts, be attacked on, testimony)
(no-impeachment rule, may exclude, only possible evidence)
(no-impeachment rule, may exclude, only possible evidence of misconduct)
(no-impeachment rule, may exclude, possible evidence)
(no-impeachment rule, even may exclude, possible evidence of misconduct)
(no-impeachment rule, even may often exclude, possible evidence of misconduct)
(no-impeachment rule, even may often exclude, only possible evidence of misconduct)
(no-impeachment rule, may exclude, possible evidence of misconduct)
(no-impeachment rule, may often exclude, only possible evidence of misconduct)
(no-impeachment rule, possible evidence of, misconduct)
(no-impeachment rule, may often exclude, possible evidence)
(no-impeachment rule, even may exclude, possible evidence)
(door, relaxing, rule)
(no-impeachment rule, even may often exclude, only possible evidence)
(no-impeachment rule, only possible evidence of, misconduct)
(no-impeachment rule, even may often exclude, possible evidence)
(no-impeachment rule, may often exclude, only possible evidence)
(no-impeachment rule, may often exclude, possible evidence of misconduct)
(no-impeachment rule, even may exclude, only possible evidence)
(no-impeachment rule, even may exclude, only possible evidence of misconduct)
(no-impeachment approach, be known as, federal rule)
(approach, came, known as federal rule)
(firm no-impeachment approach, came, known as federal rule)
(no-impeachment approach, came, known as federal rule)
(firm no-impeachment approach, be, known)
(no-impeachment approach, be, known)
(firm approach, came, known)
(approach, be, known)
(no-impeachment approach, came, known as rule)
(firm approach, be known as, rule)
(firm approach, came, known as rule)
(firm approach, be known as, federal rule)
(firm no-impeachment approach, came, known)
(no-impeachment approach, be known as, rule)
(approach, came, known)
(firm no-impeachment approach, be known as, rule)
(approach, be known as, rule)
(approach, be known as, federal rule)
(firm approach, be, known)
(approach, came, known as rule)
(firm approach, came, known as federal rule)
(firm no-impeachment approach, be known as, federal rule)
(no-impeachment approach, came, known)
(firm no-impeachment approach, came, known as rule)
(jury, was subjected to, influence)
(jury, was, subjected)
(it, is offered, demonstrate)
(jury, was subjected to, extraneous influence)
(it, is, offered)
(it, is, where offered)
(___, at Warger is, supra)
(117, at Tanner is, supra)
(jurisdictions, adopted, more permissive rule)
(jurisdictions, adopted, rule)
(jurisdictions, adopted, permissive rule)
(processes, reaching, verdict)
(jurors, were generally permitted, testify)
(jurors, were permitted, testify)
(jurors, were, generally permitted)
(jurors, were generally permitted Under, Iowa rule)
(jurors, were, permitted)
(jurors, were permitted Under, Iowa rule)
(___, at Warger is, supra)
(Iowa rule, allowed, jurors)
(Iowa rule, Accordingly allowed, jurors)
(Iowa rule, allowed, testify)
(Iowa rule, Accordingly allowed, testify)
(Debate, emerged during, framing)
(Debate, emerged during, framing of Federal Rule of Evidence 606)
(Evidence 606, of Rule is, b)
(Debate, emerged during, framing of Federal Rule)
(sides, had, their supporters)
(strict approach, was retained in, end)
(approach, was, retained)
(strict federal approach, was retained in, end)
(arguments, were, heard)
(federal approach, was retained in, end)
(approach, was retained in, end)
(contending arguments, were, heard)
(federal approach, was, retained)
(strict approach, was, retained)
(strict federal approach, was, retained)
(early draft, included, 51 F. R. D. 315 387-388)
(draft, included, 51 F. R. D. 315 387-388)
(draft, was forcefully criticized, Committee)
(draft, was criticized, Committee)
(Rules, on Committee is, Revised Draft of Proposed Rules of Evidence for United States Courts)
(Committee, Draft of, Proposed Rules)
(Committee, Draft for, United States Courts)
(122, at Tanner is, supra)
(new draft, repudiating, Iowa rule)
(draft, Expressly repudiating, Iowa rule)
(draft, repudiating, Iowa rule)
(new draft, Expressly repudiating, Iowa rule)
(rule, referred to, Congress)
(new version, was approved by, Judicial Conference)
(new version, was, approved)
(version, was, approved)
(rule, referred, it)
(version, was approved by, Judicial Conference)
(House, rejected, Court 's version of Rule 606)
(House, Initially rejected, Court 's version)
(House, rejected, Court 's version)
(House, instead reverted to, earlier Advisory Committee draft)
(Court, has, version of Rule 606)
(House, reverted to, earlier Advisory Committee draft)
(House, reverted to, Advisory Committee draft)
(House, Initially rejected, Court 's version of Rule 606)
(House, instead reverted to, Advisory Committee draft)
(123, at Tanner is, supra)
(Court, has, rule)
(Judiciary Committee, however favored, Court 's rule)
(Judiciary Committee, favored, Court 's rule)
(House draft, broke, allowing)
(House draft, broke with, law)
(House draft, allowing, d)
(verdicts, be challenge on, basis what happened)
(verdicts, be challenge on, basis what happened during jury 's deliberations)
(basis, on challenge is, d)
(House draft, broke with, Federal law)
(House draft, broke with, long-accepted Federal law)
(jury, during, internal deliberations)
(House draft, broke with, long-accepted law)
(House draft, allowing, challenge on basis happened)
(House draft, allowing, verdicts)
(verdicts, be challenge on, basis what happened during jury 's internal deliberations)
(verdicts, be, challenge)
(House draft, allowing, challenge)
(House draft, allowing, challenge on basis happened during jury 's deliberations)
(House draft, allowing, challenge on basis happened during jury 's internal deliberations)
(harassment, possible exploitation of, ex-jurors)
(harassment, possible exploitation of, disgruntled ex-jurors)
(Senate, rejected, House version)
(Senate, rejected, House version of rule)
(Senate, returned to, Court 's rule)
(Court, to, rule)
(Conference Committee, adopted, Senate version)
(version, was signed into, law)
(version, was signed by, President)
(version, was, signed)
(version, was, signed into law by President)
(Evidence 606, of Rule is, b)
(Supreme Court-appointed members, considered, numerous comments)
(Supreme Court-appointed members, considered, numerous comments from persons involved in area of court-related law)
(Supreme Court-appointed members, considered, numerous comments from persons involved in nearly every area of court-related law)
(Supreme Court-appointed members, considered, comments from persons involved in nearly every area of court-related law)
(Supreme Court-appointed members, went through, 7-year process)
(Supreme Court-appointed members, considered, comments from persons)
(Supreme Court-appointed members, considered, comments from persons involved in area of court-related law)
(Supreme Court-appointed members, considered, numerous comments from persons)
(Supreme Court-appointed members, considered, comments)
(Supreme Court-appointed members, considered, comments from persons involved in every area of court-related law)
(Supreme Court-appointed members, went through, drafting process)
(Supreme Court-appointed members, considered, numerous comments from persons involved in every area of court-related law)
(Supreme Court-appointed members, went through, process)
(Rothstein, Amendments to, Federal Rules of Evidence)
(work, approved by, our predecessors)
(work, approved by, experienced appellate serving)
(experienced appellate, serving on, Judicial Conference)
(work, approved by, our predecessors on Court)
(work, approved by, appellate serving on Judicial Conference)
