(UNITED STATES, v. RODRIGUEZ is, 2015)
(Court, latches onto, fact)
(Officer Struble, proclaims, that)
(Court, Instead latches onto, fact)
(Officer Struble, perform, his tasks)
(Officer Struble, possibly safety of, others)
(it, is, perverse)
(Officer Struble, safety of, others)
(Officer Struble, chose, sequence)
(dog, sniff in, progress)
(Officer Struble, prolonging, stop)
(Court, regards as, properly part)
(Court, regards as, properly part of traffic stop)
(Court, regards as, part)
(dog, sniff in, still progress)
(Court, regards as, part of traffic stop)
(Officer Struble, did, two things)
(Officer Struble, collecting, Pollman 's driver 's license)
(driver, has, license)
(Pollman, has, driver)
(he, requested, that)
(He, called in, information)
(records, check on, Pollman)
(He, called in, information needed)
(Officer Struble, perform, dog)
(dog, discover, drugs)
(dog, make, arrests)
(police, search, vehicle)
(drug-sniffing dog, make, arrests)
(drug-sniffing dog, alerted for, presence of drugs)
(dog, alerted for, presence)
(drug-sniffing dog, discover, drugs)
(dog, alerted for, presence of drugs)
(drug-sniffing dog, alerted for, presence)
(it, is reasonable, officer believe)
(it, Thus is reasonable, officer believe)
(it, is, reasonable)
(it, is, Thus reasonable)
(he, was, outnumbered)
(Officer Struble, was concerned In, case)
(he, was outnumbered at, scene)
(he, waited for, arrival)
(he, called for, backup)
(Officer Struble, was, concerned)
(he, therefore called for, backup)
(he, was waiting for, results)
(he, was waiting for, results of records)
(drug-sniffing dog, was present in, Officer Struble 's car)
(drug-sniffing dog, was, present)
(dog, was present in, Officer Struble 's car)
(Officer Struble, in, car)
(dog, was, present)
(Court, according to, analysis)
(officer, made, reasonable decision wait)
(officer, made, decision wait)
(prudent procedures, motivated by, legitimate safety concerns)
(Officer Struble, has, error)
(Officer Struble 's error, was following, prudent procedures motivated by legitimate safety concerns)
(procedures, motivated by, safety concerns)
(Officer Struble 's error, was following, procedures)
(Officer Struble 's error, was following, prudent procedures)
(Officer Struble 's error, was following, procedures motivated)
(Officer Struble 's error, was following, prudent procedures motivated by safety concerns)
(procedures, motivated by, legitimate safety concerns)
(prudent procedures, motivated by, safety concerns)
(Officer Struble 's error, was following, procedures motivated by safety concerns)
(Officer Struble 's error, was following, prudent procedures motivated)
(Officer Struble 's error, was following, procedures motivated by legitimate safety concerns)
(nothing, is in, Fourth Amendment)
(nothing, compels, arbitrary line)
(nothing, compels, line)
(It, have, appreciable effect)
(It, is, unlikely)
(they, reason for, requirement)
(I, be, fly)
(I, would love, fly)
(I, be proverbial fly on, wall)
(police instructors, teach, rule)
(I, would love, proverbial fly on wall)
(I, would love, proverbial fly)
(I, would love, fly on wall)
(I, be, proverbial fly)
(I, be fly on, wall)
(JUSTICE THOMAS, in, opinion)
(I, respectfully dissent For, reasons)
(I, dissent For, reasons)
(automobile, has, registration)
(driver 's license, inspecting, proof)
(It, is, important)
(Court, has, decision)
(driver, has, license)
(driver 's license, inspecting, automobile 's registration)
(driver 's license, inspecting, automobile 's registration of insurance)
(police, conduct checks during, otherwise lawful traffic stop)
(police, conduct, unrelated checks)
(police, conduct, certain unrelated checks)
(police, conduct checks during, lawful traffic stop)
(police, conduct checks during, traffic stop)
(police, conduct, checks)
(police, conduct, certain checks)
(police, ask, questions)
(police, order occupants during, stop)
(it, remains, true)
(police, order occupants during, valid stop)
(police, ask, questions aimed)
(police, order, occupants)
(it, Thus remains, true)
