(UNITED STATES, v. LOCKHART is, 2016)
(opposite, is true, in examples beginning opinion modifying phrase refers alike to each of list 's terms)
(exact opposite, is usually true, in examples beginning opinion phrase refers)
(phrase, refers to, each of terms)
(phrase, refers alike to, each list 's terms)
(exact opposite, is true, in examples phrase refers alike to each of list 's terms)
(exact opposite, is true, in examples modifying phrase refers alike to each of list 's terms)
(opposite, is true, phrase refers)
(phrase, refers alike to, each of terms)
(opposite, is true, in examples beginning opinion phrase refers alike to each list 's terms)
(exact opposite, is usually true, in examples modifying phrase refers to each terms)
(exact opposite, is usually true, in examples beginning opinion phrase refers to each terms)
(exact opposite, is true, in examples phrase refers to each of list 's terms)
(exact opposite, is true, in examples modifying phrase refers to each list 's terms)
(exact opposite, is true, in examples beginning opinion phrase refers alike to each terms)
(opposite, is usually true, in examples phrase refers alike to each of list 's terms)
(opposite, is true, in examples beginning opinion modifying phrase refers alike to each of terms)
(opposite, is usually true, phrase refers alike to each of list 's terms)
(exact opposite, is usually true, in examples beginning opinion modifying phrase refers to each list 's terms)
(opposite, is true, in examples phrase refers alike to each terms)
(opposite, is true, in examples beginning opinion phrase refers alike to each terms)
(exact opposite, is true, in examples beginning opinion phrase refers alike to each of list 's terms)
(modifying phrase, refers alike to, each list 's terms)
(exact opposite, is true, phrase refers to each of terms)
(exact opposite, is usually true, in examples phrase refers alike to each terms)
(opposite, is true, modifying phrase refers to each of list 's terms)
(opposite, is true, modifying phrase refers to each terms)
(opposite, is usually true, in examples phrase refers to each of list 's terms)
(opposite, is true, in examples phrase refers alike to each list 's terms)
(opposite, is, usually true)
(exact opposite, is usually true, in examples beginning opinion modifying phrase refers alike)
(exact opposite, is true, in examples modifying phrase refers alike to each terms)
(opposite, is usually true, in examples modifying phrase refers alike to each of terms)
(phrase, refers in, examples beginning opinion)
(opposite, is true, phrase refers alike to each of terms)
(modifying phrase, refers alike to, each of terms)
(opposite, is usually true, phrase refers to each of terms)
(exact opposite, is, usually true)
(exact opposite, is true, in examples beginning opinion phrase refers)
(opposite, is usually true, in examples modifying phrase refers to each of terms)
(exact opposite, is, Then true)
(exact opposite, is usually true, modifying phrase refers to each of terms)
(exact opposite, is, Then usually true)
(opposite, is usually true, phrase refers to each of list 's terms)
(exact opposite, is true, in examples beginning opinion modifying phrase refers to each of terms)
(exact opposite, is usually true, phrase refers alike to each of list 's terms)
(exact opposite, is true, in examples beginning opinion modifying phrase refers alike to each list 's terms)
(opposite, is true, modifying phrase refers alike)
(exact opposite, is true, phrase refers alike to each of list 's terms)
(opposite, is true, in examples beginning opinion modifying phrase refers to each of terms)
(exact opposite, is usually true, modifying phrase refers)
(opposite, is true, in examples phrase refers to each of terms)
(opposite, is true, in examples beginning opinion modifying phrase refers to each terms)
(opposite, is usually true, in examples phrase refers alike to each list 's terms)
(exact opposite, is usually true, in examples beginning opinion phrase refers alike to each list 's terms)
(exact opposite, is true, modifying phrase refers)
(exact opposite, is true, in examples modifying phrase refers alike to each list 's terms)
(modifying phrase, refers in, examples beginning opinion)
(opposite, is, true)
(opposite, is usually true, in examples beginning opinion phrase refers alike)
(exact opposite, is usually true, in examples phrase refers alike to each list 's terms)
(opposite, is true, in examples phrase refers to each of list 's terms)
(exact opposite, is true, phrase refers alike to each list 's terms)
(exact opposite, is true, modifying phrase refers to each terms)
(opposite, is true, phrase refers to each of terms)
(opposite, is usually true, in examples beginning opinion phrase refers alike to each list 's terms)
(modifying phrase, refers to, each terms)
(opposite, is true, in examples beginning opinion phrase refers to each of list 's terms)
(opposite, is usually true, phrase refers alike)
(exact opposite, is true, modifying phrase refers to each list 's terms)
(opposite, is true, in examples phrase refers alike)
(opposite, is true, in examples beginning opinion modifying phrase refers alike to each terms)
(exact opposite, is true, in examples beginning opinion modifying phrase refers alike to each of list 's terms)
(exact opposite, is true, in examples modifying phrase refers alike to each of terms)
(opposite, is usually true, phrase refers alike to each terms)
(exact opposite, is true, in examples phrase refers alike to each terms)
(opposite, is usually true, in examples beginning opinion phrase refers alike to each of list 's terms)
(exact opposite, is usually true, phrase refers alike)
(opposite, is usually true, modifying phrase refers)
(opposite, is usually true, modifying phrase refers alike)
(opposite, is true, in examples phrase refers to each terms)
(opposite, is usually true, in examples modifying phrase refers alike to each terms)
(exact opposite, is true, in examples phrase refers alike)
(opposite, is true, in examples beginning opinion modifying phrase refers)
(exact opposite, is true, modifying phrase refers to each of terms)
(opposite, is usually true, modifying phrase refers alike to each of list 's terms)
(modifying phrase, refers alike in, examples)
(opposite, is true, phrase refers alike to each terms)
(exact opposite, is usually true, phrase refers)
(opposite, is true, in examples modifying phrase refers alike)
(opposite, is true, in examples beginning opinion phrase refers to each of terms)
(opposite, is true, modifying phrase refers alike to each of list 's terms)
(opposite, is true, in examples beginning opinion phrase refers to each list 's terms)
(opposite, is true, in examples beginning opinion phrase refers to each terms)
(opposite, is usually true, in examples beginning opinion phrase refers to each list 's terms)
(exact opposite, is usually true, in examples beginning opinion modifying phrase refers to each of terms)
(opposite, is true, in examples modifying phrase refers)
(exact opposite, is usually true, modifying phrase refers to each of list 's terms)
(opposite, is usually true, in examples phrase refers to each terms)
(opposite, is usually true, in examples beginning opinion phrase refers to each of terms)
(exact opposite, is usually true, in examples phrase refers to each list 's terms)
(exact opposite, is true, in examples beginning opinion phrase refers alike to each of terms)
(exact opposite, is usually true, phrase refers to each terms)
(exact opposite, is usually true, in examples modifying phrase refers)
(exact opposite, is true, in examples beginning opinion phrase refers to each of list 's terms)
(opposite, is true, modifying phrase refers to each of terms)
(opposite, is true, modifying phrase refers alike to each of terms)
(exact opposite, is usually true, phrase refers to each of list 's terms)
(exact opposite, is true, in examples beginning opinion phrase refers to each list 's terms)
(exact opposite, is usually true, in examples modifying phrase refers alike to each list 's terms)
(opposite, is usually true, in examples beginning opinion phrase refers)
(exact opposite, is true, in examples beginning opinion modifying phrase refers)
(opposite, is, Then true)
(opposite, is usually true, phrase refers alike to each of terms)
(exact opposite, is usually true, in examples modifying phrase refers to each list 's terms)
(exact opposite, is usually true, in examples beginning opinion phrase refers to each of terms)
(exact opposite, is true, in examples modifying phrase refers to each of list 's terms)
(exact opposite, is usually true, in examples phrase refers to each terms)
(exact opposite, is true, in examples beginning opinion modifying phrase refers to each of list 's terms)
(opposite, is usually true, in examples phrase refers to each of terms)
(exact opposite, is usually true, modifying phrase refers alike)
(exact opposite, is true, modifying phrase refers alike to each of list 's terms)
(exact opposite, is true, in examples beginning opinion phrase refers alike to each list 's terms)
(exact opposite, is usually true, in examples modifying phrase refers to each of terms)
(exact opposite, is usually true, modifying phrase refers alike to each list 's terms)
(opposite, is usually true, in examples modifying phrase refers alike to each list 's terms)
(exact opposite, is usually true, in examples modifying phrase refers alike to each of list 's terms)
(opposite, is true, in examples phrase refers alike to each of list 's terms)
(opposite, is usually true, phrase refers to each list 's terms)
(phrase, refers to, each of list 's terms)
(exact opposite, is usually true, in examples beginning opinion modifying phrase refers alike to each of terms)
(modifier, normally applies to, entire series)
(leading treatise, puts, point)
(leading treatise, puts point, follows)
(modifier, normally applies to, series)
(treatise, puts point, follows)
(modifier, applies to, entire series)
(treatise, puts, point)
(modifier, applies to, series)
(fancy name, see, Black 's Law Dictionary 1574)
(name, see, Black 's Law Dictionary 1574)
(Black, has, Law Dictionary 1574)
(exception, emphasizing, its customary usage)
(exception, emphasizing, its usage)
(exception, emphasizing, its basis)
(exception, is, intuitive)
(exception, emphasizing, its common-sensical basis)
(nouns, is in, list)
(she, meet, President)
(she, meet, Justice)
(clause, be, read)
(clause, be read as, applicable)
(clause, be read as, applicable to all)
(United States, v. Paroline is, ___ 2014)
(Court, has repeatedly applied series-qualifier rule in, just manner)
(Court, has applied series-qualifier rule in, manner)
(Court, has repeatedly applied series-qualifier rule in, manner)
(Court, has applied series-qualifier rule in, just manner)
(Court, has applied, series-qualifier rule)
(Court, has repeatedly applied, series-qualifier rule)
(abuse, is recorded in, materials)
(Court, considered for, example)
(Court, considered In, Paroline)
(Court, considered statute In, Paroline)
(Court, considered, statute)
(possessors, pay, restitution)
(abuse, is, recorded)
(Court, considered statute for, example)
(law, include, services)
(medical services, relating to, care)
(services, relating to, care)
(medical services, relating to, physical care)
(services, relating to, physical care)
(victim, has, losses)
(victim, invoked rule, argue)
(victim, argue, that)
(victim, invoked, last-antecedent rule)
(victim, bringing, lawsuit)
(victim, invoked, rule)
(hen several words, are, followed)
(it, should, should understood)
(hen words, are, followed)
(United States, followed, rule)
(United States, followed, same rule)
(Court, confronted, statute making)
(it, crime for, felon)
(it, receive, transport firearm)
(Court, There confronted, statute)
(it, receive, transport in commerce firearm)
(it, crime for, convicted felon)
(Court, confronted, statute)
(Court, There confronted, statute making)
(modifying clause, is in, commerce)
(Court, rebuffed, argument)
(clause, qualifies, three antecedents)
(Court, Relying on, longstanding precedents)
(it, applies in, fact)
(Court, Relying on, precedents)
(it, makes, sense)
(interstate commerce element, is in, phrase)
(348, at Railway is, 253 U. S.)
(analysis, holds for, sentencing provision at issue here)
(analysis, holds for, sentencing provision)
(analysis, holds equally for, sentencing provision at issue)
(analysis, holds equally for, sentencing provision at issue here)
(analysis, holds equally for, sentencing provision)
(analysis, holds for, sentencing provision at issue)
(344, at Jama is, 543 U. S.)
(modifier, makes Given, close relation among terms in series)
(modifier, makes, as much)
(modifier, makes Given, close relation)
(terms, is in, series)
(modifier, makes Given, close relation among terms)
(modifier, makes Given, relation among terms in series)
(modifier, makes Given, relation)
(modifier, makes, much)
(modifier, makes Given, relation among terms)
(___, at Paroline is, 572 U. S.)
(reference, applies In, other words)
(reference, abuse as to, conduct)
(reference, abuse as to, abusive conduct)
(reference, sexual abuse as to, abusive conduct)
(reference, applies In, words)
(reference, sexual abuse as to, conduct)
(reference, sexual abuse as to, sexual conduct)
(reference, abuse as to, sexual conduct)
(reference, abuse as to, abusive sexual conduct)
(reference, sexual abuse as to, abusive sexual conduct)
(case, would, would different)
(339, at Bass is, 404 U. S.)
(majority, responds, claiming)
(series-qualifier canon, is about, colloquial)
(majority, is, wrong)
(majority, is wrong, begin with)
(series-qualifier canon, is about, only colloquial)
(majority, is wrong, begin)
(it, applies to, speech in their informal)
(it, applies In, fact)
(it, applies to, speech)
(speech, is in, their informal)
(most, keep, everyday colloquialisms)
(most, keep, colloquialisms)
(most, keep colloquialisms at, distance)
(most, keep colloquialisms at, far distance)
(clause, modifies, noun)
(other words, in series is, just last)
(series, is in, other words)
(odd repetition, causes, series-qualifier principle)
(series-qualifier principle, works .2 in, writing)
(predicates, causes principle in, b)
(predicates, causes, series-qualifier principle)
(predicates, causes, principle)
(principle, lose, its force)
(repetition, causes principle in, b)
(repetition, causes, principle)
(series-qualifier principle, lose, its force)
(series-qualifier principle, works .2 in, formal writing)
(series-qualifier principle, works majority in, formal writing)
(odd repetition, causes, principle)
(series-qualifier principle, works, .2)
(series-qualifier principle, works, majority)
(odd repetition, causes principle in, b)
(series-qualifier principle, works majority in, writing)
(repetition, causes, series-qualifier principle)
(majority 's sentence, proves, much)
(majority 's made-up sentence, proves, much)
(majority 's own made-up sentence, proves, much)
(majority 's own sentence, proves, much)
(majority, has, own made-up sentence)
(she, had specifically mentioned, lemons)
(she, would, apparently would happy)
(you, get, sour fruit)
(you, get, lemons)
(she, would, apparently would happy with fruit of kind)
(she, would, when would happy with fruit of kind)
(she, had mentioned, lemons)
(you, get, fruit)
(she, would, would happy with fruit of kind)
(you, get, sour lemons)
(she, would, when apparently would happy with sour fruit of kind)
(she, would, apparently would happy with sour fruit of kind)
(friend, asked, you)
(you, get, sour fruit from Mexico)
(she, would, would happy with sour fruit of kind)
(You, might puzzle over, difference)
(she, would, when apparently would happy)
(she, would, when apparently would happy with fruit of kind)
(you, get, her lemons)
(You, might puzzle over, difference between tart lemons)
(she, would, when would happy with sour fruit of kind)
(You, might puzzle over, difference between lemons)
(you, get, her tart lemons)
(you, get, fruit from Mexico)
(she, would, when would happy)
(she, would, would happy)
(some, produce from, Mexico)
(it, get, her)
(she, listed, fruits)
(modifying clause, still refers, all)
(clause, refers, all)
(clause, refers to, them)
(clause, still refers, all)
(modifying clause, still refers to, them)
(clause, still refers to, them)
(modifying clause, refers, all)
(modifying clause, refers to, them)
(way, lists, offenses)
(majority, seeks, refuge)
(majority, seeks refuge in, idea)
(rule, applying, series-qualifier canon)
(rule, applying series-qualifier canon to, b)
(he, canon against, superfluity)
(majority 's approach, produces, superfluity)
(majority 's approach, produces too, superfluity)
(majority, has, approach)
(majority, has, sentence)
(three, could, could have written as one)
(listed crimes, subsets of, third)
(two listed crimes, become on, majority 's reading)
(listed crimes, become In, other words)
(listed crimes, become on, majority 's reading)
(majority, on, reading)
(two listed crimes, become, subsets)
(three, could, could have written)
(listed crimes, become In, words)
(two listed crimes, become In, other words)
(two listed crimes, become In, words)
(two listed crimes, become, could have written)
(two listed crimes, subsets of, third)
(listed crimes, become, could have written)
(listed crimes, become, subsets)
(two listed crimes, become, subsets of third)
(listed crimes, become, could have written as one)
(listed crimes, become, subsets of third)
(two listed crimes, become, could have written as one)
(it, relates to, clause itself)
(it, relates to, modifying clause itself)
(majority, has, superfluity)
(it, relates to, modifying clause)
(it, relates to, clause)
(terms, is in, preceding series)
(rule, pertain, .3)
(rule, reading, modifier)
(majority, rule against, superfluity)
(list, appears in, two places)
(two places, is in, § 2252)
(majority, has, position)
(Congress, added to, provisions)
(Congress, added, it)
(Descriptions, belie, majority 's position)
(1996, of Act is, 110 Stat)
(mandatory minimum, would apply with, conviction under State child abuse law)
(minimum, would apply with, conviction under State child abuse law)
(Senate Report, explained At, time)
(minimum, would apply with, prior conviction under State child abuse law)
(mandatory minimum, would apply to, offender)
(minimum, would apply to, offender)
(mandatory minimum, would apply with, prior conviction under State child abuse law)
(It, is, hard)
(It, imagine, saying)
(It, imagine, saying directly)
(Department, urging, Congress)
(same predicate offenses, is in, § 2252)
(Congress, include, predicate offenses)
(Congress, include, same predicate offenses)
(Department, read, list)
(Department, later read, list)
(legislation, fix, oddity)
(proposed legislation, fix, oddity)
(legislation, fix, statutory oddity)
(DOJ, noted In, bill comment)
(state, predicates here at, issue)
(state, predicates at, issue)
(proposed legislation, fix, statutory oddity)
(DOJ, noted In, formal bill comment)
(possessor, should, should also subject to 2-year minimum)
(he, had, conviction for sexual abuse)
(he, prior conviction for, sexual abuse)
(possessor, should, should subject to 2-year mandatory minimum)
(he, had, prior conviction)
(possessor, should, should also subject to 2-year mandatory minimum)
(he, had, prior conviction for abuse)
(he, conviction for, sexual abuse)
(possessor, should, should subject to minimum)
(possessor, should, should also subject to minimum)
(he, conviction for, abuse)
(he, had, prior conviction for abuse of minor)
(possessor, should, should subject)
(he, had, conviction for abuse of minor)
(he, had, conviction)
(possessor, should, should subject to 2-year minimum)
(he, had, prior conviction for sexual abuse)
(he, conviction for, sexual abuse of minor)
(he, prior conviction for, sexual abuse of minor)
(possessor, should, should also subject)
(possessor, should, should also subject to mandatory minimum)
(he, had, conviction for abuse)
(he, had, conviction for sexual abuse of minor)
(he, conviction for, abuse of minor)
(possessor, should, should subject to mandatory minimum)
(he, prior conviction for, abuse)
(he, prior conviction for, abuse of minor)
(he, had, prior conviction for sexual abuse of minor)
(predicate, offenses, it)
(DOJ, thus made, clear)
(DOJ, made, clear)
(predicate, offenses, it recom-mended)
(Congress, added, resulting in requested minimum sentence)
(language, resulting in, requested minimum sentence)
(language, resulting in, requested 2-year minimum sentence)
(language, resulting in, sentence)
(Congress, added at, issue)
(Congress, gave, DOJ)
(language, resulting in, requested sentence)
(Congress, added, resulting in 2-year sentence)
(language, resulting in, 2-year minimum sentence)
(Congress, added to, b)
(Congress, added, resulting in requested 2-year minimum sentence)
(Congress, added, resulting in requested sentence)
(Congress, added, resulting)
(Congress, added, resulting in minimum sentence)
(Congress, receiving, letter)
(Congress, added, language)
(Congress, added, resulting in sentence)
(Congress, added, resulting in requested 2-year sentence)
(Congress, Soon receiving, letter)
(language, resulting in, requested 2-year sentence)
(language, resulting in, minimum sentence)
(Congress, added language at, issue)
(language, resulting in, 2-year sentence)
(Congress, added, resulting in 2-year minimum sentence)
(Congress, added language to, b)
(majority, has, response to history)
(majority 's response, blunt, its force)
(majority ventures, was merely noting, one of provision 's many salient features)
(majority ventures, similarly was merely noting, one of provision 's salient features)
(provision, of, many salient features)
(majority ventures, similarly was merely noting, one of provision 's many salient features)
(majority ventures, was merely noting, one provision 's many salient features)
(majority ventures, was merely noting, one provision 's salient features)
(majority ventures, was noting, one provision 's salient features)
(majority ventures, was noting, one of provision 's salient features)
(majority ventures, was noting, one provision 's many salient features)
(majority ventures, similarly was merely noting, one provision 's many salient features)
(majority ventures, similarly was merely noting, one provision 's salient features)
(majority ventures, similarly was noting, one provision 's many salient features)
(majority ventures, was merely noting, one of provision 's salient features)
(majority ventures, was noting, one of provision 's many salient features)
(majority ventures, similarly was noting, one of provision 's salient features)
(majority ventures, similarly was noting, one provision 's salient features)
(majority ventures, similarly was noting, one of provision 's many salient features)
(Senate Report, like, authors)
(you, would refer to, whole list)
(you, would refer to, list)
(you, would refer to, list of state)
(you, would refer to, whole list of state)
(you, cover, only sexual offenses against children)
(you, cover, only sexual offenses)
(you, cover, only offenses against children)
(you, alternatively understood, statutory language)
(you, cover, sexual offenses against children)
(you, cover, only offenses)
(you, understood, language)
(you, cover, offenses against children)
(you, alternatively understood, language)
(you, cover, sexual offenses)
(you, cover, offenses)
(you, understood, statutory language)
(you, might use, shorthand)
(you, might well use, shorthand)
(Senate Report, has, drafters did)
(provision, has, federal sexual-abuse predicates)
(Senate Report, drafters 's, letter)
(emphasis, is in, original)
(DOJ, explain, them)
(DOJ, is, obliged)
(no, is, more)
(no, is more than, sufficient)
(person, is subject for, example)
(person, is subject Under, b)
(person, is, subject)
(sex trafficking, will trigger minimum under, state law)
(prior conviction, is under, state law)
(conviction, is under, state law)
(sex trafficking, will trigger, minimum)
(trafficking, trafficking on, state side)
(my view, predicates here at, issue)
(trafficking, trafficking of, children alone)
(adults, of trafficking is, trafficking on state side)
(my view, predicates at, issue)
(federal prostitution offenses, prompt minimums under, provisions)
(five federal prostitution offenses, prompt minimums under, provisions)
(federal prostitution offenses, prompt, mandatory minimums)
(five federal prostitution offenses, prompt, mandatory minimums)
(five federal prostitution offenses, prompt, minimums)
(federal prostitution offenses, prompt, minimums)
(it, sometimes adds, state offenses corresponding to subset of federal offenses)
(state offenses, corresponding to, subset federal offenses included)
(state offenses, corresponding to, subset federal offenses previously included)
(state offenses, corresponding to, only subset)
(state offenses, corresponding to, subset offenses)
(state offenses, corresponding to, subset offenses previously included)
(it, adds, state offenses corresponding)
(state offenses, corresponding to, only subset offenses previously included)
(it, sometimes adds, state offenses corresponding to subset of offenses included)
(it, adds, state offenses corresponding to subset of federal offenses included)
(it, sometimes adds, state offenses corresponding to subset of offenses previously included)
(it, adds, state offenses corresponding to only subset)
(it, adds, state offenses corresponding to only subset of federal offenses previously included)
(it, sometimes adds, state offenses corresponding to only subset of offenses previously included)
(state offenses, corresponding to, subset offenses included)
(it, sometimes adds, state offenses corresponding)
(it, adds, state offenses corresponding to subset of offenses included)
(it, sometimes adds, state offenses corresponding to only subset of offenses)
(it, sometimes adds, state offenses corresponding to subset of federal offenses previously included)
(it, adds, state offenses corresponding to only subset of offenses)
(it, sometimes adds, state offenses corresponding to subset)
(state offenses, corresponding to, only subset offenses)
(it, adds, state offenses corresponding to only subset of federal offenses included)
(it, sometimes adds, state offenses)
(state offenses, corresponding to, subset federal offenses)
(state offenses, corresponding to, subset)
(it, sometimes adds, state offenses corresponding to only subset of federal offenses previously included)
(it, sometimes adds, state offenses corresponding to only subset of offenses included)
(it, adds, state offenses corresponding to subset of federal offenses previously included)
(it, adds, state offenses corresponding to subset of offenses)
(it, sometimes adds, state offenses corresponding to only subset of federal offenses)
(it, sometimes adds, state offenses corresponding to subset of federal offenses included)
(state offenses, corresponding to, only subset federal offenses)
(it, sometimes adds, state offenses corresponding to only subset of federal offenses included)
(state offenses, corresponding to, only subset federal offenses previously included)
(it, adds, state offenses corresponding to only subset of federal offenses)
(state offenses, corresponding to, only subset federal offenses included)
(it, adds, state offenses corresponding to subset of offenses previously included)
(it, adds, state offenses)
(it, sometimes adds, state offenses corresponding to only subset)
(it, adds, state offenses corresponding to subset of federal offenses)
(it, sometimes adds, state offenses corresponding to subset of offenses)
(it, adds, state offenses corresponding to subset)
(Government, Noting, disparities)
(state offenses, corresponding to, only subset offenses included)
(it, adds, state offenses corresponding to only subset of offenses previously included)
(it, adds, state offenses corresponding to only subset of offenses included)
(Court, enforce, choice)
(majority, relies As, As natural construction)
(majority, relies As, As construction)
(majority, relies on, argument)
(majority, relies on, structural argument)
(majority, relies As, As most natural construction)
(sexual-abuse, are, described)
(federal sexual-abuse, are described as, crimes)
(federal sexual-abuse, are, described)
(sexual-abuse, are described as, crimes)
(federal sexual-abuse, are described as, crimes under Chapter 109A)
(sexual-abuse, are described as, crimes under Chapter 109A)
(emphasis, is in, original)
(headings, is in, Chapter 109A)
(majority, see, more)
(majority, see, more than that here)
(majority, see, more than that)
(Congress, structure of, Chapter 109A)
(Congress, thus used as, template)
(Congress, thus used Chapter 109A as, template for list)
(language, structure of, Chapter 109A)
(Congress, thus used as, template for list)
(Congress, used, Chapter 109A)
(Congress, used Chapter 109A as, template for list)
(Congress, thus used as, template for list of state)
(Congress, thus used Chapter 109A as, template)
(Congress, used Chapter 109A as, template for list of state)
(Congress, followed, language)
(majority, hazards, guess predicates)
(Congress, used as, template for list)
(Congress, defining, offenses)
(Congress, followed, structure)
(Congress, thus used, Chapter 109A)
(Congress, used Chapter 109A as, template)
(Congress, defining, state-law offenses)
(Congress, followed, structure of Chapter 109A)
(Congress, used as, template)
(Congress, used as, template for list of state)
(Congress, thus used Chapter 109A as, template for list of state)
(§ 2252, has, state predicates)
(Chapter, includes, following offenses)
(Chapter, includes, offenses)
(Chapter, contains, four crimes one more than found)
(Chapter, contains, four crimes one more than found 's list)
(Chapter, thus contains, four crimes one more than found)
(Chapter, thus contains, four crimes found 's list of state offenses)
(Chapter, contains, four crimes found)
(Chapter, thus contains, four crimes one more than found 's list)
(Chapter, contains, four crimes)
(Chapter, thus contains, four crimes found)
(Chapter, contains, four crimes found 's list of state offenses)
(Chapter, thus contains, four crimes found 's list)
(Chapter, thus contains, four crimes one more than found 's list of state offenses)
(Chapter, contains, four crimes found 's list)
(Chapter, contains, four crimes one more than found 's list of state offenses)
(Chapter, thus contains, four crimes)
(drafters, copy, Chapter 109A)
(Congress, differentiate, it)
(contra majority, see ante at, 9-10)
(contra majority, see, ante)
(list, in, last term)
(they, used, repeating)
(abusive sexual conduct, is in, list 's last term)
(other places, is in, federal code)
(they, used, phrase)
(they, repeating, sexual abuse)
(they, used phrase, repeating)
(they, repeating, abuse)
(Chapter 109A, in, fourth offense)
(anything, crime of, abusive sexual contact)
(Congress, duplicate, Chapter 109A 's set of offenses)
(Congress, duplicate, set of offenses)
(Government, accept, notion)
(Congress, wanted, list)
(it, denied in, other words)
(Congress, bear, meaning)
(Congress, bear, same meaning)
(it, denied in, words)
(idea, mimic crimes in, Chapter 109A)
(idea, predicates in, b)
(Congress, meant for, state)
(Congress, wanted, list of state)
(Congress, list of, state)
(idea, mimic, crimes)
(Government, held fast to, position)
(Government, held fast in, face of sustained questioning from Members of Court)
(Government, held in, face of sustained questioning)
(Government, held to, position)
(Government, held fast in, Even face of sustained questioning)
(Government, held fast in, face of sustained questioning from Members)
(Government, held fast in, Even face of sustained)
(Government, held fast in, face)
(Government, held in, Even face of sustained questioning from Members)
(Government, held in, Even face of sustained questioning)
(Government, held fast in, Even face)
(Government, held in, face)
(Government, held in, face of sustained questioning from Members)
(Government, held fast in, face of sustained)
(Government, held fast in, Even face of sustained questioning from Members of Court)
(Government, held in, Even face of sustained questioning from Members of Court)
(Government, held fast in, face of sustained questioning)
(Government, held in, face of sustained)
(Government, held fast in, Even face of sustained questioning from Members)
(Government, held in, face of sustained questioning from Members of Court)
(Government, held in, Even face of sustained)
(Government, held in, Even face)
(you, do resist, argument)
(majority, seems, responding)
(Chapter 109A, served as, template)
(view, consistent with, its hypothesis)
(majority, think, view somehow consistent with its own hypothesis)
(majority, think, view somehow consistent)
(view, consistent with, its own hypothesis)
(majority, think, view)
(majority, think, view consistent with its hypothesis)
(majority, seems, think)
(Lockhart, of, arguments)
(majority, think, view consistent)
(view, somehow consistent with, its own hypothesis)
(majority, think, view consistent with its own hypothesis)
(Chapter 109A, served for, b)
(view, somehow consistent with, its hypothesis)
(majority, think, view somehow consistent with its hypothesis)
(14, at 109A is, ante)
(majority, has, supposed template)
(parallel Chapter 109A, is in, single respect)
(courts, will face in, future)
(Chapter 109A, many issues, courts will face in future)
(Chapter 109A, is across-the-board irrelevant like, predicates)
(provision, has, state)
(Chapter 109A, is, irrelevant)
(Chapter 109A, is irrelevant like, other federal predicates)
(Chapter 109A, is irrelevant like, federal predicates)
(Chapter 109A, is across-the-board irrelevant like, federal predicates)
(Chapter 109A, is irrelevant like, other predicates)
(Chapter 109A, is irrelevant, defining)
(Chapter 109A, is across-the-board irrelevant like, other predicates)
(Chapter 109A, is across-the-board irrelevant, defining)
(other federal predicates, is in, § 2252)
(Chapter 109A, is, across-the-board irrelevant)
(Chapter 109A, is across-the-board irrelevant like, other federal predicates)
(Chapter 109A, is irrelevant like, predicates)
(federal chapter, has, four differently worded crimes)
(majority, has, template argument quite so strained)
(genuine ambiguity, is in, criminal statutes)
(majority, puts, point)
(courts side, is with, defendant)
(last term, is in, preceding series)
(principle, should tip scales At, least)
(principle, should tip, scales in Lockhart 's favor)
(principle, should tip scales At, very least)
(modifying clause, is in, § 2252)
(principle, should tip, scales)
(Lockhart, in, favor)
(scales, is in, Lockhart 's favor)
(Lockhart 's case, is, stronger)
(Lockhart, has, case)
(Lockhart 's case, is stronger in, fact)
(history, point in, same direction)
(principle, point in, same direction)
(rule, point in, same direction)
(rule, discussed in, opinion)
(series-qualifier principle, point in, same direction)
(legislative history, point in, same direction)
(rule, Has, Has discussed in opinion)
(rule, Has, Has discussed)
(series-qualifier principle, been, have discussed)
(you, would know, answer)
(you, would know, right answer)
(sexual acts, is with, wards)
(does, same for, sexual acts)
(acts, is with, person)
(does, same for, acts)
(wording, order of, sections of Chapter 109A)
(wording, order of, three sections of Chapter 109A)
(wording, order of, first sections of Chapter 109A)
(wording, order of, first three sections of Chapter 109A)
(other way, ante at, 4)
(majority, has, baseball example)
(way, ante at, 4)
(Imagine, is, slightly reworded)
(Imagine, refer to, defensive catcher)
(Imagine, is reworded, refer to catcher)
(Imagine, is slightly reworded, refer to catcher)
(Imagine, is reworded, refer to defensive catcher)
(Imagine, refer to, catcher)
(Imagine, is, reworded)
(Imagine, is reworded, refer)
(Imagine, is slightly reworded, refer to defensive catcher)
(Imagine, is slightly reworded, refer)
(three players, must come, parallel series with modifying clause)
(three players, must come, parallel series with clause at end)
(three players, must come from, Royals)
(three players, must come, parallel series)
(three players, must come, parallel series with modifying clause at end)
(parallel series, is with, modifying clause at end)
(three players, must come, series)
(three players, must come, series with clause at end)
(terms, are, parallel)
(three players, must come, series with modifying clause at end)
(three players, must come, series with clause)
(three players, must come, parallel series with clause)
(three terms, is in, unlike majority 's sentence)
(three players, must come, series with modifying clause)
(577 U. S. ___, is In, OBB Personenverkehr AG)
(577 U. S. ___, is In, James)
(Martin, 's Lessee is, 1 Wheat)
(Martin, has, Lessee)
(James, In ___ is, ___ 2016 per curiam)
(577 U. S. ___, 2016 per, curiam)
(state courts, follow, its interpretations of laws)
(state courts, follow, its interpretations)
(it, looks to, text)
(it, interpreting, statutes)
(Court, noted In, Musacchio 577 U. S. ___)
(577 U. S. ___, is In, FERC)
(damages, claimed by, person)
