(UNITED STATES, v. OCASIO is, 2016)
(other Baltimore officers, referred, victims)
(Baltimore officers, referred victims to, brothers ' shop)
(Ocasio, referred, car-accident victims)
(Mejia, paid Ocasio In, exchange)
(Moreno, paid, Ocasio)
(Moreno, paid Ocasio In, exchange)
(Mejia, paid, Ocasio)
(officers, commit, extortion)
(brothers, conspired in, 18 U. S. C. § 371)
(extortion, is in, violation of Hobbs Act § 1951)
(officers, conspired in, violation of federal conspiracy statute)
(Ocasio, conspired in, violation of conspiracy statute)
(other officers, conspired in, violation of conspiracy statute)
(other officers, commit, extortion in violation § 1951)
(officers, conspired in, violation of conspiracy statute)
(Ocasio, conspired in, 18 U. S. C. § 371)
(other officers, commit, extortion in violation of Hobbs Act § 1951)
(other officers, conspired in, violation)
(officers, conspired in, 18 U. S. C. § 371)
(brothers, conspired in, violation of federal conspiracy statute)
(Ocasio, conspired in, violation of federal conspiracy statute)
(other officers, conspired in, 18 U. S. C. § 371)
(Ocasio, conspired in, violation)
(other officers, commit, extortion)
(officers, conspired in, violation)
(brothers, conspired in, violation of conspiracy statute)
(brothers, conspired in, violation)
(officers, commit, extortion in violation § 1951)
(other officers, conspired in, violation of federal conspiracy statute)
(officers, commit, extortion in violation of Hobbs Act § 1951)
(persons, commit, federal offense)
(persons, commit, offense)
(extortion, defines, extortion as obtaining from another with his consent under color of right)
(extortion, defines, extortion as obtaining of property from another with his consent under color of official right)
(extortion, defines, extortion as obtaining from another under color of official right)
(extortion, defines, extortion)
(extortion, defines, extortion as obtaining from another with his consent)
(extortion, defines, extortion as obtaining from another under color)
(extortion, defines, extortion as obtaining under color of right)
(extortion, defines, extortion as obtaining with his consent)
(extortion, defines, extortion as obtaining from another with his consent under color)
(extortion, defines, extortion as obtaining of property from another with his consent under color of right)
(extortion, defines, extortion as obtaining of property under color)
(extortion, defines, extortion as obtaining of property from another with his consent under color)
(extortion, defines, extortion as obtaining of property with his consent)
(extortion, defines, extortion as obtaining with his consent under color of official right)
(extortion, defines, extortion as obtaining of property from another under color of official right)
(extortion, defines, extortion as obtaining of property under color of right)
(extortion, defines, extortion as obtaining of property under color of official right)
(extortion, defines, extortion as obtaining of property from another)
(extortion, defines, extortion as obtaining of property from another with his consent)
(extortion, defines, extortion as obtaining from another)
(extortion, defines, extortion as obtaining of property with his consent under color of right)
(extortion, defines, extortion as obtaining from another under color of right)
(extortion, defines, extortion as obtaining of property with his consent under color of official right)
(extortion, defines, extortion as obtaining under color of official right)
(extortion, defines, extortion as obtaining of property with his consent under color)
(extortion, defines, extortion as obtaining of property)
(extortion, defines, extortion as obtaining under color)
(extortion, defines, extortion as obtaining with his consent under color)
(extortion, defines, extortion as obtaining of property from another under color of right)
(extortion, defines, extortion as obtaining)
(extortion, defines, extortion as obtaining from another with his consent under color of official right)
(extortion, defines, extortion as obtaining of property from another under color)
(extortion, defines, extortion as obtaining with his consent under color of right)
(Extortion, taking, bribe)
(prosecutors, charged, him)
(prosecutors, See, 504 U. S. 255 .1)
(Evans 504 U. S. 255 .1, Putting, all)
(prosecutors, See, Evans)
(Evans 504 U. S. 255 .1, Putting together, all)
(prosecutors, See, United States)
(prosecutors, See, 1992)
(Ocasio, take, brothers ' bribes)
(Government, contended rather than, attempt prove)
(Government, contended At, trial)
(Ocasio, obtain, property)
(it, is impossible for, group)
(it, is, impossible)
(Ocasio, argued by, contrast)
(it, is impossible for, group of people)
(he, violate, Hobbs Act)
(he, taking, bribe)
(Court, now rejects, Ocasio 's interpretation)
(Ocasio, has, interpretation)
(Court, rejects, Ocasio 's interpretation)
(public official, obtains property from, another)
(official, obtains property from, another)
(public official, obtains, property)
(official, obtains, property)
(Another, is, relational word)
(Another, is, word)
(Another, is, relational)
(entity, is, how connected to different entity)
(one entity, is, how connected)
(entity, is, how connected)
(entity, is, connected)
(entity, is connected to, different entity)
(one entity, is connected to, different entity)
(one entity, is, connected)
(entity, is connected to, entity)
(entity, is, how connected to entity)
(one entity, is, how connected to entity)
(one entity, is connected to, entity)
(one entity, is, how connected to different entity)
(entity, different from, one considered)
(it, describes entity In, particular)
(entity, different from, one first considered)
(it, describes, entity different from one first considered)
(it, describes, entity)
(it, describes, entity different from one considered)
(it, describes, entity different)
(Merriam-Webster, has, Collegiate Dictionary 51)
(it, crime, conspire)
(federal generic conspiracy statute, makes, it crime conspire)
(federal conspiracy statute, makes, it crime conspire)
(conspiracy statute, makes, it crime conspire)
(generic conspiracy statute, makes, it crime conspire)
(word, conspire, its meaning)
(word, conspire, its conventional meaning)
(conspiracy, crux of is, criminal agreement)
(crux, is, criminal agreement)
(crux, is, collective criminal agreement)
(partnership, is in, crime)
(crux, is, agreement)
(conspiracy, crux of is, agreement)
(crux, is, collective agreement)
(conspire, is, agree)
(crux, is, collective)
(conspiracy, crux of is, collective agreement)
(crux, is, criminal)
(conspiracy, crux of is, collective criminal agreement)
(reading, is, collective)
(Ocasio, take property from, Moreno)
(Ocasio, only take property from, Moreno)
(Ocasio, only take, property)
(Ocasio, take, property)
(understanding, is consistent with, meaning of Hobbs Act)
(understanding, is, consistent with meaning of Hobbs Act with Court 's precedent)
(understanding, is, consistent with plain meaning of Hobbs Act with Court 's precedent explaining)
(purpose, target, conduct)
(understanding, is, consistent with meaning with Court 's precedent explaining)
(understanding, is consistent with, plain meaning of Hobbs Act)
(it, refers to, someone)
(understanding, is, consistent with plain meaning also with Court 's precedent)
(purpose, target, conduct of group crimes)
(understanding, is, consistent with meaning of Hobbs Act with Court 's precedent explaining)
(understanding, is, consistent with meaning also with Court 's precedent explaining)
(understanding, is, consistent with plain meaning of Hobbs Act also with Court 's precedent explaining)
(understanding, is consistent with, also Court 's precedent)
(understanding, is, consistent with meaning also with Court 's precedent)
(understanding, is, consistent with plain meaning of Hobbs Act also with Court 's precedent)
(understanding, is consistent with, Court 's precedent explaining)
(understanding, is, consistent with plain meaning with Court 's precedent)
(understanding, is, consistent with plain meaning also with Court 's precedent explaining)
(understanding, is consistent with, plain meaning)
(understanding, is consistent with, Court 's precedent)
(understanding, is, consistent with meaning of Hobbs Act also with Court 's precedent explaining)
(understanding, is, consistent with meaning of Hobbs Act also with Court 's precedent)
(understanding, is, consistent with meaning with Court 's precedent)
(understanding, is consistent with, meaning)
(understanding, is, consistent with plain meaning of Hobbs Act with Court 's precedent)
(understanding, is consistent with, also Court 's precedent explaining)
(understanding, is, consistent with plain meaning with Court 's precedent explaining)
(understanding, is, consistent)
(it, refers to, someone outside conspiracy)
(roup association, is, dangerous than individuals acting alone)
(Conspiracy law, punishes agreement, dangerous than individuals acting)
(Conspiracy law, punishes agreement, dangerous than individuals acting alone)
(Conspiracy law, punishes agreement, more dangerous than individuals acting alone)
(roup association, is more dangerous than, individuals acting)
(roup association, is, dangerous than separate individuals)
(roup association, is more dangerous than, individuals acting alone)
(Conspiracy law, punishes agreement, more dangerous than separate individuals acting alone)
(roup association, is dangerous than, separate individuals acting alone)
(c ombination, is dangerous than, separate individuals)
(roup association, is, dangerous than individuals)
(roup association, is dangerous than, individuals acting)
(roup association, is, dangerous than separate individuals acting)
(c ombination, is, more dangerous)
(c ombination, is dangerous than, separate individuals acting)
(c ombination, is dangerous than, individuals)
(roup association, is, more dangerous than individuals acting alone)
(c ombination, is more dangerous than, individuals acting)
(Conspiracy law, punishes, collective criminal agreement)
(roup association, is dangerous than, separate individuals acting)
(roup association, is, more dangerous than individuals acting)
(c ombination, is more dangerous than, separate individuals)
(Conspiracy law, punishes agreement, more dangerous than individuals)
(Conspiracy law, punishes agreement, more dangerous than separate individuals acting)
(roup association, is more dangerous than, separate individuals acting)
(roup association, is, more dangerous than separate individuals acting alone)
(roup association, is, more dangerous than individuals)
(roup association, is, more dangerous than separate individuals acting)
(roup association, is, dangerous)
(roup association, is, dangerous than separate individuals acting alone)
(roup association, is more dangerous than, separate individuals)
(Conspiracy law, punishes agreement, more dangerous than separate individuals)
(c ombination, is more dangerous than, individuals)
(roup association, is dangerous than, separate individuals)
(Conspiracy law, punishes agreement, more dangerous than individuals acting)
(c ombination, is dangerous than, individuals acting)
(Conspiracy law, punishes agreement, dangerous than separate individuals acting alone)
(Conspiracy law, punishes agreement, more dangerous)
(Conspiracy law, punishes, collective agreement)
(Conspiracy law, punishes agreement, dangerous)
(roup association, is, dangerous than individuals acting)
(c ombination, is dangerous than, separate individuals acting alone)
(c ombination, is more dangerous than, individuals acting alone)
(c ombination, is dangerous than, individuals acting alone)
(Conspiracy law, punishes agreement, dangerous than separate individuals acting)
(roup association, is more dangerous than, separate individuals acting alone)
(c ombination, is more dangerous than, separate individuals acting alone)
(Conspiracy law, punishes agreement, dangerous than individuals)
(criminal purposes, for association is, g)
(roup association, is, more dangerous than separate individuals)
(roup association, is dangerous than, individuals acting alone)
(roup association, is, more dangerous)
(c ombination, is, dangerous)
(roup association, is dangerous than, individuals)
(Conspiracy law, punishes agreement, dangerous than separate individuals)
(Conspiracy law, punishes, criminal agreement)
(roup association, is more dangerous than, individuals)
(Conspiracy law, punishes, agreement)
(c ombination, is more dangerous than, separate individuals acting)
(593, at Callanan is, 364 U. S.)
(partnership, is in, crime)
(conspiracy, is partnership in, crime)
(conspiracy, is, partnership)
(law, treats conspiracy in, ways)
(law, Accordingly treats conspiracy as, entity distinct from its individual members)
(law, treats conspiracy as, entity)
(law, treats, conspiracy)
(law, Accordingly treats conspiracy in, ways)
(law, Accordingly treats conspiracy as, entity distinct)
(law, Accordingly treats, conspiracy)
(law, treats conspiracy as, entity distinct from its individual members)
(law, Accordingly treats conspiracy as, entity)
(law, treats conspiracy as, entity distinct)
(law, Accordingly treats conspiracy as, entity distinct from its members)
(law, treats conspiracy as, entity distinct from its members)
(defendant, is guilty, he agrees)
(defendant, is guilty of, conspiracy)
(group, commit, elements of criminal offense)
(defendant, is guilty, only he agrees)
(defendant, is, guilty)
(conspiratorial group, commit, elements of criminal offense)
(65, at Salinas is, 522 U. S.)
(they, have agreed on, group 's conduct)
(group, on, conduct)
(they, have agreed, commit collectively)
(they, have agreed, commit)
(focus, is on, group 's conduct)
(partners, pursue, same criminal objective)
(partners, pursue, objective)
(partners, pursue, same objective)
(partners, divide up, work)
(partners, must agree at, 63-64)
(partners, pursue, criminal objective)
(partners, is in, criminal plan)
(one member, acts as, agent)
(member, acts as, agent)
(partners, act, long partnership continues)
(partners, carrying, it)
(partners, carrying forward, it)
(647, at Pinkerton is, 328 U. S.)
(partnership, is in, crime)
(partners, act, partnership in crime continues)
(partners, act at, 646)
(partners, act, partnership continues)
(partners, act, long partnership in crime continues)
(criminal conspiracy exists, Accordingly depends, conspirators agreed)
(conspiracy exists, depends, conspirators agreed)
(conspirators, agreed, do as group)
(conspiracy exists, Accordingly depends, conspirators agreed)
(criminal conspiracy exists, depends, conspirators agreed)
(conspirators, agreed, do)
(property, member of, group)
(member, obtain, property)
(Ocasio, agreed, Mejia)
(Ocasio, be punished for, conspiracy)
(Ocasio, engage in, conduct)
(Court, Departing from, reading of text)
(Court, Departing from, natural reading)
(Court, Departing from, natural reading of text)
(Court, Departing from, reading)
(Ocasio, obtained, property)
(Ocasio, be, punished)
(Ocasio, agreed, Moreno)
(Ocasio, obtained property from, another)
(conspiracy, of member is, Ocasio)
(Court, reach, conclusion)
(Hobbs Act, has, use of from another takes as reference point)
(group, rather than member is, Ocasio)
(natural reading, foreclose, it)
(reading, foreclose, it)
(Court, has, assumption)
(conspirators, obtain, property)
(conspirators, obtain property from, someone)
(conspirators, obtain property from, someone outside conspiracy)
(It, relies, it says)
(It, instead relies, it says)
(Court 's support, comes from, cases)
(Court, has, best support)
(Court 's best support, comes from, cases)
(girl, even was ostensibly victim of, crime)
(transported woman, was, ostensibly victim)
(transported woman, was, even ostensibly victim of crime)
(girl, was, even ostensibly victim)
(woman, was ostensibly victim of, crime)
(nothing, precluded prosecutors, victim of crime)
(transported woman, was ostensibly victim of, crime)
(girl, was victim of, crime)
(woman, was, ostensibly victim of crime)
(girl, was, ostensibly victim)
(woman, was victim of, crime)
(transported woman, was, victim of crime)
(woman, even was victim of, crime)
(nothing, precluded prosecutors, even ostensibly victim)
(woman, was, even victim of crime)
(nothing, also convicting woman, conspiring)
(girl, was, even victim)
(nothing, also convicting, woman)
(transported woman, was, even victim of crime)
(girl, was ostensibly victim of, crime)
(nothing, precluded prosecutors, even victim of crime)
(transported woman, was, ostensibly victim of crime)
(nothing, convicting woman, conspiring)
(transported woman, even was victim of, crime)
(transported woman, was, victim)
(nothing, convicting, woman)
(woman, was, victim)
(nothing, precluded prosecutors, ostensibly victim)
(transported woman, even was ostensibly victim of, crime)
(woman, even was ostensibly victim of, crime)
(woman, was, even ostensibly victim)
(prosecutors, nothing in, statute)
(nothing, precluded prosecutors, even victim)
(transported woman, was, even ostensibly victim)
(woman, was, even victim)
(nothing, precluded, prosecutors)
(woman, was, ostensibly victim)
(woman, was, victim of crime)
(transported woman, was, even victim)
(transported woman, was victim of, crime)
(nothing, precluded prosecutors, ostensibly victim of crime)
(nothing, is in, statute)
(nothing, precluded prosecutors, victim)
(woman, was, even ostensibly victim of crime)
(girl, even was victim of, crime)
(nothing, precluded prosecutors, even ostensibly victim of crime)
(girl, was, victim)
(Court, derives From, this)
(Court, stretches, Mann Act case)
(Court, stretches Mann Act case beyond, its tethers)
(Court, is in, Holte)
(Act, principles of, conspiracy law)
(Court, based entirely, its analysis)
(Court, based, its analysis)
(Mann Act, prohibits Unlike, Hobbs Act 's use)
(Mann Act, transporting, woman)
(Hobbs Act, Unlike, use of person)
(Court, concluded Based on, language)
(woman, be held, liable)
(woman, be, held)
(144-45, at Holte is, 236 U. S.)
(professional prostitute, carry out, journey)
(prostitute, buy, railroad tickets)
(professional prostitute, buy, railroad tickets)
(prostitute, carry out, journey)
(professional prostitute, could suggest For, example)
(prostitute, could suggest For, example)
(she, be within, letter of act)
(she, be within, letter)
(Holte, based, its holding)
(its reasoning, is, consistent)
(their agreed-upon conduct, violated, text)
(its reasoning, is consistent with, Court 's actual principles)
(their conduct, violated, text)
(their agreed-upon conduct, violated, text of statute)
(their conduct, text of, statute)
(Court, with, actual principles of conspiracy)
(its reasoning, is, Moreover consistent)
(its reasoning, Moreover is consistent with, Court 's principles)
(its reasoning, Moreover is consistent with, Court 's actual principles)
(its reasoning, is consistent with, Court 's principles)
(their agreed-upon conduct, text of, statute)
(their conduct, violated, text of statute)
(group enterprise, can logically and naturally intend, members agree)
(group enterprise, can intend, members of Mann Act conspiracy agree)
(group enterprise, transport, member of group)
(group enterprise, transport, female member of group)
(group enterprise, transport, member)
(group enterprise, can and intend, members of alleged Mann Act conspiracy agree)
(group enterprise, can logically and intend, members of alleged Mann Act conspiracy agree)
(members, transport illegally, woman)
(group enterprise, can and intend, members agree)
(group enterprise, can logically and naturally intend, members of Mann Act conspiracy agree)
(group enterprise, transport, female member)
(group enterprise, can logically and naturally intend, members of alleged Mann Act conspiracy agree)
(group enterprise, can intend, members of alleged Mann Act conspiracy agree)
(group enterprise, can and intend, members of Mann Act conspiracy agree)
(group enterprise, can and naturally intend, members of alleged Mann Act conspiracy agree)
(group enterprise, can intend, members agree)
(group enterprise, can and naturally intend, members of Mann Act conspiracy agree)
(members, transport, woman)
(group enterprise, can logically and intend, members of Mann Act conspiracy agree)
(group enterprise, can and naturally intend, members agree)
(group enterprise, can logically and intend, members agree)
(Act, on, text)
(Court, create, generic conspiracy principle)
(United States, v. Gebardi is, Mann Act case)
(it, cites, Gebardi v. United States)
(it, cites, Gebardi)
(Court, create, conspiracy principle)
(Court, considered, question)
(Court, considered In, Gebardi)
(Court, considered question In, Gebardi)
(woman, only aided something in, her own transportation)
(woman, only aided, something)
(woman, aided, something)
(woman, aided something in, her transportation)
(woman, only aided something in, her transportation)
(woman, aided something in, her own transportation)
(Court, based decision on, language)
(Court, based explicitly, decision)
(Court, based, decision)
(Court, based decision explicitly on, language)
(woman, fall at, aid)
(someone, is in, transporting)
(woman, fall at, least)
(woman, fall within, ban)
(Court, characterized, Gebardi 's holding)
(Gebardi, has, holding)
(Court, later characterized, Gebardi 's holding)
(limited character, of exceptio is, n)
(643, at Pinkerton is, 328 U. S.)
(Congress, intended, case)
(Congress, intended, outcome)
(it, was, clear)
(Court, elicit principle from, Gebardi)
(Court, elicit, general principle of conspiracy law)
(Court, elicit, principle of conspiracy law)
(active participant, is in, conspiratorial group)
(Court, elicit, principle)
(Court, elicit, general principle)
(whose participation, is in, extortion amounts)
(Court, draws, rough analogy)
(Court, draws, analogy)
(express terms, on reliance is, generic conspiracy principles)
(Court, has, reliance on express terms of Mann Act)
(Court, 's reliance is, generic conspiracy principles)
(Mejia, can, can held)
(Court, argues In addition to, Mann Act)
(they, were, incapable)
(they, committing, crime)
(its interpretation, is, correct)
(they, committing crime, themselves)
(they, were, even incapable)
(its interpretation, is correct, can held)
(they, committing, substantive crime)
(group, obtained, property)
(conspiracy, see Evans at, 268)
(conspiratorial group, obtained, property)
(conspiracy, would still violate, Hobbs Act)
(conspiracy, see, 504 U. S.)
(conspiracy, would violate, Hobbs Act)
(group, obtained property from, another)
(conspiracy, see, Evans)
(conspiratorial group, obtained property from, another)
(suppose, pay bribe, himself)
(suppose, pay, bribe)
(Court, has, incapable-of-committing-the-substantive-offense principle)
(It, is, consistent)
(It, is, entirely consistent)
(it, be, odd here)
(role, is in, conspiracy as other members)
(it, be, odd)
(it, immunize, ostensible victims)
(criminalizing bribery, is in, specified circumstances)
(Government, convict Ocasio for, conspiracy)
(Government, convict Ocasio for, conspiracy on facts)
(Government, convict Ocasio, relying on Court 's theory)
(Ocasio, conspired with, Baltimore police officers)
(Court, on, odd theory)
(Ocasio, extort, property)
(Government, convict Ocasio for, example)
(Government, convict Ocasio, relying on Court 's odd theory)
(Government, convict Ocasio, relying)
(Ocasio, conspired with, other Baltimore police officers)
(Government, convict, Ocasio)
(Government, convict Ocasio, proving)
(Ocasio, extort property from, brothers)
(Court 's interpretation, exposes, victims)
(Court 's interpretation, exposes victims in, its effort make)
(they, conspired with, their extorter)
(Court, has, atextual interpretation of Hobbs Act)
(they, pay, bribe)
(Court 's atextual interpretation, exposes, victims)
(Court 's atextual interpretation, exposes victims in, its effort make)
(Court 's atextual interpretation, exposes victims to, charges)
(Court 's interpretation, exposes victims to, charges)
(participation, is in, extortion)
(Gebardi, grounded, its mere acquiescence standard in text)
(its mere acquiescence standard, is in, text of Mann Act)
(Gebardi, grounded, its acquiescence standard)
(Gebardi, grounded, its mere acquiescence standard)
(Gebardi, grounded, its acquiescence standard in text)
(Gebardi, grounded, its mere acquiescence standard in text of Mann Act)
(Gebardi, grounded, its acquiescence standard in text of Mann Act)
(restaurant owner, threatened by, health official)
(restaurant owner, threatened with, closure)
(nightclub owner, asking, his manager)
(his manager, bribe, official)
(his manager, bribe, public official)
(nightclub owner, pursues, liquor license)
(official, obtain property from, another)
(He, agreed with, public official)
(He, agreed with, official)
(official, obtain, property)
(examples, raise, more questions than answers)
(examples, raise, questions than answers)
(it, was, whose idea)
(it, Does depend, it was)
(bribe, was, floated)
(bribe, was floated as, demand)
(bribe, was floated as, official demand)
(citizen, pay off, public official)
(citizen, pay off, official)
(much money, is, involved)
(money, is, involved)
(citizen, gained, liquor license)
(citizen, gained, benefit)
(citizen, avoided, loss)
(citizen, paid bribes at_time, times)
(citizen, paid bribes at_time, many times)
(citizen, paid bribes at_time, How many times)
(he, resisted, paying)
(he, ever resisted, paying)
(federal prosecutors, answer questions in, instance)
(prosecutors, answer questions in, instance)
(federal prosecutors, answer questions in, first instance)
(It, leaves, it)
(prosecutors, answer, questions)
(prosecutors, answer questions in, first instance)
(federal prosecutors, answer, questions)
(people, obtain property from, another)
(they, obtain, property)
(people, obtain, property)
(three people, obtain property from, another)
(they, obtain property from, from someone their conspiracy)
(three people, obtain, property)
(Court, reaches, conclusion)
(Court, reaches, conclusion based)
(Hobbs Act, has, use of from another takes as reference point)
(Court, reaches, opposite conclusion)
(Court, reaches, opposite conclusion based)
(Court, reaches, conclusion based entirely)
(Court, reaches, conclusion based on assumption)
(Court, reaches, opposite conclusion based entirely)
(Court, reaches, conclusion based entirely on assumption)
(Court, reaches, opposite conclusion based on assumption)
(Court, reaches, opposite conclusion based entirely on assumption)
(Conspiracy, has, has long criticized)
(Conspiracy, has, has criticized)
(Court, says at_time, Today)
(woman, violate, § 2 Mann Act)
(woman, violate, § 2)
(woman, violate, § 2 of Mann Act)
(it, be, possible)
(144, at Holte is, 236 U. S.)
(Court, refused, hold)
(woman, could, could convicted)
(Court, however refused, hold)
(woman, is in, Holte 's position commit)
(Holte, in, position commit)
(it, was possible for, woman)
(it, was, possible)
(Gebardi Court, reached, conclusions)
(consent, is in, to interstate trip)
(123, at Gebardi is, 287 U. S.)
(causing, woman, transported)
(causing, woman, transported across state lines)
(transported woman, prohibiting, person)
(causing, woman, transported for immoral purpose)
(causing, woman, transported across state lines for immoral purpose)
(woman, prohibiting, person)
(causing, woman, transported across state lines for purpose)
(causing, woman, transported for purpose)
(it, crime to, aid)
(assisting, requires, more than mere consent)
(assisting, requires, more than consent)
(aiding, requires, more)
(Court, someone else in, transporting)
(someone, is in, transporting)
(assisting, requires, more)
(aiding, requires, more than consent)
(aiding, requires, more than mere consent)
(Court, someone in, transporting)
(intent, facilitate, commission)
(intent, facilitate, commission of offense)
(it, saw in, § 2)
(woman, than, mere consent)
(Court, turning to, issue)
(something, was needed, avoid)
(something, was, needed)
(Court, turning to, issue of conspiracy)
(woman 's participation, is in, transportations)
(evidence, condemn, woman 's participation)
(woman, has, participation in transportations)
(123, at Gebardi is, supra)
(overt act, is in, furtherance of offense)
(private person, be, guilty of type as aider)
(private person, be, guilty)
(private person, be guilty as, aider)
(private person, be, guilty of type of Hobbs Act extortion as aider)
(private person, be guilty of, type)
(person, be, guilty)
(private person, be guilty of, type of Hobbs Act extortion)
(person, be guilty as, aider)
(person, be, guilty of type as aider)
(person, be, guilty of type of Hobbs Act extortion as aider)
(person, be guilty of, type of Hobbs Act extortion)
(person, be guilty of, type)
(Petitioner 's position, has evolved over, course of litigation)
(Petitioner 's position, has evolved over, course)
(Petitioner, has, position)
(petitioner, requested, jury instruction)
(petitioner, requested jury instruction, noted)
(petitioner, requested, jury instruction stating)
(F. 3d 762, was in, case)
(he, raised, his Brock argument)
(he, first raised, his Brock argument)
(501 F. 3d 762, was in, still case)
(Brock, was in, still case)
(F. 3d 762, was in, still case)
(Brock, was in, case)
(501 F. 3d 762, was in, case)
(petition, appears, have based on broad argument)
(petition, appears, have based on same broad argument)
(petition, been based on, argument)
(petition, been based on, same broad argument)
(petition, been, based)
(petition, been based on, same argument)
(petition, been based on, broad argument)
(petition, appears, have based)
(petition, appears, have based on argument)
(petition, appears, have based on same argument)
(conspirators, obtain, property)
(conspirators, obtain property from, someone)
(conspirators, obtain property from, someone outside conspiracy)
(i., was, similar)
(argument, is in, petitioner 's opening brief)
(petitioner, in, opening brief)
(argument, was, similar)
(conspirators, obtain property from, someone outside ring of conspiracy)
(conspirators, agree among, themselves)
(conspirators, obtain, property)
(conspirators, obtain property from, someone outside ring)
(conspirators, wrongly obtain property from, someone outside ring of conspiracy)
(conspirators, wrongly obtain property from, someone outside ring)
(conspirators, obtain property from, someone)
(conspirators, wrongly obtain, property)
(conspirators, wrongly obtain property from, someone)
(argument, has, strange implications)
(argument, has, implications)
(petitioner, obtain, money)
(petitioner, obtain money from, Moreno)
(petitioner, conspired with, Baltimore officers)
(petitioner, conspired with, other Baltimore officers)
(petitioner, Under, original broad argument)
(charge, would, Under petitioner 's argument would valid)
(charge, would, Under petitioner 's original broad argument would valid)
(charge, would, Under petitioner 's original argument would valid)
(charge, would, Under petitioner 's broad argument would valid)
(charge, would, would valid)
(indictment, is in, case)
(petitioner, conspired with, persons unknown)
(Manrich, conspired with, persons unknown)
(petitioner, conspired with, among others persons unknown)
(Manrich, conspired with, among others persons unknown)
(It, would, would very strange)
(It, would, would strange)
(petitioner, might make, even broader argument)
(petitioner, might make argument Of, course)
(petitioner, might make, broader argument)
(petitioner, might make, argument)
(petitioner, has, reply brief)
(petitioner 's reply brief, claimed In, response to Government 's argument)
(Government, to, argument)
(petitioner 's reply brief, claimed In, response)
(his acquittal, acceptance of, narrower argument)
(he, conspired with, anyone)
(his acquittal, acceptance of, argument)
(acceptance, requires, his acquittal)
(he, conspired with, anyone other than Moreno)
(he, conspired with, anyone other)
(court 's decision, was based primarily on, other grounds)
(court 's decision, was based primarily on, grounds)
(we, address, petitioner 's argument)
(court 's decision, was, based primarily)
(court, has, decision)
(court 's decision, was based on, other grounds)
(we, Nevertheless address, petitioner 's argument)
(court 's decision, was, based)
(court 's decision, was based on, grounds)
(petitioner, has, argument)
(statute, contains, ambiguity)
(criminal statute, contains, uncertainty)
(aid, can, can derived)
(statute, contains, grievous ambiguity)
(criminal statute, contains, grievous ambiguity)
(statute, contains, uncertainty)
(criminal statute, contains, ambiguity)
(same concerns, see id. at, THOMAS)
(same concerns, see at, THOMAS)
(The Court, has, construction of Hobbs Act)
(concerns, see id. at, THOMAS)
(same concerns, were raised, see id.)
(concerns, were raised, see id.)
(concerns, were raised, see)
(concerns, were, raised)
(concerns, see at, THOMAS)
(same concerns, were, raised)
(same concerns, were raised, see)
(Evans, was, decided)
(his position, makes sense to, extent)
(he, accept, case)
(his position, makes, sense)
(Evans, was, wrongly decided)
(Evans, is accepted in, relation)
(Evans, is, even accepted)
(Evans, is accepted in, relation to substantive Hobbs Act charges)
(Evans, even is accepted in, relation to substantive Hobbs Act charges)
(Evans, is, accepted)
(Evans, even is accepted in, relation)
(Evans, even is accepted in, relation to Hobbs Act charges)
(Evans, is accepted in, relation to Hobbs Act charges)
(one thing, provision of, code)
(one thing, provision of, criminal code)
(It, would, would very strange)
(provision, meant, one thing)
(It, would, would strange)
(Petitioner, claims, that)
(Petitioner, also claims, that)
(petitioner, as, co-conspirators)
(Webster, has, New International Dictionary 110)
(Court, by, decision hold under Hobbs Act)
