(October 4 2016, Decided at_time, November 29 2016)
(Petitioners 28-29, trial on, counts of conviction)
(they, are, entitled)
(Bravo, have succeeded on, appeal)
(Martínez, have succeeded to, extent)
(Bravo, have succeeded to, extent)
(Martínez, have succeeded on, appeal)
(split verdict, renewing, prosecution .8)
(Double Jeopardy Clause, prosecuting Martínez on, § conspiracy)
(Double Jeopardy Clause, forever bars, Government)
(Jeopardy Clause, prosecuting Bravo on, § conspiracy)
(Jeopardy Clause, again prosecuting Bravo on, § conspiracy)
(Double Jeopardy Clause, prosecuting, Bravo)
(Jeopardy Clause, again prosecuting Martínez on, § 666-based conspiracy)
(Jeopardy Clause, prosecuting Bravo on, § 666-based conspiracy)
(Jeopardy Clause, prosecuting, Bravo)
(Jeopardy Clause, again prosecuting, Martínez)
(Double Jeopardy Clause, prosecuting Martínez on, § 666-based conspiracy)
(Jeopardy Clause, prosecuting Martínez on, § conspiracy)
(Double Jeopardy Clause, again prosecuting, Martínez)
(Double Jeopardy Clause, again prosecuting Bravo on, § conspiracy)
(Jeopardy Clause, again prosecuting, Bravo)
(Jeopardy Clause, bars, Government)
(Double Jeopardy Clause, prosecuting Bravo on, § 666-based conspiracy)
(Double Jeopardy Clause, prosecuting Bravo on, § conspiracy)
(Double Jeopardy Clause, prosecuting, Martínez)
(Double Jeopardy Clause, bars, Government)
(Jeopardy Clause, prosecuting, Martínez)
(Jeopardy Clause, forever bars, Government)
(acquittals, remain, inviolate)
(Jeopardy Clause, prosecuting Martínez on, § 666-based conspiracy)
(Double Jeopardy Clause, again prosecuting Martínez on, § 666-based conspiracy)
(Double Jeopardy Clause, again prosecuting, Bravo)
(Jeopardy Clause, again prosecuting Martínez on, § conspiracy)
(Double Jeopardy Clause, again prosecuting Martínez on, § conspiracy)
(Double Jeopardy Clause, again prosecuting Bravo on, § 666-based conspiracy)
(Jeopardy Clause, again prosecuting Bravo on, § 666-based conspiracy)
(Bravo, gained, benefit)
(Bravo, also gained, benefit)
(Martínez, benefit of, their appellate victory)
(Bravo, also gained, benefit of their victory)
(Martínez, gained, benefit)
(Martínez, also gained, benefit of their appellate victory)
(Martínez, also gained, benefit)
(Martínez, gained, benefit of their appellate victory)
(Martínez, benefit of, their victory)
(Bravo, gained, benefit of their victory)
(Bravo, also gained, benefit of their appellate victory)
(Bravo, gained, benefit of their appellate victory)
(Martínez, gained, benefit of their victory)
(Martínez, also gained, benefit of their victory)
(judgment, is For, reasons)
(judgment, is For, reasons stated)
(JUAN BRAVO-FERNANDEZ, PETITIONERS v., UNITED STATES)
(question, presented in, case)
(barred, prosecution for, act)
(Clause, barred, prosecution for same act)
(Clause, barred, only repeated prosecution for same act)
(barred, prosecution for, same identical act)
(barred, repeated prosecution for, act)
(barred, prosecution for, identical act)
(Clause, barred, repeated prosecution for identical act)
(barred, only repeated prosecution for, identical act)
(Clause, was, on which based)
(Clause, barred, prosecution for same identical act)
(Clause, barred, prosecution)
(barred, only repeated prosecution for, same act)
(Clause, barred, only repeated prosecution for identical act)
(Clause, barred, only repeated prosecution for same identical act)
(Clause, barred, repeated prosecution for act)
(Clause, was, based)
(Clause, barred, repeated prosecution)
(barred, repeated prosecution for, same act)
(barred, repeated prosecution for, identical act)
(barred, prosecution for, same act)
(Clause, barred, prosecution for identical act)
(Clause, barred, repeated prosecution for same identical act)
(Clause, barred, only repeated prosecution)
(barred, only repeated prosecution for, same identical act)
(Clause, barred, only repeated prosecution for act)
(barred, repeated prosecution for, same identical act)
(Clause, barred, repeated prosecution for same act)
(Clause, barred, prosecution for act)
(barred, only repeated prosecution for, act)
(facts, been, when have necessarily resolved in defendant 's favor by verdict)
(Court, departed from, meaning of Jeopardy Clause)
(facts, been, when have resolved in defendant 's favor by verdict of ac-quittal of crime)
(Court, departed from, meaning of Double Jeopardy Clause)
(facts essential, been, when have necessarily resolved in defendant 's favor by verdict)
(facts, been, have resolved by verdict)
(it, precludes, successive prosecutions)
(facts essential, been, have necessarily resolved in defendant 's favor)
(facts, been, have resolved by verdict of ac-quittal)
(facts, been, have resolved in defendant 's favor by verdict)
(facts essential, been, have resolved by verdict of ac-quittal)
(facts essential, been, when have resolved in defendant 's favor by verdict of ac-quittal)
(facts, been, when have necessarily resolved by verdict of ac-quittal)
(facts, been, have necessarily resolved in defendant 's favor by verdict of ac-quittal of crime)
(facts, been, when have resolved by verdict of ac-quittal of crime)
(facts, been, have resolved in defendant 's favor)
(facts, been, when have necessarily resolved by verdict of ac-quittal of crime)
(facts essential, been, when have resolved by verdict of ac-quittal of first crime)
(facts essential, been, have necessarily resolved by verdict of ac-quittal of first crime)
(facts essential, been, when have resolved in defendant 's favor)
(facts, been, have resolved in defendant 's favor by verdict of ac-quittal of crime)
(facts essential, been, when have resolved by verdict of ac-quittal of crime)
(facts, been, when have resolved)
(facts essential, been, when have resolved by verdict)
(facts, been, when have necessarily resolved)
(facts, been, have necessarily resolved by verdict)
(facts essential, been, have necessarily resolved in defendant 's favor by verdict)
(facts, been, when have resolved by verdict of ac-quittal of first crime)
(facts essential, been, have resolved in defendant 's favor by verdict of ac-quittal of crime)
(facts essential, been, have necessarily resolved in defendant 's favor by verdict of ac-quittal of first crime)
(facts essential, been, have necessarily resolved by verdict)
(facts essential, been, have necessarily resolved in defendant 's favor by verdict of ac-quittal)
(facts essential, been, have necessarily resolved in defendant 's favor by verdict of ac-quittal of crime)
(it, precludes prosecutions on, crimes)
(facts, been, have necessarily resolved by verdict of ac-quittal of crime)
(facts essential, been, have resolved)
(it, precludes, prosecutions)
(facts, been, when have necessarily resolved by verdict of ac-quittal of first crime)
(facts essential, been, when have resolved)
(facts, been, when have resolved in defendant 's favor by verdict)
(facts essential, been, have necessarily resolved by verdict of ac-quittal of crime)
(facts essential, been, when have resolved in defendant 's favor by verdict of ac-quittal of crime)
(facts essential, been, have necessarily resolved by verdict of ac-quittal)
(facts essential, been, when have necessarily resolved in defendant 's favor by verdict of ac-quittal of crime)
(facts, been, have necessarily resolved in defendant 's favor by verdict)
(facts essential, been, have resolved in defendant 's favor by verdict)
(facts essential, been, when have necessarily resolved by verdict of ac-quittal of crime)
(facts essential, been, when have necessarily resolved by verdict)
(facts essential, been, when have resolved in defendant 's favor by verdict of ac-quittal of first crime)
(facts, been, when have necessarily resolved in defendant 's favor by verdict of ac-quittal of first crime)
(facts essential, been, when have necessarily resolved)
(facts essential, been, have necessarily resolved)
(facts, been, when have necessarily resolved in defendant 's favor)
(facts, been, when have necessarily resolved in defendant 's favor by verdict of ac-quittal)
(facts, been, when have resolved in defendant 's favor by verdict of ac-quittal of first crime)
(facts, been, have necessarily resolved in defendant 's favor by verdict of ac-quittal of first crime)
(facts, been, have resolved)
(Court, departed from, original meaning of Double Jeopardy Clause)
(Court, departed from, original meaning)
(Court, departed from, meaning)
(Court, departed from, original meaning of Jeopardy Clause)
(facts, been, when have resolved by verdict of ac-quittal)
(facts essential, been, have resolved by verdict)
(facts essential, been, have resolved by verdict of ac-quittal of crime)
(facts, been, have resolved in defendant 's favor by verdict of ac-quittal)
(it, precludes prosecutions on, distinct crimes)
(facts essential, been, have resolved in defendant 's favor by verdict of ac-quittal of first crime)
(facts essential, been, when have necessarily resolved in defendant 's favor by verdict of ac-quittal)
(facts, been, have resolved by verdict of ac-quittal of first crime)
(facts, been, when have necessarily resolved in defendant 's favor by verdict of ac-quittal of crime)
(facts essential, been, have resolved in defendant 's favor)
(facts essential, been, when have necessarily resolved in defendant 's favor)
(facts essential, been, when have necessarily resolved in defendant 's favor by verdict of ac-quittal of first crime)
(facts, been, when have resolved in defendant 's favor)
(facts essential, been, have resolved in defendant 's favor by verdict of ac-quittal)
(facts essential, been, when have necessarily resolved by verdict of ac-quittal of first crime)
(facts essential, been, when have resolved in defendant 's favor by verdict)
(defendant, in, favor)
(facts essential, been, when have necessarily resolved by verdict of ac-quittal)
(facts, been, have necessarily resolved)
(facts, been, when have resolved by verdict)
(facts essential, been, when have resolved by verdict of ac-quittal)
(facts, been, have necessarily resolved in defendant 's favor by verdict of ac-quittal)
(facts, been, have necessarily resolved by verdict of ac-quittal)
(facts, been, when have resolved in defendant 's favor by verdict of ac-quittal)
(facts, been, have necessarily resolved by verdict of ac-quittal of first crime)
(facts, been, have resolved by verdict of ac-quittal of crime)
(facts, been, have resolved in defendant 's favor by verdict of ac-quittal of first crime)
(facts, been, when have necessarily resolved by verdict)
(facts, been, have necessarily resolved in defendant 's favor)
(facts essential, been, have resolved by verdict of ac-quittal of first crime)
(128, at Yeager is, supra)
(Court, erroneously Ashe In, Yeager)
(Court, erroneously and illogically extended Ashe In, Yeager)
(Court, erroneously and extended Ashe In, Yeager)
(Court, Ashe In, Yeager)
(Court Ashe, is In, Yeager)
(Clause, only bars, prosecution of facts found)
(Clause, only sometimes bars, prosecution of facts)
(Clause, only bars, successive prosecution of facts found during proceeding)
(Clause, sometimes bars, successive prosecution of facts found)
(Clause, only bars, successive prosecution)
(Clause, bars, successive prosecution of facts found during prior proceeding)
(Clause, sometimes bars, prosecution of facts found during proceeding)
(Clause, sometimes bars, prosecution of facts found during prior proceeding)
(Clause, only sometimes bars, successive prosecution of facts)
(Clause, sometimes bars, prosecution of facts found)
(Clause, only sometimes bars, successive prosecution of facts found)
(Clause, bars, successive prosecution of facts found during proceeding)
(Clause, sometimes bars, successive prosecution of facts found during prior proceeding)
(Clause, only bars, successive prosecution of facts)
(Clause, only bars, prosecution of facts)
(Clause, successive prosecution of, facts found)
(Clause, sometimes bars, successive prosecution of facts found during proceeding)
(Clause, successive prosecution of, facts found during proceeding)
(Clause, bars, successive prosecution of facts found)
(Clause, only sometimes bars, successive prosecution of facts found during proceeding)
(Clause, only sometimes bars, prosecution of facts found)
(Clause, bars, prosecution of facts found during prior proceeding)
(Clause, sometimes bars, prosecution of facts)
(Clause, only sometimes bars, successive prosecution)
(Clause, bars, prosecution of facts found)
(Clause, sometimes bars, prosecution)
(Clause, bars, successive prosecution of facts)
(Clause, only sometimes bars, prosecution of facts found during prior proceeding)
(Clause, only sometimes bars, prosecution)
(Clause, prosecution of, facts)
(Clause, prosecution of, facts found during proceeding)
(Clause, bars, successive prosecution)
(Clause, only sometimes bars, successive prosecution of facts found during prior proceeding)
(Clause, bars, prosecution of facts found during proceeding)
(Clause, bars, prosecution of facts)
(Clause, sometimes bars, successive prosecution of facts)
(Clause, successive prosecution of, facts)
(Clause, only bars, prosecution of facts found during proceeding)
(Clause, only bars, successive prosecution of facts found during prior proceeding)
(Clause, successive prosecution of, facts found during prior proceeding)
(Clause, prosecution of, facts found)
(Clause, bars, prosecution)
(Clause, only bars, successive prosecution of facts found)
(Clause, only bars, prosecution of facts found during prior proceeding)
(Clause, prosecution of, facts found during prior proceeding)
(Clause, only sometimes bars, prosecution of facts found during proceeding)
(Clause, sometimes bars, successive prosecution)
(Clause, only bars, prosecution)
(we, should reconsider, holdings of Ashe)
(we, should reconsider holdings In, appropriate case)
(we, should reconsider holdings In, case)
(we, should reconsider, holdings)
(Court, properly declines at_time, today)
(Court, indeed reaches, correct result under Clause 's original meaning)
(Court, reaches, result)
(Court, indeed reaches, correct result)
(I, join, its opinion)
(Court, extend, cases)
(Court, reaches, correct result)
(Court, reaches, result under Clause 's meaning)
(Court, reaches, result under Clause 's original meaning)
(Court, reaches, correct result under Clause 's meaning)
(Court, indeed reaches, correct result under Clause 's meaning)
(Court, indeed reaches, result)
(Court, indeed reaches, result under Clause 's original meaning)
(Court, reaches, correct result under Clause 's original meaning)
(Clause, under, original meaning)
(Court, declines at_time, today)
(Court, indeed reaches, result under Clause 's meaning)
(issue preclusion, is, descriptive term)
(issue preclusion, is term, Court has observed)
(issue preclusion, is descriptive term, Court has observed)
(issue preclusion, is, term)
(parties, use, collateral estoppel component)
(issue preclusion, is more descriptive term, Court has observed)
(issue preclusion, is, more descriptive term)
(Restatement, pp., 1980)
(judicata, applies in, criminal)
(Petitioners, were, indicted)
(§ 666, prohibits, quid pro quo bribes)
(§ 666, prohibits, quo bribes)
(§, prohibits, quid quo bribes)
(§ 666, prohibits, pro quo bribes)
(§, prohibits, quo bribes)
(§, prohibits, gratuities)
(§, prohibits, pro quo bribes)
(§, prohibits, quid pro quo bribes)
(§ 666, prohibits, gratuities)
(§ 666, prohibits, quid quo bribes)
(§ 666 bribery, was, sole issue)
(§ bribery, was sole issue in, controversy)
(§ bribery, was issue in, controversy)
(§ 666 bribery, was sole issue in, controversy)
(§ 666 bribery, was issue in, controversy)
(§ 666 bribery, was, issue)
(§ bribery, was, sole issue)
(§ bribery, was, issue)
(sole issue, is in, controversy)
(jury, returned, inconsistent verdicts)
(jury, returned, verdicts)
(jury, returned, irreconcilably inconsistent verdicts)
(People, with J. is, 992 A. 2d 776)
(People, with J. is, 789 2010)
(J. 471 493-494, is with, People)
(Double Jeopardy Clause bars retrial, is in, situation)
(Second Circuit, moreover has adhered to, Citron)
(Second Circuit, has adhered since, Yeager)
(Second Circuit, moreover has adhered since, Yeager)
(Second Circuit, has adhered to, Citron)
(we, have looked to, vacated conviction ascertain)
(we, have looked to, conviction ascertain)
(conviction, vacated on, jeopardy grounds)
(holding, is in, Morris)
(conviction, vacated on, double jeopardy grounds)
(defendant, 's satisfie is, d)
(defendant, has, conduct satisfie)
(courts, have reached, same conclusion)
(courts, have reached, conclusion)
(lower courts, have reached, same conclusion)
(lower courts, have reached, conclusion)
(Government, may retry, defendant)
(inconsistent verdict, has, has vacated)
(Government, may retry defendant, has vacated)
(verdict, has, has vacated)
(1142, at Evans is, 987 A. 2d)
(involving, inconsistent verdict of, acquittals returned by jury)
(involving, verdict of, acquittals returned by same jury)
(involving, verdict of, acquittals returned by jury)
(involving, inconsistent verdict of, acquittals returned)
(Kelly 201 N. J., explaining in, context)
(Kelly 201 N. J., explaining in, context retrial)
(involving, verdict of, acquittals)
(involving, inconsistent verdict of, acquittals returned by same jury)
(involving, inconsistent verdict of, acquittals)
(involving, verdict of, acquittals returned)
(Kelly 201 N. J., explaining following, vacatur)
